         MJD         m       dm     uJy  duJy F  err  chi/N      RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57243.466454 19.922338      NaN  4735.5    13 c    0   1.45 0.96079 -11.47461  2258.82  3407.41 3.89 3.58 -34.8 -0.400    19.47 21.35 02a57243o0318c 0xc00900      4739.5
57243.468496 19.841877      NaN  4715.5    14 c    0   1.47 0.96079 -11.47461  2256.25  3407.53 3.95 3.63 -35.3 -0.401    19.46 21.37 02a57243o0321c 0xc00800      4739.5
57243.509875 19.922338      NaN  4713.5    13 c    0   1.47 0.96079 -11.47461  3709.12  1955.98 3.87 3.57 -21.3 -0.412    19.52 21.40 02a57243o0369c 0xc00900      4739.5
57243.518996 19.212347      NaN  4766.5    16 c    0   0.86 0.96079 -11.47461  3711.22  1958.49 3.83 3.53 -16.9 -0.415    19.52 21.37 02a57243o0382c 0xc00900      4739.5
57244.468035 19.102305      NaN  4780.5    14 c    0   1.47 0.96079 -11.47461  2266.86  3408.37 3.84 3.56 -39.6 -0.406    19.47 21.33 02a57244o0285c 0xc00800      4739.5
57244.470078 19.696897      NaN  4710.5    16 c    0   0.98 0.96079 -11.47461  2264.45  3408.48 3.88 3.54 -39.5 -0.405    19.48 21.36 02a57244o0288c 0xc00800      4739.5
57244.505230 19.652575      NaN  4741.5    16 c    0   1.08 0.96079 -11.47461  3717.53  1958.80 3.92 3.54 -16.7 -0.413    19.53 21.43 02a57244o0337c 0xc00800      4739.5
57244.515764 19.743105      NaN  4743.5    14 c    0   1.19 0.96079 -11.47461  3718.62  1959.60 3.87 3.53 -20.0 -0.414    19.53 21.41 02a57244o0352c 0xc00800      4739.5
57245.461323 19.922338      NaN  4716.5    13 c    0   1.55 0.96079 -11.47461  2276.45  3409.16 3.81 3.52 -39.1 -0.410    19.44 21.26 02a57245o0307c 0xc00800      4739.5
57245.463436 19.510313      NaN  4748.5    16 c    0   1.22 0.96079 -11.47461  2274.09  3409.26 3.95 3.61 -37.9 -0.402    19.42 21.27 02a57245o0310c 0xc00800      4739.5
57245.497676 19.696897      NaN  4733.5    16 c    0   1.16 0.96079 -11.47461  3726.22  1959.21 3.89 3.51 -17.7 -0.416    19.45 21.27 02a57245o0358c 0xc00800      4739.5
57245.507610 19.089302      NaN  4775.5    16 c    0   1.08 0.96079 -11.47461  3724.60  1960.72 3.94 3.56 -18.0 -0.411    19.46 21.30 02a57245o0372c 0xc00800      4739.5
57304.378766 20.959772      NaN   -85.5     5 c    0   4.63 0.96079 -11.47461  2295.58  3426.77 4.25 3.62 -53.8 -0.465    19.43 21.43 02a57304o0268c 0xc00800      4739.5
57304.444797 20.761819      NaN     6.5     6 c    0   1.51 0.96079 -11.47461  6807.34  8630.37 4.43 3.61 -85.1 -0.415    19.39 21.42 02a57304o0356c 0xc00800      4739.5
57308.371368 20.959772      NaN    19.5     5 c    0   3.47 0.96079 -11.47461  2291.74  3438.04 4.78 3.98 -38.8 -0.432    19.37 21.35 02a57308o0267c 0xc00800      4739.5
57308.395337 21.202047      NaN    50.5     4 c    0   2.56 0.96079 -11.47461  8330.93  7182.16 4.39 3.75 -87.8 -0.443    19.40 21.37 02a57308o0303c 0xc00800      4739.5
57308.408329 20.959772      NaN   -18.5     5 c    0   2.97 0.96079 -11.47461  6858.91  8636.30 4.30 3.80 -79.2 -0.428    19.40 21.37 02a57308o0316c 0xc00800      4739.5
57308.439356 20.959772      NaN  -147.5     5 c    0   4.46 0.96079 -11.47461  6857.69  8637.14 4.40 3.85 -76.9 -0.425    19.35 21.31 02a57308o0362c 0xc00800      4739.5
57311.345831 20.959772      NaN  -338.5     5 c    0   6.56 0.96079 -11.47461  2332.52  3438.22 4.99 3.99 -33.9 -0.468    19.32 21.30 02a57311o0245c 0xc00800      4739.5
57311.373210 20.959772      NaN  -256.5     5 c    0   6.57 0.96079 -11.47461  2319.42  3445.14 4.97 3.94 -34.9 -0.469    19.37 21.37 02a57311o0286c 0xc00800      4739.5
57311.407392 21.202047      NaN  -177.5     4 c    0   6.69 0.96079 -11.47461  6843.55  8641.30 4.34 3.72 -78.8 -0.458    19.41 21.40 02a57311o0337c 0xc00800      4739.5
57317.245337 18.675237      NaN  -139.5    41 c    0   1.31 0.96079 -11.47461  2389.90  3431.47 4.58 3.81 -33.1 -0.488    18.46 19.54 02a57317o0089c 0xc00a00      4739.5
57317.259541 19.351140      NaN  -623.5    22 c    0   2.81 0.96079 -11.47461  2387.40  3432.19 4.74 3.95 -32.4 -0.490    18.50 19.65 02a57317o0111c 0xc00800      4739.5
57317.275691 18.702047      NaN  -126.5    40 c    0   1.54 0.96079 -11.47461  3848.93  1979.28 4.82 3.81 -15.2 -0.468    18.56 19.71 02a57317o0136c 0xc00a00      4739.5
57317.294416 19.128787      NaN  -433.5    27 c    0   1.91 0.96079 -11.47461  3843.65  1982.22 5.23 4.15 -13.9 -0.470    18.55 19.80 02a57317o0161c 0xc00800      4739.5
57333.322782 21.202047      NaN   308.5     4 c    0   6.17 0.96079 -11.47461  8421.92  7205.42 3.87 3.63  82.2 -0.397    19.37 21.14 02a57333o0212c 0xc00800      4739.5
57333.349061 20.959772      NaN   189.5     5 c    0   2.84 0.96079 -11.47461  8418.30  7208.69 3.73 3.49  86.4 -0.409    19.38 21.12 02a57333o0250c 0xc00800      4739.5
57333.375959 21.202047      NaN    -6.5     4 c    0   5.23 0.96079 -11.47461  6950.60  8667.43 3.77 3.66  80.1 -0.404    19.40 21.19 02a57333o0289c 0xc00800      4739.5
57333.404972 20.959772      NaN    54.5     5 c    0   2.52 0.96079 -11.47461  6952.99  8670.91 4.08 3.94  79.5 -0.380    19.32 21.22 02a57333o0331c 0xc00800      4739.5
57392.230627 19.841877      NaN   153.5    14 c    0   0.78 0.96079 -11.47461  3814.13  7393.19 4.12 3.84 -83.4 -0.438    19.22 21.01 02a57392o0056c 0xc00800      4739.5
57392.287696 20.761819      NaN    83.5     6 c    0   1.23 0.96079 -11.47461  5860.18  8566.43 4.03 3.72 -84.2 -0.443    19.10 20.86 02a57392o0092c 0xc00800      4739.5
57398.232916 21.202047      NaN   -74.5     4 c    0   4.67 0.96079 -11.47461  8759.48  6875.41 3.99 3.61  79.0 -0.533    19.32 21.14 02a57398o0071c 0xc00a00      4739.5
57398.264441 21.514394      NaN  -280.5     3 c    0  13.53 0.96079 -11.47461  8222.95  6289.44 3.95 3.59  82.5 -0.447    19.19 20.95 02a57398o0111c 0xc00801      4739.5
57398.280976 21.202047      NaN  -156.5     4 c    0   5.63 0.96079 -11.47461  7973.78  8030.56 4.00 3.68  85.3 -0.435    19.14 20.92 02a57398o0138c 0xc00800      4739.5
57399.228756 21.202047      NaN   -99.5     4 c    0   4.87 0.96079 -11.47461  8751.42  6875.59 4.02 3.60  83.2 -0.451    19.25 21.02 02a57399o0065c 0xc00800      4739.5
57399.242208 20.959772      NaN  -304.5     5 c    0   2.88 0.96079 -11.47461  9061.26  7456.53 4.01 3.52  81.3 -0.457    19.25 21.02 02a57399o0087c 0xc00800      4739.5
57399.258775 21.202047      NaN  -322.5     4 c    0  10.88 0.96079 -11.47461  8211.73  6290.70 3.99 3.67  81.4 -0.460    19.20 21.00 02a57399o0114c 0xc00801      4739.5
57399.275329 21.202047      NaN  -502.5     4 c    0  20.49 0.96079 -11.47461  7962.65  8030.64 3.95 3.67  82.7 -0.447    19.16 20.94 02a57399o0141c 0xc00801      4739.5
57575.578116 21.514394      NaN  -466.5     3 c    0   6.92 0.96079 -11.47461  1395.61  4121.30 4.28 3.73 -41.0 -0.430    19.58 21.65 02a57575o0663c 0xc00800      4739.5
57575.589977 21.514394      NaN  -276.5     3 c    0   2.83 0.96079 -11.47461  1413.85  4160.75 4.16 3.63 -44.3 -0.445    19.62 21.68 02a57575o0687c 0xc00800      4739.5
57575.601866 21.514394      NaN  -301.5     3 c    0   3.20 0.96079 -11.47461  1355.27  4084.65 4.18 3.68 -40.0 -0.440    19.60 21.66 02a57575o0711c 0xc00800      4739.5
57575.613779 21.202047      NaN  -575.5     4 c    0   9.91 0.96079 -11.47461  1333.74  4201.75 4.04 3.54 -43.3 -0.454    19.33 21.05 02a57575o0735c 0xc00800      4739.5
57575.626276 15.614805      NaN  -725.5   687 c    0   1.15 0.96079 -11.47461  1367.17  4144.08 4.00 3.54 -42.7 -0.546    16.31 16.13 02a57575o0760c 0xc00802      4739.5
57576.578602 21.514394      NaN   185.5     3 c    0   3.27 0.96079 -11.47461  1950.03  3944.92 3.98 3.54 -37.3 -0.442    19.60 21.59 02a57576o0523c 0xc00800      4739.5
57576.590445 21.514394      NaN  -445.5     3 c    0   8.96 0.96079 -11.47461  1967.30  3984.09 4.05 3.60 -34.9 -0.440    19.61 21.62 02a57576o0547c 0xc00800      4739.5
57576.602303 21.514394      NaN   -17.5     3 c    0   4.56 0.96079 -11.47461  1908.57  3907.51 4.19 3.73 -36.5 -0.420    19.57 21.62 02a57576o0571c 0xc00800      4739.5
57576.614197 21.202047      NaN  -454.5     4 c    0  19.25 0.96079 -11.47461  1887.56  4025.88 4.03 3.57 -37.7 -0.439    19.31 21.01 02a57576o0595c 0xc00801      4739.5
57576.626677 17.564935      NaN  -256.5   114 c    0   0.70 0.96079 -11.47461  1921.98  3968.63 4.08 3.58 -36.6 -0.466    17.88 18.34 02a57576o0620c 0xc00a00      4739.5
57577.571037 21.514394      NaN  -267.5     3 c    0   4.39 0.96079 -11.47461  1781.01  4101.31 3.89 3.55 -39.2 -0.424    19.64 21.64 02a57577o0638c 0xc00800      4739.5
57577.582911 21.514394      NaN   -44.5     3 c    0   2.51 0.96079 -11.47461  1797.61  4140.30 4.18 3.85 -39.1 -0.407    19.56 21.66 02a57577o0662c 0xc00800      4739.5
57577.595407 21.514394      NaN  -329.5     3 c    0   2.80 0.96079 -11.47461  1737.20  4064.29 4.05 3.71 -38.0 -0.414    19.61 21.66 02a57577o0686c 0xc00800      4739.5
57577.607316 21.954622      NaN  -530.5     2 c    0   5.73 0.96079 -11.47461  1716.08  4181.32 4.04 3.70 -37.3 -0.416    19.57 21.56 02a57577o0710c 0xc00800      4739.5
57577.619767 20.959772      NaN  -180.5     5 c    0   2.24 0.96079 -11.47461  1751.01  4124.67 4.02 3.67 -42.5 -0.433    18.81 20.10 02a57577o0735c 0xc00800      4739.5
57601.522172 21.202047      NaN  -266.5     4 c    0   7.83 0.96079 -11.47461  1001.75  2028.94 4.66 3.61 -22.8 -0.469    19.62 21.68 02a57601o0543c 0xc00800      4739.5
57601.534773 21.514394      NaN  -121.5     3 c    0   6.51 0.96079 -11.47461  1018.41  2069.74 4.67 3.64 -22.5 -0.464    19.64 21.73 02a57601o0567c 0xc00800      4739.5
57601.547134 21.514394      NaN    11.5     3 c    0   2.98 0.96079 -11.47461   960.03  1992.67 4.71 3.65 -22.7 -0.469    19.66 21.78 02a57601o0591c 0xc00800      4739.5
57601.559532 21.514394      NaN    27.5     3 c    0   5.50 0.96079 -11.47461   940.04  2110.75 4.67 3.62 -23.9 -0.466    19.70 21.82 02a57601o0615c 0xc00800      4739.5
57601.571322 21.514394      NaN  -104.5     3 c    0   5.08 0.96079 -11.47461   974.00  2054.99 4.68 3.60 -26.6 -0.470    19.69 21.82 02a57601o0639c 0xc00800      4739.5
57602.521450 21.202047      NaN  -225.5     4 c    0  15.93 0.96079 -11.47461  2377.42  2359.93 4.47 3.56 -19.7 -0.470    19.57 21.61 02a57602o0517c 0xc00801      4739.5
57602.534398 21.514394      NaN   168.5     3 c    0   4.77 0.96079 -11.47461  2394.50  2397.75 4.50 3.55 -17.6 -0.472    19.61 21.69 02a57602o0540c 0xc00a00      4739.5
