         MJD         m       dm      uJy    duJy   F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57315.223672 17.259754      NaN   -120.0   151.0   c  0.0   0.97 277.6891 42.36232  1441.43  5083.91 4.54 3.59 -53.6 -0.518    17.04 18.01 02a57315o0059c 0xc00800
57315.241723 18.878500      NaN    -22.0    34.0   c  0.0   1.01 277.6891 42.36232  1438.54  5082.72 4.64 3.72 -50.7 -0.435    18.70 20.17 02a57315o0087c 0xc00800
57315.262496 18.024380      NaN     38.0    62.0   c  0.0   1.09 277.6891 42.36232  9706.13  6599.30 4.88 3.77  84.6 -0.472    18.14 19.50 02a57315o0119c 0xc00800
57315.281499 17.464922      NaN   -192.0   125.0   c  0.0   0.74 277.6891 42.36232  9703.32  6600.13 4.91 3.66  86.5 -0.476    18.33 19.78 02a57315o0148c 0xc00800
57316.267196 18.649074      NaN     30.0    32.0   c  0.0   1.18 277.6891 42.36232  9695.40  6594.92 5.00 3.95  83.6 -0.455    18.77 20.27 02a57316o0096c 0xc00800
57316.285706 18.582238      NaN     11.0    41.0   c  0.0   0.80 277.6891 42.36232  9692.91  6596.86 4.96 3.93  85.2 -0.446    18.73 20.19 02a57316o0124c 0xc00800
57448.659812 18.990530      NaN      2.0    30.0   c  0.0   1.37 277.6891 42.36232  9180.25  5413.87 4.03 3.68  75.2 -0.435    18.73 19.95 02a57448o0715c 0xc00800
57449.651909 19.436675      NaN     10.0    17.0   c  0.0   1.71 277.6891 42.36232  9425.24  5362.35 3.89 3.37  79.7 -0.456    19.21 20.76 02a57449o0867c 0xc00900
57449.669026 16.741693      NaN     82.0   216.0   c  0.0   2.24 277.6891 42.36232  9715.33  5940.60 3.94 3.24  81.4 -0.508    17.57 17.59 02a57449o0901c 0xc00802
57458.641502 19.652575      NaN      2.0    16.0   c  0.0   0.82 277.6891 42.36232  9506.28  5209.32 4.19 3.92  67.8 -0.429    19.51 21.60 02a57458o0847c 0xc00800
57458.658915 18.169360      NaN     16.0    60.0   c  0.0   1.04 277.6891 42.36232  9810.42  5788.15 4.28 3.92  66.5 -0.443    18.33 19.28 02a57458o0881c 0xc00800
57488.538191 19.384550      NaN     16.0    16.0   c  0.0   1.14 277.6891 42.36232  9655.86  5290.41 4.12 3.47  79.5 -0.456    19.49 21.40 02a57488o0587c 0xc00900
57488.558320 18.990530      NaN     38.0    18.0   c  0.0   0.86 277.6891 42.36232  9948.49  5867.78 4.10 3.28  81.7 -0.451    19.51 21.40 02a57488o0628c 0xc00800
57488.570941 19.589310      NaN      5.0    16.0   c  0.0   1.01 277.6891 42.36232   214.53  5809.48 4.20 3.50 -48.8 -0.410    19.52 21.39 02a57488o0654c 0xc00800
57488.573416 19.569016      NaN     -4.0    18.0   c  0.0   0.97 277.6891 42.36232  8764.91  6490.84 3.88 3.28  83.7 -0.454    19.55 21.45 02a57488o0659c 0xc00800
57488.587718 19.631075      NaN     -6.0    17.0   c  0.0   1.13 277.6891 42.36232  8522.41  6501.46 3.90 3.30 -80.1 -0.431    19.36 21.34 02a57488o0688c 0xc00800
57515.474133 19.472870      NaN      8.0    17.0   c  0.0   0.96 277.6891 42.36232  8651.11  3944.95 3.85 3.56  66.2 -0.451    19.60 21.56 02a57515o0523c 0xc00800
57515.475650 19.271854      NaN     29.0    14.0   c  0.0   1.31 277.6891 42.36232  8665.56  3983.97 3.89 3.56  68.7 -0.452    19.59 21.56 02a57515o0526c 0xc00800
