         MJD         m  dm      uJy    duJy   F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57247.240315 16.866048 NaN   -228.0   217.0   c  0.0   1.45 232.10426 8.80615  2778.38  7867.43 3.84 3.66 -81.0 -0.425    16.81 17.59 02a57247o0013c 0xc00802
57247.259632 19.089302 NaN    -19.0    28.0   c  0.0   1.00 232.10426 8.80615  2768.19  7865.26 3.94 3.74 -69.3 -0.417    18.97 20.85 02a57247o0040c 0xc00800
57247.267669 19.401649 NaN    -18.0    21.0   c  0.0   0.98 232.10426 8.80615  1297.51  9340.46 3.99 3.85 -43.3 -0.416    19.25 21.22 02a57247o0051c 0xc00800
57247.292449 18.867907 NaN      7.0    32.0   c  0.0   0.67 232.10426 8.80615  1297.62  9339.76 4.07 3.85 -50.1 -0.415    19.18 21.10 02a57247o0085c 0xc00800
57248.238545 17.990970 NaN   -132.0    77.0   c  0.0   1.23 232.10426 8.80615  2768.10  7856.28 4.05 3.94  79.9 -0.413    18.22 19.04 02a57248o0002c 0xc00800
57248.240049 18.376212 NaN    -79.0    54.0   c  0.0   1.16 232.10426 8.80615  2766.64  7855.91 4.13 4.01 -71.1 -0.418    18.40 19.43 02a57248o0004c 0xc00800
57248.258033 19.569016 NaN    -13.0    18.0   c  0.0   1.65 232.10426 8.80615  1287.08  9326.75 4.19 3.99 -48.2 -0.405    19.41 21.38 02a57248o0030c 0xc00800
57248.284602 19.419021 NaN     11.0    17.0   c  0.0   0.95 232.10426 8.80615  1286.64  9325.61 4.21 3.85 -53.1 -0.421    19.46 21.44 02a57248o0067c 0xc00800
57250.264582 17.976960 NaN     12.0    74.0   c  0.0   1.29 232.10426 8.80615  1274.24  9335.53 4.10 3.98  16.9 -0.428    19.14 21.28 02a57250o0010c 0xc00800
57250.289156 19.271854 NaN      8.0    21.0   c  0.0   1.11 232.10426 8.80615  1276.76  9334.38 4.00 3.85 -54.6 -0.418    19.34 21.26 02a57250o0045c 0xc00800
57277.219947 17.411259 NaN    154.0    80.0   c  0.0   1.26 232.10426 8.80615  7210.94  3798.49 4.13 3.82  88.8 -0.425    17.91 18.50 02a57277o0037c 0xc00900
