         MJD         m       dm     uJy   duJy   F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57319.626035 18.729535      NaN   -17.0   39.0   o  0.0   1.06 144.89569 30.21158  7872.90    85.80  6.12 3.61  11.8 -0.396    18.88 20.44 02a57319o0644o 0xc00800
57319.650589 18.034118      NaN  -152.0   74.0   o  0.0   0.84 144.89569 30.21158  7872.47    91.54  5.96 3.37  10.8 -0.444    18.21 19.17 02a57319o0675o 0xc00900
57324.556333 17.613631      NaN   -41.0  109.0   o  0.0   0.55 144.89569 30.21158  7904.85    88.90  7.04 4.76   9.3 -0.453    18.05 19.11 02a57324o0585o 0xc00900
57324.571241 18.526952      NaN  -114.0   47.0   o  0.0   1.19 144.89569 30.21158  5604.57  9860.90  4.51 3.65 -70.1 -0.473    18.13 19.20 02a57324o0604o 0xc00800
57324.575085 15.838667      NaN    60.0  539.0   o  0.0   0.02 144.89569 30.21158  7903.84    91.79  6.81 4.26  10.1 -0.384    18.17 19.21 02a57324o0610o 0xc00802
57324.590421 18.311179      NaN    43.0   43.0   o  0.0   1.27 144.89569 30.21158  5600.76  9864.91  4.68 3.92 -70.4 -0.479    18.17 19.32 02a57324o0634o 0xc00900
57324.607164 18.237955      NaN    43.0   47.0   o  0.0   0.94 144.89569 30.21158  7095.93  8402.68  4.71 3.86 -83.1 -0.450    18.20 19.41 02a57324o0660o 0xc00800
57324.621215 18.702047      NaN    -7.0   40.0   o  0.0   1.20 144.89569 30.21158  7094.93  8406.17  4.41 3.58 -81.2 -0.476    18.28 19.46 02a57324o0681o 0xc00800
57362.565150 19.212347      NaN   -22.0   25.0   o  0.0   0.99 144.89569 30.21158  5358.71 10218.76  3.60 3.58  53.3 -0.427    19.10 20.64 02a57362o0527o 0xc00800
57362.577447 19.051202      NaN   -16.0   29.0   o  0.0   0.90 144.89569 30.21158  7684.17   455.06  4.42 3.38   5.5 -0.476    19.09 20.59 02a57362o0544o 0xc00800
57362.593988 19.076453      NaN    16.0   23.0   o  0.0   1.08 144.89569 30.21158  5070.71  9626.67  3.56 3.41 -81.2 -0.447    19.10 20.61 02a57362o0569o 0xc00800
57362.595228 19.241693      NaN     7.0   22.0   o  0.0   1.33 144.89569 30.21158  8263.01  1032.75  4.15 3.39  10.7 -0.494    19.11 20.62 02a57362o0571o 0xc00800
57362.631171 19.351140      NaN    -3.0   22.0   o  0.0   0.99 144.89569 30.21158  6282.01  9046.83  3.58 3.39  88.9 -0.449    19.10 20.60 02a57362o0612o 0xc00800
57363.555871 18.574166      NaN    60.0   25.0   o  0.0   0.85 144.89569 30.21158  7678.29   454.11  4.30 3.36   6.5 -0.482    19.33 20.99 02a57363o0485o 0xc00900
57363.571160 19.351140      NaN    -8.0   22.0   o  0.0   0.91 144.89569 30.21158  5367.52 10216.20  3.51 3.43  14.6 -0.421    19.31 20.97 02a57363o0505o 0xc00800
57363.598176 19.351140      NaN    -5.0   22.0   o  0.0   0.92 144.89569 30.21158  5078.82  9627.21  3.62 3.49 -83.7 -0.428    19.24 20.90 02a57363o0542o 0xc00800
57363.600626 19.351140      NaN   -25.0   22.0   o  0.0   1.06 144.89569 30.21158  8266.72  1033.04  4.30 3.61   9.1 -0.483    19.22 20.86 02a57363o0546o 0xc00800
57363.634760 18.933071      NaN    31.0   22.0   o  0.0   0.78 144.89569 30.21158  6288.46  9039.93  3.56 3.37 -84.2 -0.449    19.18 20.74 02a57363o0583o 0xc00800
57364.498873 19.318728      NaN     2.0   22.0   o  0.0   1.16 144.89569 30.21158  5325.55 10197.26  3.51 3.47   6.2 -0.423    19.15 20.69 02a57364o0495o 0xc00800
57364.517977 19.302877      NaN   -18.0   23.0   o  0.0   0.92 144.89569 30.21158  5032.37  9615.38  3.82 3.47   2.8 -0.409    19.16 20.83 02a57364o0526o 0xc00800
57364.547416 19.472870      NaN     5.0   18.0   o  0.0   1.21 144.89569 30.21158  6235.80  9039.64  3.40 3.26  87.3 -0.449    19.26 20.86 02a57364o0574o 0xc00800
57365.572253 19.212347      NaN   -56.0   25.0   o  0.0   0.85 144.89569 30.21158  5366.83 10215.29  3.81 3.45   2.2 -0.410    19.10 20.67 02a57365o0598o 0xc00800
57365.590548 19.351140      NaN   -26.0   22.0   o  0.0   1.11 144.89569 30.21158  5072.42  9626.23  3.53 3.51  63.1 -0.421    19.13 20.66 02a57365o0620o 0xc00800
57365.632771 19.169763      NaN   -11.0   26.0   o  0.0   0.90 144.89569 30.21158  4695.00  1459.12  4.76 3.62  -8.8 -0.465    19.10 20.74 02a57365o0677o 0xc00800
57384.485063 17.016042      NaN    24.0  181.0   o  0.0   0.83 144.89569 30.21158  7622.84   437.79  4.20 3.43   6.0 -0.484    16.46 17.34 02a57384o0425o 0xc00802
57384.486939 13.961765      NaN -6109.0 3149.0   o  0.0   1.82 144.89569 30.21158  5307.87 10201.05  4.56 3.58   6.9 -0.448    16.51 16.75 02a57384o0428o 0xc00802
57384.513073 18.459772      NaN   -54.0   50.0   o  0.0   1.28 144.89569 30.21158  5012.81  9611.90  3.59 3.48  26.5 -0.414    18.34 19.17 02a57384o0467o 0xc00800
