         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57227.384938 19.089302      NaN   -26    28 o    0   1.10 329.8225 -6.99383  7070.14  9547.23 4.09 3.52 -74.6 -0.463    18.98 20.50 02a57227o0084o 0xc00800
57227.393514 18.776955      NaN    34    26 o    0   1.06 329.8225 -6.99383  2108.53  2113.55 3.93 3.47 -33.6 -0.457    18.98 20.49 02a57227o0096o 0xc00800
57227.407523 18.684100      NaN    56    22 o    0   1.45 329.8225 -6.99383  7077.18  9552.45 3.97 3.43 -74.5 -0.468    19.12 20.69 02a57227o0111o 0xc00900
57227.416697 19.212347      NaN   -13    25 o    0   1.02 329.8225 -6.99383  2115.32  2117.24 3.89 3.51 -33.8 -0.451    19.12 20.69 02a57227o0124o 0xc00800
57227.427958 19.401649      NaN    -8    21 o    0   1.08 329.8225 -6.99383  8531.67  8101.76 4.00 3.29 -86.6 -0.434    19.27 20.95 02a57227o0140o 0xc00800
57227.437278 19.510313      NaN    -4    19 o    0   1.57 329.8225 -6.99383  3586.99   656.85 3.91 3.46 -22.7 -0.495    19.26 20.96 02a57227o0153o 0xc00800
57227.453860 19.454622      NaN   -47    20 o    0   1.09 329.8225 -6.99383  8539.33  8104.91 3.99 3.32 -86.8 -0.450    19.29 20.99 02a57227o0172o 0xc00900
57227.462522 19.183773      NaN    14    21 o    0   1.19 329.8225 -6.99383  3593.06   659.74 3.84 3.43 -16.9 -0.489    19.28 20.95 02a57227o0184o 0xc00800
57229.451143 19.549093      NaN     7    16 o    0   4.41 329.8225 -6.99383 10430.85  4388.72 3.83 3.25  81.5 -0.478    18.96 20.40 02a57229o0283o 0xc00800
57229.451834 19.351140      NaN     6    20 o    0   1.51 329.8225 -6.99383   650.18  4377.65 3.66 3.37 -57.0 -0.442    18.95 20.38 02a57229o0284o 0xc00800
57229.465851 19.102305      NaN    23    20 o    0   1.34 329.8225 -6.99383   655.20  4377.26 3.70 3.37 -63.3 -0.438    19.01 20.49 02a57229o0303o 0xc00800
57229.468112 19.569016      NaN   -32    18 o    0   5.00 329.8225 -6.99383 10427.18  4390.32 3.82 3.17  81.1 -0.487    19.03 20.52 02a57229o0305o 0xc00800
