         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57395.626375 19.696897      NaN   -3.5    16 c    0   1.04 221.12387 33.98612  5102.07  2874.12 3.79 3.56 -14.0 -0.399    19.61 21.52 02a57395o0656c 0xc00800         2.5
57395.642647 19.841877      NaN   -6.5    14 c    0   1.21 221.12387 33.98612  4789.82  2289.07 3.92 3.61 -11.7 -0.407    19.61 21.52 02a57395o0681c 0xc00800         2.5
57395.658453 19.491430      NaN   18.5    14 c    0   1.14 221.12387 33.98612  5616.78  3454.66 3.69 3.63 -27.8 -0.391    19.59 21.46 02a57395o0706c 0xc00800         2.5
57395.673932 18.261819      NaN   80.5    34 c    0   1.31 221.12387 33.98612  5886.33  1704.94 3.92 3.56  -1.8 -0.431    18.67 19.68 02a57395o0731c 0xc00800         2.5
57451.561639 19.766969      NaN  -25.5    15 c    0   0.97 221.12387 33.98612  5555.53  2266.89 4.22 3.54  -4.6 -0.441    19.67 21.67 02a57451o0661c 0xc00800         2.5
57451.584652 19.454622      NaN   20.5    14 c    0   0.98 221.12387 33.98612  5842.94  2858.05 3.90 3.56  -5.7 -0.429    19.65 21.58 02a57451o0699c 0xc00900         2.5
57451.610801 19.841877      NaN   -3.5    14 c    0   0.98 221.12387 33.98612  5957.60  7253.55 3.67 3.37  89.3 -0.425    19.59 21.46 02a57451o0741c 0xc00800         2.5
57451.627935 19.841877      NaN   -0.5    14 c    0   0.98 221.12387 33.98612  6032.59  7180.82 3.68 3.39 -83.8 -0.432    19.57 21.44 02a57451o0770c 0xc00800         2.5
57455.562206 18.034118      NaN   80.5    48 c    0   1.20 221.12387 33.98612  5559.50  2425.31 4.18 3.56  -3.9 -0.434    18.28 20.16 02a57455o0635c 0xc00800         2.5
57455.587544 19.256669      NaN    1.5    24 c    0   1.20 221.12387 33.98612  5830.13  3014.26 3.89 3.57  -3.1 -0.428    19.01 20.96 02a57455o0671c 0xc00900         2.5
57455.611669 19.696897      NaN   -6.5    16 c    0   0.96 221.12387 33.98612  5969.40  7104.72 3.70 3.46 -87.9 -0.423    19.51 21.56 02a57455o0710c 0xc00800         2.5
57455.633720 19.589310      NaN   16.5    13 c    0   1.06 221.12387 33.98612  6029.25  7182.92 3.72 3.50 -87.6 -0.415    19.72 21.82 02a57455o0744c 0xc00800         2.5
57479.509390 19.287255      NaN   24.5    16 c    0   1.10 221.12387 33.98612  4952.46  8581.40 3.73 3.56 -81.8 -0.430    19.51 21.36 02a57479o0524c 0xc00800         2.5
57479.531374 19.696897      NaN   -0.5    16 c    0   1.24 221.12387 33.98612  4651.60  8001.89 3.68 3.45 -78.8 -0.446    19.49 21.26 02a57479o0563c 0xc00800         2.5
57487.481328 19.351140      NaN   26.5    14 c    0   1.11 221.12387 33.98612  5395.95  2361.68 4.05 3.62  -4.6 -0.436    19.65 21.65 02a57487o0521c 0xc00900         2.5
57487.492201 19.922338      NaN   -5.5    13 c    0   1.33 221.12387 33.98612  4968.32  7726.82 3.76 3.49 -80.7 -0.428    19.64 21.64 02a57487o0542c 0xc00800         2.5
57487.513628 19.766969      NaN   -4.5    15 c    0   0.82 221.12387 33.98612  6095.17  7150.35 3.88 3.52  88.8 -0.412    19.59 21.59 02a57487o0579c 0xc00800         2.5
57487.519061 19.609992      NaN    9.5    15 c    0   0.98 221.12387 33.98612  6012.53  7169.13 3.80 3.48  90.0 -0.417    19.61 21.59 02a57487o0589c 0xc00800         2.5
57489.461415 19.631075      NaN    2.5    17 c    0   1.13 221.12387 33.98612  5316.75  2513.76 4.62 3.45  -2.0 -0.427    19.57 21.77 02a57489o0482c 0xc00800         2.5
57489.492590 19.841877      NaN  -12.5    14 c    0   1.41 221.12387 33.98612  5024.42  7573.63 4.39 3.83  -3.7 -0.381    19.59 21.80 02a57489o0539c 0xc00800         2.5
57489.494301 19.922338      NaN  -10.5    13 c    0   1.14 221.12387 33.98612  4464.96  3677.28 3.86 3.59 -19.2 -0.407    19.74 21.80 02a57489o0542c 0xc00800         2.5
57513.417525 19.841877      NaN  -18.5    14 c    0   1.07 221.12387 33.98612  5280.27  3476.36 3.85 3.59  -9.2 -0.422    19.72 21.78 02a57513o0394c 0xc00800         2.5
57513.428719 19.696897      NaN  -19.5    16 c    0   0.76 221.12387 33.98612  5295.74  3514.27 3.83 3.59 -11.3 -0.414    19.69 21.73 02a57513o0415c 0xc00800         2.5
57513.436758 19.841877      NaN    0.5    14 c    0   1.31 221.12387 33.98612  5320.38  7121.03 3.73 3.61 -79.9 -0.416    19.66 21.74 02a57513o0431c 0xc00800         2.5
57513.452893 19.719755      NaN    7.5    14 c    0   1.02 221.12387 33.98612  5336.25  7011.03 3.78 3.49 -87.4 -0.422    19.71 21.80 02a57513o0460c 0xc00800         2.5
57513.465009 19.841877      NaN   -1.5    14 c    0   1.30 221.12387 33.98612  5303.79  7072.12 3.75 3.48 -87.1 -0.422    19.70 21.77 02a57513o0484c 0xc00800         2.5
57542.366507 19.841877      NaN    0.5    14 c    0   1.21 221.12387 33.98612  6089.46  7223.62 3.95 3.54 -87.2 -0.466    19.72 21.87 02a57542o0272c 0xc00800         2.5
57542.379956 19.652575      NaN   10.5    14 c    0   1.24 221.12387 33.98612  6076.03  7187.71 3.97 3.57 -86.1 -0.451    19.66 21.80 02a57542o0298c 0xc00800         2.5
57542.391987 19.766969      NaN   -7.5    15 c    0   1.14 221.12387 33.98612  6142.39  7267.21 3.98 3.48 -86.5 -0.455    19.72 21.84 02a57542o0322c 0xc00800         2.5
57542.411096 19.609992      NaN   12.5    14 c    0   1.00 221.12387 33.98612  6161.08  7155.07 3.95 3.54 -81.5 -0.453    19.71 21.86 02a57542o0359c 0xc00800         2.5
57542.413519 19.652575      NaN    7.5    15 c    0   1.05 221.12387 33.98612  6128.46  7211.77 4.01 3.51 -84.8 -0.445    19.71 21.86 02a57542o0364c 0xc00900         2.5
57546.361663 19.766969      NaN  -14.5    15 c    0   1.08 221.12387 33.98612  4003.30  6823.12 3.86 3.62 -72.8 -0.440    19.74 21.92 02a57546o0122c 0xc00800         2.5
57546.367571 19.696897      NaN  -29.5    16 c    0   0.84 221.12387 33.98612  3986.23  6786.53 3.87 3.63 -70.2 -0.443    19.73 21.91 02a57546o0134c 0xc00800         2.5
57546.394013 19.841877      NaN  -11.5    14 c    0   1.14 221.12387 33.98612  4053.40  6867.46 3.92 3.64 -65.1 -0.433    19.72 21.89 02a57546o0185c 0xc00800         2.5
57546.395949 20.009244      NaN    0.5    12 c    0   1.65 221.12387 33.98612  4070.06  6750.17 3.95 3.63 -68.4 -0.435    19.71 21.89 02a57546o0189c 0xc00800         2.5
57546.413098 19.652575      NaN   16.5    12 c    0   1.53 221.12387 33.98612  4041.81  6811.49 3.86 3.52 -67.9 -0.448    19.70 21.82 02a57546o0222c 0xc00800         2.5
57550.362665 19.631075      NaN    1.5    17 c    0   0.94 221.12387 33.98612  5235.07  7578.80 3.92 3.61 -81.8 -0.433    19.39 21.23 02a57550o0172c 0xc00800         2.5
57550.367508 19.631075      NaN  -18.5    17 c    0   0.95 221.12387 33.98612  5187.77  7638.53 3.88 3.56 -84.5 -0.438    19.41 21.24 02a57550o0182c 0xc00800         2.5
57606.288960 19.766969      NaN   -1.5    15 c    0   0.92 221.12387 33.98612  5168.07  6798.31 3.78 3.61 -88.7 -0.408    19.62 21.59 02a57606o0027c 0xc00800         2.5
57606.312102 19.816329      NaN    9.5    12 c    0   1.39 221.12387 33.98612  5247.18  6757.85 3.83 3.64 -81.3 -0.421    19.63 21.65 02a57606o0058c 0xc00800         2.5
57626.244055 19.183773      NaN   28.5    17 c    0   1.27 221.12387 33.98612  5422.57  8327.04 4.02 3.81 -71.9 -0.421    19.38 21.24 02a57626o0030c 0xc00800         2.5
57626.249819 19.155932      NaN   30.5    17 c    0   1.01 221.12387 33.98612  3511.77  8313.71 3.99 3.78 -51.2 -0.418    19.49 21.48 02a57626o0041c 0xc00800         2.5
57626.258139 19.631075      NaN  -10.5    17 c    0   1.18 221.12387 33.98612  3576.13  8390.14 3.90 3.70 -50.5 -0.426    19.54 21.54 02a57626o0057c 0xc00900         2.5
57626.269087 19.631075      NaN  -21.5    17 c    0   0.84 221.12387 33.98612  3591.31  8273.12 3.95 3.75 -51.2 -0.412    19.48 21.47 02a57626o0078c 0xc00800         2.5
57626.279980 19.367717      NaN   10.5    19 c    0   0.93 221.12387 33.98612  3558.42  8329.35 4.20 4.01 -50.3 -0.396    19.37 21.43 02a57626o0099c 0xc00800         2.5
57777.651132 19.652575      NaN   10.5    14 c    0   0.93 221.12387 33.98612  6327.46  3518.00 3.80 3.65  85.1 -0.379    19.85 21.97 02a57777o0822c 0xc00800         2.5
57777.668398 19.631075      NaN  -27.5    17 c    0   0.96 221.12387 33.98612  6344.57  3558.51 3.81 3.67  85.1 -0.372    19.48 21.23 02a57777o0848c 0xc00800         2.5
57781.641404 20.039830      NaN    4.5    11 c    0   1.32 221.12387 33.98612  5975.81  3246.48 3.77 3.57 -87.0 -0.392    19.93 22.07 02a57781o0743c 0xc00800         2.5
57781.659904 19.922338      NaN    2.5    13 c    0   1.06 221.12387 33.98612  6011.34  3287.54 3.74 3.55 -88.1 -0.394    19.88 21.96 02a57781o0769c 0xc00800         2.5
57781.677589 18.158337      NaN   -0.5    66 c    0   4.94 221.12387 33.98612  5948.78  3211.66 3.83 3.61 -84.1 -0.389    18.24 18.74 02a57781o0795c 0xc00800         2.5
57786.598136 19.472870      NaN   10.5    17 c    0   0.97 221.12387 33.98612   566.67 10378.71 3.94 3.58  22.0 -0.445    19.81 21.93 02a57786o0572c 0xc00900         2.5
57786.611138 19.696897      NaN  -32.5    16 c    0   0.97 221.12387 33.98612   585.64 10422.05 4.03 3.70  22.6 -0.442    19.84 21.99 02a57786o0596c 0xc00800         2.5
57786.623960 19.510313      NaN   14.5    15 c    0   1.15 221.12387 33.98612   518.92 10343.55 3.94 3.59  22.5 -0.463    19.89 22.04 02a57786o0620c 0xc00800         2.5
57786.636842 19.569016      NaN  -14.5    18 c    0   1.11 221.12387 33.98612   498.25 10464.20 4.04 3.70  24.3 -0.443    19.89 22.07 02a57786o0644c 0xc00800         2.5
57786.649727 18.048890      NaN   50.5    57 c    0   0.98 221.12387 33.98612   545.96 10407.05 4.03 3.69  24.0 -0.447    18.65 20.61 02a57786o0668c 0xc00800         2.5
57809.586202 18.526952      NaN  -97.5    47 c    0   1.05 221.12387 33.98612  5474.36  3208.67 3.77 3.62  87.9 -0.382    18.32 20.20 02a57809o0662c 0xc00800         2.5
57809.619314 16.416409      NaN   39.5   316 c    0   0.86 221.12387 33.98612  5055.07  7275.06 3.52 3.51 -74.3 -0.434    16.36 18.03 02a57809o0716c 0xc00802         2.5
57809.638025 17.515292      NaN   90.5    90 c    0   1.39 221.12387 33.98612  5072.92  7165.05 3.51 3.50 -56.4 -0.438    17.51 19.24 02a57809o0742c 0xc00800         2.5
57809.657458 17.035362      NaN   25.5   178 c    0   1.36 221.12387 33.98612  5034.16  7219.47 3.53 3.52 -80.7 -0.444    16.97 18.57 02a57809o0769c 0xc00802         2.5
57817.549024 20.009244      NaN   -2.5    12 c    0   1.09 221.12387 33.98612  4923.44  3649.96 3.76 3.68  85.4 -0.379    19.83 22.01 02a57817o0520c 0xc00900         2.5
57817.556842 20.039830      NaN    4.5    11 c    0   1.09 221.12387 33.98612  4940.80  3688.40 3.71 3.64  85.4 -0.384    19.83 22.00 02a57817o0534c 0xc00800         2.5
57817.582914 20.009244      NaN   -9.5    12 c    0   0.89 221.12387 33.98612  4876.04  3617.01 3.68 3.61  82.5 -0.389    19.85 22.00 02a57817o0577c 0xc00800         2.5
57817.599124 19.169763      NaN    2.5    26 c    0   0.93 221.12387 33.98612  4859.39  3735.11 3.73 3.63  84.2 -0.382    19.29 21.37 02a57817o0603c 0xc00800         2.5
57817.613894 19.696897      NaN   -7.5    16 c    0   0.97 221.12387 33.98612  5594.31  6778.89 3.75 3.57  88.4 -0.412    19.55 21.66 02a57817o0629c 0xc00800         2.5
57833.547861 19.351140      NaN  -30.5    22 c    0   1.14 221.12387 33.98612  5131.17  6336.78 4.75 4.10 -85.0 -0.399    18.70 20.56 02a57833o0576c 0xc00800         2.5
57833.549423 19.454622      NaN  -15.5    20 c    0   1.11 221.12387 33.98612  5114.78  6297.81 4.15 3.88 -86.9 -0.403    18.78 20.55 02a57833o0579c 0xc00800         2.5
57833.582714 19.454622      NaN    8.5    18 c    0   1.32 221.12387 33.98612  5157.72  6374.65 3.64 3.60 -64.7 -0.429    18.85 20.50 02a57833o0636c 0xc00800         2.5
57833.585300 19.454622      NaN   -6.5    20 c    0   1.30 221.12387 33.98612  5175.08  6260.80 3.62 3.59 -73.1 -0.434    18.85 20.50 02a57833o0641c 0xc00800         2.5
57833.603253 19.510313      NaN  -17.5    19 c    0   1.41 221.12387 33.98612  5134.70  6314.36 3.80 3.73  79.7 -0.397    18.82 20.48 02a57833o0668c 0xc00800         2.5
57837.526624 19.631075      NaN  -36.5    17 c    0   0.94 221.12387 33.98612  4406.94  7416.32 3.53 3.48   4.0 -0.449    19.15 21.16 02a57837o0470c 0xc00800         2.5
57837.537956 19.696897      NaN  -15.5    16 c    0   1.25 221.12387 33.98612  4373.22  7377.11 3.53 3.48  10.4 -0.453    19.16 21.18 02a57837o0489c 0xc00800         2.5
57837.563040 19.631075      NaN  -23.5    17 c    0   1.06 221.12387 33.98612  4439.49  7456.91 3.57 3.46  -0.3 -0.448    19.14 21.17 02a57837o0531c 0xc00800         2.5
57837.583876 19.197966      NaN   24.5    18 c    0   1.11 221.12387 33.98612  4453.62  7339.90 3.55 3.45 -16.8 -0.464    19.15 21.19 02a57837o0565c 0xc00800         2.5
57837.598101 19.436675      NaN   18.5    15 c    0   1.41 221.12387 33.98612  4417.19  7395.79 3.48 3.41 -22.1 -0.467    19.15 21.16 02a57837o0589c 0xc00800         2.5
57838.514218 19.197966      NaN   18.5    20 c    0   1.24 221.12387 33.98612  1571.42 10397.59 4.61 4.29  27.4 -0.394    19.01 21.24 02a57838o0495c 0xc00800         2.5
57838.527996 19.569016      NaN  -12.5    18 c    0   1.26 221.12387 33.98612  1584.49 10434.82 4.04 3.56  18.4 -0.415    19.11 21.23 02a57838o0521c 0xc00800         2.5
57838.541307 19.510313      NaN   -3.5    19 c    0   1.02 221.12387 33.98612  8962.02    88.46 4.01 3.94   2.9 -0.408    19.09 21.21 02a57838o0546c 0xc00800         2.5
57841.518696 19.128787      NaN  -28.5    27 c    0   1.03 221.12387 33.98612  4376.64  8758.80 3.92 3.13  -6.0 -0.420    18.94 20.92 02a57841o0537c 0xc00800         2.5
57841.531562 19.510313      NaN  -23.5    19 c    0   1.12 221.12387 33.98612  4355.79  8718.99 3.75 3.60   6.6 -0.445    19.00 20.94 02a57841o0559c 0xc00800         2.5
57841.554059 19.367717      NaN    7.5    20 c    0   1.05 221.12387 33.98612  4403.42  8796.39 3.92 3.52   4.6 -0.404    18.99 20.95 02a57841o0596c 0xc00800         2.5
57841.557185 19.334813      NaN    6.5    21 c    0   0.81 221.12387 33.98612  4421.94  8682.18 3.68 3.48  -1.9 -0.427    19.02 20.95 02a57841o0602c 0xc00800         2.5
57841.580208 19.226921      NaN   16.5    20 c    0   1.15 221.12387 33.98612  4391.42  8740.83 3.60 3.37  -7.2 -0.397    19.04 20.96 02a57841o0640c 0xc00800         2.5
57869.603465 19.791368      NaN   10.5    12 c    0   1.20 221.12387 33.98612  4282.34  9012.62 2.78 2.54   3.1 -0.460    19.31 20.47 02a57869o0509c 0xc00900         2.5
57869.618124 20.009244      NaN   -3.5    12 c    0   1.15 221.12387 33.98612  4266.20  8975.46 2.78 2.56   6.7 -0.460    19.20 20.26 02a57869o0537c 0xc00800         2.5
57869.632786 17.240748      NaN   10.5   151 c    0   1.51 221.12387 33.98612  4330.90  9055.40 2.90 2.68   3.0 -0.506    17.69 17.41 02a57869o0565c 0xc00800         2.5
57893.423041 20.321591      NaN    1.5     9 c    0   1.27 221.12387 33.98612  3978.84  9681.32 2.52 2.26  -0.9 -0.496    19.87 21.75 02a57893o0336c 0xc00800         2.5
57893.434523 20.103715      NaN    5.5    10 c    0   1.14 221.12387 33.98612  3944.64  9642.32 2.67 2.36   0.9 -0.496    19.76 21.73 02a57893o0357c 0xc00800         2.5
57893.455666 20.321591      NaN  -20.5     9 c    0   1.41 221.12387 33.98612  4010.56  9719.73 2.70 2.42   0.4 -0.480    19.78 21.69 02a57893o0395c 0xc00800         2.5
57893.459180 19.979496      NaN    9.5    10 c    0   1.06 221.12387 33.98612  4028.39  9602.13 2.59 2.29   1.4 -0.502    19.79 21.68 02a57893o0401c 0xc00800         2.5
57893.477191 20.321591      NaN   -3.5     9 c    0   1.32 221.12387 33.98612  3998.03  9659.77 2.73 2.43  -0.3 -0.494    19.70 21.62 02a57893o0433c 0xc00900         2.5
57901.403684 19.791368      NaN   16.5    10 c    0   0.86 221.12387 33.98612  5014.09  8168.19 2.58 2.37  11.2 -0.495    19.87 21.80 02a57901o0241c 0xc00800         2.5
57901.415368 19.979496      NaN   12.5     9 c    0   0.95 221.12387 33.98612  4998.02  8128.49 2.57 2.37  15.0 -0.496    19.84 21.76 02a57901o0263c 0xc00800         2.5
57901.436079 20.282105      NaN    6.5     8 c    0   1.30 221.12387 33.98612  5048.25  8205.90 2.56 2.34  10.6 -0.487    19.87 21.75 02a57901o0301c 0xc00800         2.5
57901.439439 20.039830      NaN    7.5    10 c    0   1.05 221.12387 33.98612  5082.14  8089.53 2.67 2.47   9.9 -0.492    19.80 21.75 02a57901o0307c 0xc00800         2.5
57901.462585 20.071303      NaN    6.5    10 c    0   1.26 221.12387 33.98612  5032.70  8146.82 2.57 2.35  11.4 -0.485    19.84 21.66 02a57901o0348c 0xc00800         2.5
57983.268638 20.449472      NaN   -4.5     8 c    0   1.08 221.12387 33.98612  4928.21  7942.86 2.43 2.31  -6.3 -0.456    19.81 21.64 02a57983o0074c 0xc00800         2.5
57983.277476 19.894850      NaN   15.5     9 c    0   1.01 221.12387 33.98612  4910.72  7903.27 2.41 2.28  -5.7 -0.458    19.82 21.61 02a57983o0091c 0xc00800         2.5
57983.286309 19.743105      NaN   21.5     9 c    0   1.24 221.12387 33.98612  4957.85  7980.50 2.45 2.30  -0.9 -0.460    19.80 21.56 02a57983o0108c 0xc00800         2.5
57983.294978 20.244005      NaN    4.5     9 c    0   0.84 221.12387 33.98612  4989.84  7863.79 2.47 2.32  -1.4 -0.462    19.74 21.51 02a57983o0125c 0xc00800         2.5
57987.271912 17.740268      NaN -144.5    97 c    0   1.11 221.12387 33.98612  4523.62  8060.67 2.85 2.75  24.1 -0.409    16.71 18.91 02a57987o0059c 0xc00800         2.5
57987.280575 19.816329      NaN    9.5    12 c    0   0.88 221.12387 33.98612  4586.67  8137.62 2.72 2.61   6.1 -0.438    19.50 21.27 02a57987o0076c 0xc00800         2.5
58227.519010 16.157725 0.356121 1252.5   410 c    0   1.23 221.12387 33.98612  8944.44  2063.47 2.63 2.54  66.8 -0.430    15.62 17.12 02a58227o0436c 0xc00802         2.5
58227.539152 19.142275      NaN   13.5    23 c    0   1.24 221.12387 33.98612  8928.67  2024.38 2.68 2.55  64.9 -0.429    18.71 20.40 02a58227o0475c 0xc00800         2.5
58227.550943 19.510313      NaN   11.5    16 c    0   1.49 221.12387 33.98612  8994.44  2102.60 2.73 2.57  58.8 -0.429    19.04 20.84 02a58227o0499c 0xc00800         2.5
58227.567483 14.468279      NaN -184.5  1975 c    0   1.39 221.12387 33.98612  9009.89  1985.27 2.81 2.59  68.6 -0.453    16.53 18.35 02a58227o0532c 0xc00802         2.5
58251.619011 19.256669      NaN  -14.5    24 c    0   1.05 221.12387 33.98612  7941.22  3346.55 2.84 2.62 -47.7 -0.380    18.63 19.62 02a58251o0812c 0xc00900         2.5
58251.627040 17.095473      NaN  103.5   142 c    0   0.86 221.12387 33.98612  7939.78  3349.66 2.90 2.73 -44.6 -0.393    16.74 17.46 02a58251o0827c 0xc00800         2.5
58252.615280 19.569016      NaN  -16.5    18 c    0   0.95 221.12387 33.98612  7940.61  3344.48 2.67 2.53 -48.2 -0.396    19.06 20.26 02a58252o0768c 0xc00800         2.5
58252.623141 18.323878      NaN   22.5    50 c    0   1.39 221.12387 33.98612  7939.26  3347.28 2.70 2.56 -43.7 -0.404    17.63 18.39 02a58252o0783c 0xc00800         2.5
58259.436229 20.009244      NaN   11.5     9 c    0   0.97 221.12387 33.98612  9617.35  3017.14 2.92 2.72  48.6 -0.428    19.73 21.81 02a58259o0191c 0xc00800         2.5
58259.455631 20.449472      NaN    2.5     8 c    0   1.32 221.12387 33.98612  9584.20  2977.03 2.75 2.56  54.9 -0.430    19.83 21.91 02a58259o0229c 0xc00800         2.5
58259.467495 20.594452      NaN    0.5     7 c    0   1.80 221.12387 33.98612  9647.95  3056.01 2.70 2.50  52.9 -0.433    19.81 21.88 02a58259o0252c 0xc00900         2.5
58259.483857 20.449472      NaN   -4.5     8 c    0   1.58 221.12387 33.98612  9664.63  2938.33 2.84 2.68  52.9 -0.435    19.77 21.83 02a58259o0284c 0xc00800         2.5
58279.423948 20.103715      NaN    0.5    11 c    0   1.34 221.12387 33.98612  9534.74  2874.93 2.65 2.59  53.7 -0.438    19.57 21.54 02a58279o0378c 0xc00800         2.5
58279.435671 20.071303      NaN    6.5    10 c    0   1.56 221.12387 33.98612  9517.16  2836.37 2.70 2.60  53.9 -0.429    19.58 21.50 02a58279o0401c 0xc00800         2.5
58279.447095 19.419021      NaN   28.5    12 c    0   0.93 221.12387 33.98612  9564.64  2915.85 2.66 2.58  47.7 -0.435    19.55 21.42 02a58279o0424c 0xc00800         2.5
58279.460947 19.454622      NaN   29.5    11 c    0   1.22 221.12387 33.98612  9583.32  2799.43 2.66 2.56  49.3 -0.439    19.53 21.28 02a58279o0452c 0xc00800         2.5
58287.396177 20.103715      NaN    8.5     9 c    0   1.32 221.12387 33.98612  6743.56  3003.73 2.54 2.45 -58.7 -0.410    19.69 21.66 02a58287o0311c 0xc00800         2.5
58287.407376 20.321591      NaN   -0.5     9 c    0   0.95 221.12387 33.98612  6728.13  2964.40 2.52 2.42 -64.1 -0.415    19.76 21.75 02a58287o0333c 0xc00800         2.5
58287.418362 20.207197      NaN    5.5     9 c    0   1.00 221.12387 33.98612  6793.27  3041.08 2.93 2.71 -81.8 -0.393    19.68 21.77 02a58287o0355c 0xc00800         2.5
58287.421131 20.449472      NaN   -1.5     8 c    0   0.95 221.12387 33.98612  6810.70  2925.26 2.56 2.50 -71.1 -0.410    19.77 21.76 02a58287o0361c 0xc00800         2.5
58307.373320 20.594452      NaN   -0.5     7 c    0   1.77 221.12387 33.98612  7394.35  2883.28 2.63 2.53 -54.4 -0.408    19.73 21.77 02a58307o0202c 0xc00900         2.5
58307.386376 20.137125      NaN   10.5     8 c    0   1.33 221.12387 33.98612  7377.87  2843.21 2.57 2.53  74.0 -0.411    19.75 21.73 02a58307o0226c 0xc00800         2.5
58307.399624 20.362567      NaN    4.5     8 c    0   2.18 221.12387 33.98612  7443.25  2920.73 2.56 2.51 -52.4 -0.409    19.71 21.67 02a58307o0251c 0xc00800         2.5
58307.410164 20.321591      NaN    5.5     8 c    0   1.94 221.12387 33.98612  7460.89  2804.40 2.55 2.52 -29.2 -0.410    19.70 21.56 02a58307o0273c 0xc00800         2.5
58311.374323 20.207197      NaN   -6.5    10 c    0   1.08 221.12387 33.98612  6330.63  5215.92 2.71 2.52 -53.3 -0.399    19.69 21.55 02a58311o0276c 0xc00800         2.5
58311.385433 20.282105      NaN    3.5     9 c    0   1.14 221.12387 33.98612  6314.97  5176.63 2.71 2.49 -47.6 -0.402    19.68 21.54 02a58311o0299c 0xc00800         2.5
58311.398633 20.071303      NaN    6.5    10 c    0   0.89 221.12387 33.98612  6387.99  5250.31 2.89 2.59 -48.0 -0.390    19.63 21.48 02a58311o0324c 0xc00800         2.5
