         MJD         m       dm      uJy     duJy   F  err  chi/N        RA     Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57323.344996 18.382935      NaN      8.0     51.0   o  0.0   1.06 350.11225 22.9869  8609.91  6331.77  4.23 3.67  89.3 -0.509    18.16 19.08 02a57323o0267o 0xc00800
57323.374655 18.136622      NaN     46.0     52.0   o  0.0   0.94 350.11225 22.9869  8600.79  6336.11  4.13 3.35  89.1 -0.518    18.19 19.08 02a57323o0309o 0xc00800
57323.405536 18.396507      NaN     27.0     44.0   o  0.0   1.37 350.11225 22.9869  7148.87  7773.74  4.03 3.34 -82.0 -0.491    18.12 18.94 02a57323o0352o 0xc00800
57323.435530 18.180496      NaN     32.0     54.0   o  0.0   1.04 350.11225 22.9869  7147.26  7773.77  4.02 3.34 -83.0 -0.492    18.05 18.87 02a57323o0394o 0xc00800
57327.332295 19.128787      NaN    -21.0     27.0   o  0.0   0.87 350.11225 22.9869  8647.23  6347.66  4.38 3.77  86.7 -0.491    18.87 20.57 02a57327o0232o 0xc00800
57327.360931 18.640491      NaN     22.0     35.0   o  0.0   0.86 350.11225 22.9869  8641.75  6349.37  4.35 3.26  89.1 -0.485    18.72 20.24 02a57327o0271o 0xc00800
57327.397383 19.051202      NaN    -44.0     29.0   o  0.0   1.42 350.11225 22.9869  7188.82  7789.77  4.17 2.95 -83.8 -0.476    18.66 20.12 02a57327o0321o 0xc00800
57327.429151 18.910912      NaN      3.0     32.0   o  0.0   1.51 350.11225 22.9869  7186.14  7790.69  4.25 3.15 -84.9 -0.465    18.55 19.95 02a57327o0365o 0xc00800
57362.261048 19.318728      NaN      2.0     22.0   o  0.0   1.17 350.11225 22.9869  9090.02  5862.05  3.94 3.21  84.5 -0.482    19.17 20.85 02a57362o0116o 0xc00800
57362.269733 19.351140      NaN    -11.0     22.0   o  0.0   1.18 350.11225 22.9869  9377.05  6452.08  3.96 3.20  84.0 -0.471    19.20 20.90 02a57362o0128o 0xc00800
57362.282649 19.529530      NaN      2.0     18.0   o  0.0   1.42 350.11225 22.9869  8513.49  5280.47  3.74 3.17  88.0 -0.475    19.22 20.90 02a57362o0145o 0xc00800
