         MJD         m       dm     uJy   duJy   F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57304.553595 19.256669      NaN   -19.0   24.0   c  0.0   0.88 92.76452 -22.2973  2897.19  5033.97 3.91 3.48  78.7 -0.447    19.08 21.01 02a57304o0517c 0xc00800
57304.577383 18.889197      NaN    38.0   21.0   c  0.0   1.19 92.76452 -22.2973  2890.68  5037.02 3.98 3.32  87.9 -0.447    19.16 21.08 02a57304o0554c 0xc00900
57304.596523 19.226921      NaN    17.0   19.0   c  0.0   0.99 92.76452 -22.2973  4343.04  3585.46 3.89 3.37  86.6 -0.464    19.20 21.14 02a57304o0584c 0xc00800
57308.551606 19.197966      NaN    16.0   20.0   c  0.0   0.73 92.76452 -22.2973  2897.69  5041.55 4.48 3.94 -45.9 -0.428    19.31 21.34 02a57308o0528c 0xc00800
57308.576014 19.569016      NaN    -2.0   18.0   c  0.0   0.94 92.76452 -22.2973  2890.35  5047.03 4.25 3.69 -49.8 -0.453    19.42 21.42 02a57308o0565c 0xc00800
57308.592723 19.569016      NaN    -3.0   18.0   c  0.0   0.76 92.76452 -22.2973  4341.26  3595.56 4.28 3.86 -20.4 -0.430    19.42 21.45 02a57308o0591c 0xc00800
57308.619766 19.212347      NaN    21.0   18.0   c  0.0   0.84 92.76452 -22.2973  4331.26  3601.24 4.21 3.84 -27.9 -0.424    19.40 21.38 02a57308o0628c 0xc00800
57317.494631 19.454622      NaN    -9.0   20.0   c  0.0   1.17 92.76452 -22.2973  2974.00  5050.42 4.67 3.94 -49.3 -0.444    19.12 21.05 02a57317o0417c 0xc00800
57317.511342 18.796518      NaN    35.0   25.0   c  0.0   0.61 92.76452 -22.2973  2967.24  5051.62 4.50 3.79 -50.5 -0.465    19.21 21.12 02a57317o0443c 0xc00800
57317.532907 19.401649      NaN   -16.0   21.0   c  0.0   0.73 92.76452 -22.2973  4419.07  3602.02 4.44 3.95 -29.9 -0.438    19.30 21.27 02a57317o0469c 0xc00800
57317.551779 19.454622      NaN   -31.0   20.0   c  0.0   0.95 92.76452 -22.2973  4413.61  3604.76 4.45 3.94 -25.4 -0.436    19.32 21.32 02a57317o0494c 0xc00800
57370.438684 19.631075      NaN    -9.0   17.0   c  0.0   0.95 92.76452 -22.2973  2648.94  5395.86 4.60 4.04 -54.9 -0.396    19.47 21.63 02a57370o0407c 0xc00900
57370.461722 19.696897      NaN   -15.0   16.0   c  0.0   0.88 92.76452 -22.2973  8579.41  5636.77 3.88 3.61  79.3 -0.427    19.55 21.61 02a57370o0442c 0xc00800
57390.343362 19.076453      NaN    31.0   18.0   c  0.0   1.01 92.76452 -22.2973  2641.70  5396.24 4.39 3.88 -53.3 -0.403    19.42 21.42 02a57390o0239c 0xc00800
57390.360025 19.569016      NaN    -4.0   18.0   c  0.0   0.83 92.76452 -22.2973  2351.25  4821.19 4.32 3.82 -45.2 -0.430    19.49 21.50 02a57390o0264c 0xc00800
