         MJD         m       dm     uJy  duJy F  err  chi/N      RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57397.483812 19.696897      NaN    -8.5    16 c    0   0.83 159.807 -26.64092  4300.71  3884.77 4.08 3.78 -16.5 -0.383    19.51 21.58 02a57397o0422c 0xc00800        -0.5
57397.488526 19.766969      NaN    -7.5    15 c    0   0.97 159.807 -26.64092  3999.40  3301.34 4.27 3.84 -14.0 -0.382    19.51 21.59 02a57397o0429c 0xc00800        -0.5
57397.498946 19.652575      NaN     4.5    15 c    0   1.05 159.807 -26.64092  4854.63  4449.98 3.81 3.74 -48.2 -0.391    19.58 21.67 02a57397o0446c 0xc00800        -0.5
57397.504505 19.384550      NaN    18.5    15 c    0   1.06 159.807 -26.64092  5141.32  2703.11 4.09 3.71  -6.2 -0.399    19.58 21.63 02a57397o0455c 0xc00800        -0.5
57423.482819 19.841877      NaN   -12.5    14 c    0   1.14 159.807 -26.64092  5270.79  3947.16 3.67 3.62 -87.8 -0.390    19.57 21.54 02a57423o0356c 0xc00800        -0.5
57429.482852 19.922338      NaN   -13.5    13 c    0   1.17 159.807 -26.64092  3937.09  4484.68 3.78 3.60 -47.3 -0.415    19.61 21.60 02a57429o0459c 0xc00900        -0.5
57430.498829 19.419021      NaN    19.5    14 c    0   0.99 159.807 -26.64092  6658.76  6024.20 3.70 3.45  83.8 -0.410    19.63 21.65 02a57430o0448c 0xc00800        -0.5
57453.430057 19.766969      NaN    -2.5    15 c    0   0.85 159.807 -26.64092  5818.87  7264.36 3.74 3.51 -88.6 -0.418    19.58 21.56 02a57453o0431c 0xc00800        -0.5
57453.447217 19.696897      NaN    -0.5    16 c    0   0.98 159.807 -26.64092  5528.89  6684.22 3.74 3.54 -86.8 -0.412    19.55 21.51 02a57453o0466c 0xc00900        -0.5
57453.464555 19.766969      NaN    -8.5    15 c    0   0.95 159.807 -26.64092  6706.63  6108.36 3.73 3.46  88.0 -0.421    19.56 21.52 02a57453o0501c 0xc00800        -0.5
57453.483102 19.318728      NaN    22.5    15 c    0   0.98 159.807 -26.64092  6692.38  6049.71 3.72 3.45  88.0 -0.425    19.53 21.46 02a57453o0536c 0xc00800        -0.5
57457.424369 19.631075      NaN     2.5    16 c    0   0.95 159.807 -26.64092  5874.02  7202.63 3.96 3.66 -82.7 -0.420    19.53 21.62 02a57457o0428c 0xc00800        -0.5
57457.442057 19.401649      NaN    11.5    17 c    0   0.96 159.807 -26.64092  5599.35  6626.79 3.84 3.58 -79.7 -0.422    19.54 21.57 02a57457o0464c 0xc00800        -0.5
57457.459722 19.609992      NaN     0.5    17 c    0   0.94 159.807 -26.64092  6764.66  6046.86 4.05 3.85  86.0 -0.413    19.47 21.56 02a57457o0500c 0xc00800        -0.5
57457.478431 19.696897      NaN   -18.5    16 c    0   0.95 159.807 -26.64092  6699.70  6047.30 3.80 3.61 -88.7 -0.433    19.49 21.48 02a57457o0537c 0xc00800        -0.5
57461.406554 19.589310      NaN     4.5    16 c    0   1.27 159.807 -26.64092  5816.40  7301.66 3.78 3.54 -88.0 -0.421    19.43 21.36 02a57461o0402c 0xc00800        -0.5
57461.423674 16.298494      NaN   371.5   242 c    0   1.00 159.807 -26.64092  5526.60  6722.85 3.77 3.52 -84.6 -0.426    16.92 18.76 02a57461o0437c 0xc00802        -0.5
57461.440707 18.910912      NaN     8.5    30 c    0   0.87 159.807 -26.64092  6706.13  6145.71 3.94 3.61  85.5 -0.418    18.92 20.88 02a57461o0472c 0xc00800        -0.5
57461.459268 19.569016      NaN   -19.5    18 c    0   0.92 159.807 -26.64092  6691.19  6048.33 3.96 3.68 -89.8 -0.418    19.17 21.16 02a57461o0507c 0xc00800        -0.5
57481.343099 19.631075      NaN     2.5    16 c    0   1.01 159.807 -26.64092  5722.92  7212.65 3.86 3.60 -87.7 -0.438    19.44 21.38 02a57481o0281c 0xc00800        -0.5
57481.362742 19.766969      NaN   -14.5    15 c    0   1.25 159.807 -26.64092  5435.61  6632.20 3.87 3.56 -82.0 -0.427    19.47 21.42 02a57481o0320c 0xc00800        -0.5
57481.373934 19.631075      NaN    -2.5    17 c    0   0.80 159.807 -26.64092  6609.85  6050.89 3.97 3.64  88.3 -0.421    19.43 21.38 02a57481o0340c 0xc00800        -0.5
57481.393880 19.401649      NaN     5.5    19 c    0   0.74 159.807 -26.64092  6677.89  6037.00 3.90 3.73  82.2 -0.435    19.41 21.36 02a57481o0378c 0xc00800        -0.5
57514.250201 19.454622      NaN   -18.5    20 c    0   1.04 159.807 -26.64092  5740.98  7977.97 4.04 3.83  66.4 -0.435    19.23 21.04 02a57514o0079c 0xc00800        -0.5
57514.259883 19.401649      NaN    -5.5    21 c    0   0.90 159.807 -26.64092  5723.85  7943.55 4.02 3.84  78.2 -0.447    19.34 21.27 02a57514o0099c 0xc00800        -0.5
57514.272088 19.115465      NaN    18.5    21 c    0   0.78 159.807 -26.64092  5772.56  8025.26 4.01 3.78  88.7 -0.445    19.38 21.33 02a57514o0124c 0xc00800        -0.5
57514.284847 19.226921      NaN    13.5    20 c    0   0.64 159.807 -26.64092  5787.74  7912.30 4.04 3.73  88.6 -0.445    19.40 21.38 02a57514o0150c 0xc00800        -0.5
57514.298119 19.318728      NaN    13.5    18 c    0   0.89 159.807 -26.64092  5749.97  7974.59 4.07 3.79 -87.0 -0.442    19.39 21.39 02a57514o0177c 0xc00800        -0.5
57520.261006 18.978793      NaN   -28.5    31 c    0   1.17 159.807 -26.64092  6210.75  8763.37 4.03 3.80  69.6 -0.427    18.80 20.23 02a57520o0079c 0xc00800        -0.5
57520.272288 18.857417      NaN    13.5    30 c    0   0.88 159.807 -26.64092  6191.72  8728.09 4.12 3.84  85.2 -0.428    18.83 20.33 02a57520o0102c 0xc00900        -0.5
57520.282534 19.063754      NaN     7.5    26 c    0   1.28 159.807 -26.64092  6241.40  8810.49 4.02 3.69  85.7 -0.442    18.84 20.31 02a57520o0123c 0xc00800        -0.5
57520.293216 19.089302      NaN    -3.5    28 c    0   1.05 159.807 -26.64092  6256.55  8696.44 3.92 3.59  84.4 -0.445    18.85 20.32 02a57520o0145c 0xc00800        -0.5
57520.303902 19.169763      NaN   -33.5    26 c    0   1.09 159.807 -26.64092  6220.32  8757.04 4.27 3.95 -88.8 -0.422    18.85 20.46 02a57520o0167c 0xc00800        -0.5
57747.617896 19.436675      NaN    12.5    16 c    0   0.88 159.807 -26.64092  4483.00  6691.99 3.93 3.83  51.4 -0.384    19.59 21.58 02a57747o0863c 0xc00800        -0.5
57747.626599 19.841877      NaN    -3.5    14 c    0   0.98 159.807 -26.64092  4468.56  6652.55 3.76 3.66  53.4 -0.396    19.63 21.57 02a57747o0880c 0xc00800        -0.5
57747.638110 19.766969      NaN    -9.5    15 c    0   1.01 159.807 -26.64092  4520.33  6730.35 3.88 3.78  32.8 -0.395    19.58 21.55 02a57747o0903c 0xc00900        -0.5
57747.651580 19.569016      NaN    -2.5    18 c    0   0.92 159.807 -26.64092  4539.43  6613.59 4.51 3.86   3.8 -0.376    19.46 21.52 02a57747o0930c 0xc00800        -0.5
57751.604071 19.816329      NaN     0.5    14 c    0   0.98 159.807 -26.64092  7893.19  5641.11 3.92 3.59  83.9 -0.401    19.72 21.78 02a57751o0354c 0xc00800        -0.5
57751.617616 19.841877      NaN   -30.5    14 c    0   1.05 159.807 -26.64092  7860.30  5604.74 3.88 3.56  83.8 -0.402    19.67 21.69 02a57751o0381c 0xc00800        -0.5
57751.631659 19.589310      NaN     4.5    16 c    0   0.94 159.807 -26.64092  7930.82  5684.33 3.89 3.56  84.8 -0.408    19.66 21.66 02a57751o0409c 0xc00800        -0.5
57751.644682 19.743105      NaN     0.5    15 c    0   1.07 159.807 -26.64092  7948.00  5567.58 3.93 3.62  86.3 -0.403    19.64 21.65 02a57751o0435c 0xc00800        -0.5
57751.659753 19.454622      NaN     8.5    17 c    0   0.80 159.807 -26.64092  7913.83  5626.98 3.91 3.60  89.1 -0.406    19.52 21.42 02a57751o0465c 0xc00800        -0.5
57755.593796 19.922338      NaN   -13.5    13 c    0   1.26 159.807 -26.64092  6675.71  7988.43 3.57 3.44  88.0 -0.451    19.76 21.75 02a57755o0768c 0xc00800        -0.5
57755.607113 19.766969      NaN   -12.5    15 c    0   0.89 159.807 -26.64092  6660.15  7952.13 3.59 3.46 -86.2 -0.450    19.73 21.73 02a57755o0794c 0xc00900        -0.5
