         MJD         m       dm     uJy  duJy F  err   chi/N      RA      Dec       x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57322.405947 17.664614      NaN   126.5    61 o    0    1.36 2.93457 12.07902 4647.04  4586.41  4.16  3.69 -41.5 -0.513    17.70 18.16 02a57322o0420o 0xc00800        -2.5
57322.441002 17.922662      NaN   -77.5    82 o    0    0.84 2.93457 12.07902 4640.92  4589.12  4.37  3.87 -35.7 -0.470    17.61 18.08 02a57322o0473o 0xc00800        -2.5
57322.469728 17.845990      NaN     0.5    87 o    0    1.00 2.93457 12.07902 3172.98  6041.03  4.36  3.60 -59.5 -0.505    17.58 17.99 02a57322o0517o 0xc00800        -2.5
57322.493841 17.536732      NaN    66.5    94 o    0    0.96 2.93457 12.07902 3174.52  6040.78  4.46  3.70 -57.1 -0.509    17.46 17.84 02a57322o0554o 0xc00800        -2.5
57323.376027 18.438271      NaN   -52.5    51 o    0    1.17 2.93457 12.07902 4661.25  4583.66  4.27  3.79 -41.7 -0.496    18.11 19.00 02a57323o0311o 0xc00800        -2.5
57323.406178 18.249822      NaN    26.5    51 o    0    1.07 2.93457 12.07902 4654.96  4586.59  4.13  3.67 -39.2 -0.495    18.08 18.86 02a57323o0353o 0xc00800        -2.5
57323.437191 17.862567      NaN    83.5    58 o    0    0.76 2.93457 12.07902 3194.26  6039.06  4.11  3.37 -60.1 -0.503    18.03 18.78 02a57323o0396o 0xc00800        -2.5
57323.465000 18.424171      NaN     8.5    48 o    0    1.47 2.93457 12.07902 3193.57  6040.82  4.08  3.37 -60.5 -0.503    17.96 18.62 02a57323o0436o 0xc00800        -2.5
57330.348354 19.038793      NaN    -1.5    29 o    0    0.88 2.93457 12.07902 4698.03  4599.38  5.03  4.44 -33.9 -0.421    18.84 20.62 02a57330o0241o 0xc00800        -2.5
57330.378918 19.014394      NaN    -6.5    30 o    0    0.91 2.93457 12.07902 4691.52  4600.94  4.74  4.15 -38.4 -0.467    18.94 20.72 02a57330o0288o 0xc00800        -2.5
57366.273044 19.051202      NaN    15.5    23 o    0    1.13 2.93457 12.07902 5157.35  4099.13  3.87  3.65 -45.2 -0.476    18.90 20.32 02a57366o0120o 0xc00800        -2.5
57366.285947 19.089302      NaN   -19.5    28 o    0    0.68 2.93457 12.07902 5457.77  4683.60  4.16  3.96 -51.0 -0.425    18.83 20.37 02a57366o0141o 0xc00800        -2.5
57366.302946 19.089302      NaN    -6.5    28 o    0    0.88 2.93457 12.07902 4589.20  3527.74  4.21  3.80 -23.5 -0.418    18.90 20.39 02a57366o0168o 0xc00800        -2.5
57366.320153 19.169763      NaN   -59.5    26 o    0    1.07 2.93457 12.07902 4282.24  5276.32  4.01  3.72 -53.3 -0.419    18.85 20.34 02a57366o0195o 0xc00900        -2.5
57408.211329 18.526952      NaN  -121.5    47 o    0    1.12 2.93457 12.07902 4402.27  4894.79  3.83  3.57  88.3 -0.502    18.15 18.89 02a57408o0045o 0xc00800        -2.5
57408.218670 18.623526      NaN    18.5    36 o    0    1.36 2.93457 12.07902 4101.98  4315.15  3.79  3.53 -77.3 -0.485    18.42 19.38 02a57408o0057o 0xc00800        -2.5
57408.232956 18.786693      NaN   -49.5    37 o    0    1.18 2.93457 12.07902 4970.70  5475.71  3.71  3.42 -85.7 -0.514    18.46 19.44 02a57408o0080o 0xc00800        -2.5
57408.250059 18.606822      NaN     8.5    40 o    0    1.44 2.93457 12.07902 5277.92  3736.61  3.89  3.69 -54.4 -0.499    18.38 19.37 02a57408o0108o 0xc00800        -2.5
57591.559139 18.816441      NaN   -25.5    36 o    0    1.09 2.93457 12.07902 6137.97  4695.30  3.46  3.19 -87.9 -0.462    18.46 19.34 02a57591o0590o 0xc00900        -2.5
57591.577727 18.978793      NaN    -2.5    31 o    0    1.15 2.93457 12.07902 6154.66  4733.22  3.41  3.12 -89.4 -0.491    18.53 19.40 02a57591o0627o 0xc00800        -2.5
57591.584366 18.826541      NaN    -0.5    35 o    0    0.99 2.93457 12.07902 6094.61  4659.36  3.41  3.17  87.6 -0.486    18.53 19.42 02a57591o0639o 0xc00800        -2.5
57591.597635 18.776955      NaN    10.5    33 o    0    1.07 2.93457 12.07902 6076.21  4776.67  3.43  3.15  88.1 -0.484    18.51 19.38 02a57591o0664o 0xc00900        -2.5
57591.610250 19.051202      NaN   -31.5    29 o    0    1.57 2.93457 12.07902 6114.29  4721.97  3.43  3.23  87.7 -0.480    18.52 19.42 02a57591o0688o 0xc00800        -2.5
57611.524433 19.351140      NaN   -21.5    22 o    0    0.95 2.93457 12.07902 7431.58  7435.69  4.15  3.33 -86.2 -0.458    19.30 21.45 02a57611o0538o 0xc00800        -2.5
57611.547158 19.454622      NaN   -21.5    20 o    0    0.96 2.93457 12.07902 7449.39  7474.44  4.10  3.30 -87.1 -0.467    19.31 21.46 02a57611o0578o 0xc00900        -2.5
57611.567546 19.256669      NaN   -17.5    24 o    0    0.83 2.93457 12.07902 3141.54  3081.83  5.29  3.81  -5.9 -0.399    19.09 21.45 02a57611o0614o 0xc00800        -2.5
57611.577323 19.510313      NaN   -19.5    19 o    0    1.03 2.93457 12.07902 3158.67  2967.89  4.23  3.47 -17.6 -0.471    19.28 21.44 02a57611o0632o 0xc00800        -2.5
57611.598209 19.334813      NaN     4.5    20 o    0    1.07 2.93457 12.07902 3119.65  3024.84  4.21  3.44 -16.6 -0.478    19.30 21.47 02a57611o0670o 0xc00800        -2.5
57619.507220 18.024380      NaN    59.5    54 o    0    0.85 2.93457 12.07902 7426.62  6587.62  3.83  3.18  87.7 -0.464    18.22 19.25 02a57619o0361o 0xc00800        -2.5
57619.519633 18.237955      NaN    55.5    42 o    0    1.39 2.93457 12.07902 3155.54  3939.26  4.11  3.45 -10.0 -0.440    18.21 19.53 02a57619o0383o 0xc00800        -2.5
