         MJD         m       dm    uJy   duJy   F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57242.414104 17.995680      NaN   14.0   72.0   c  0.0   0.93 312.13655 -20.20516  1374.12   826.83 7.03 4.47 -21.6 -0.426    18.97 21.41 02a57242o0091c 0xc00800
57243.384926 19.401649      NaN   -6.0   21.0   c  0.0   0.77 312.13655 -20.20516  1395.91   822.24 4.31 3.68 -24.4 -0.426    19.42 21.30 02a57243o0206c 0xc00800
57243.400364 19.510313      NaN    0.0   19.0   c  0.0   0.98 312.13655 -20.20516  1389.35   825.96 4.34 3.68 -24.2 -0.432    19.43 21.30 02a57243o0227c 0xc00800
57243.416054 18.921935      NaN   41.0   19.0   c  0.0   0.93 312.13655 -20.20516   292.07  9154.95 4.09 3.85 -53.7 -0.416    19.47 21.35 02a57243o0249c 0xc00800
57243.424056 19.631075      NaN  -16.0   17.0   c  0.0   1.01 312.13655 -20.20516   715.20  1432.49 4.48 3.78 -27.7 -0.397    19.47 21.36 02a57243o0260c 0xc00800
57243.450357 19.128787      NaN   21.0   20.0   c  0.0   1.08 312.13655 -20.20516 10264.24  1436.08 4.11 3.71  35.2 -0.466    19.45 21.30 02a57243o0296c 0xc00800
57244.387297 19.454622      NaN  -18.0   20.0   c  0.0   0.78 312.13655 -20.20516  1348.40   824.47 4.13 3.52 -26.6 -0.447    19.50 21.36 02a57244o0173c 0xc00800
57244.402390 19.334813      NaN   16.0   17.0   c  0.0   1.09 312.13655 -20.20516  1341.22   827.09 4.18 3.55 -26.5 -0.450    19.49 21.34 02a57244o0194c 0xc00800
57244.418218 19.510313      NaN  -17.0   19.0   c  0.0   0.99 312.13655 -20.20516   244.18  9158.70 3.95 3.76 -43.3 -0.422    19.51 21.36 02a57244o0216c 0xc00800
57244.426156 19.241693      NaN   16.0   19.0   c  0.0   0.99 312.13655 -20.20516   764.07  1435.44 4.45 3.70 -27.1 -0.407    19.51 21.37 02a57244o0227c 0xc00800
57244.453218 19.454622      NaN  -14.0   20.0   c  0.0   1.03 312.13655 -20.20516 10310.74  1435.32 4.06 3.62  33.8 -0.464    19.48 21.29 02a57244o0265c 0xc00800
57245.371383 19.302877      NaN   15.0   18.0   c  0.0   1.17 312.13655 -20.20516  1361.04   822.66 4.27 3.63 -25.6 -0.432    19.41 21.23 02a57245o0183c 0xc00800
57245.396205 19.401649      NaN   -1.0   21.0   c  0.0   0.90 312.13655 -20.20516  1349.40   826.70 4.32 3.64 -28.2 -0.436    19.43 21.28 02a57245o0217c 0xc00800
57245.412707 19.510313      NaN   -6.0   19.0   c  0.0   1.09 312.13655 -20.20516   254.89  9157.73 4.04 3.80 -50.0 -0.418    19.48 21.33 02a57245o0240c 0xc00800
