         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57399.540096 19.652575      NaN    8    14 c    0   1.13 161.51579 -2.22126  5022.68  4981.32 3.65 3.51 -82.0 -0.405    19.64 21.61 02a57399o0555c 0xc00900
57399.556728 19.674510      NaN    7    14 c    0   0.97 161.51579 -2.22126  4716.56  4384.28 3.66 3.60 -55.5 -0.398    19.66 21.63 02a57399o0580c 0xc00800
57399.577874 19.791368      NaN    2    14 c    0   0.98 161.51579 -2.22126  4973.48  4903.28 3.62 3.57 -52.5 -0.398    19.67 21.65 02a57399o0611c 0xc00800
57399.601493 19.652575      NaN    8    14 c    0   1.09 161.51579 -2.22126  4728.25  6654.70 3.64 3.46 -88.3 -0.405    19.66 21.63 02a57399o0646c 0xc00800
57421.602928 19.454622      NaN   12    16 c    0   1.03 161.51579 -2.22126  5135.45  6179.54 3.67 3.46 -83.8 -0.402    19.43 21.20 02a57421o0675c 0xc00800
57421.626616 19.569016      NaN    3    17 c    0   0.96 161.51579 -2.22126  4847.86  5599.32 3.82 3.62 -77.6 -0.387    19.34 21.12 02a57421o0714c 0xc00800
57421.646706 19.002397      NaN   34    19 c    0   0.74 161.51579 -2.22126  6007.65  5024.36 3.87 3.73 -71.1 -0.383    19.25 21.01 02a57421o0747c 0xc00900
57421.660672 19.142275      NaN   26    18 c    0   1.06 161.51579 -2.22126  5934.33  4986.20 3.79 3.69 -81.6 -0.390    19.15 20.81 02a57421o0770c 0xc00900
57422.601886 19.696897      NaN  -11    16 c    0   1.13 161.51579 -2.22126  4922.05  6236.38 3.89 3.69 -74.8 -0.390    19.45 21.39 02a57422o0673c 0xc00800
57422.625556 19.472870      NaN   11    16 c    0   1.14 161.51579 -2.22126  4635.54  5656.73 4.08 3.93 -60.9 -0.376    19.31 21.23 02a57422o0712c 0xc00800
57422.645580 19.367717      NaN   11    18 c    0   0.97 161.51579 -2.22126  5795.82  5082.09 4.05 4.00 -37.1 -0.381    19.24 21.12 02a57422o0745c 0xc00800
57422.659561 19.696897      NaN  -30    16 c    0   1.21 161.51579 -2.22126  5935.85  4985.58 3.81 3.74 -65.9 -0.406    19.20 20.95 02a57422o0768c 0xc00800
57428.590983 19.631075      NaN    9    14 c    0   1.04 161.51579 -2.22126  5137.02  6247.71 3.70 3.43 -75.5 -0.428    19.66 21.67 02a57428o0641c 0xc00800
57428.614888 19.696897      NaN    6    14 c    0   1.23 161.51579 -2.22126  4885.83  5669.78 3.69 3.47 -62.0 -0.422    19.61 21.58 02a57428o0680c 0xc00800
57428.638186 19.766969      NaN   -9    15 c    0   1.02 161.51579 -2.22126  6099.99  5094.25 3.64 3.55 -69.5 -0.427    19.52 21.43 02a57428o0718c 0xc00800
57428.655351 19.609992      NaN    1    17 c    0   1.14 161.51579 -2.22126  6077.83  4935.14 3.69 3.58 -55.0 -0.427    19.39 21.25 02a57428o0746c 0xc00800
57436.296942 17.958558      NaN   40    66 c    0   1.09 161.51579 -2.22126  5880.79  4735.53 4.96 4.87   0.3 -0.391    17.90 19.02 02a57436o0148c 0xc00800
57436.311041 18.191747      NaN  -66    64 c    0   0.97 161.51579 -2.22126  6166.34  5318.08 4.49 4.33 -85.1 -0.413    18.07 19.12 02a57436o0171c 0xc00800
