         MJD         m       dm    uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57317.428313 18.816441      NaN  -65.5    36 c    0    1.44 58.62571 -34.66868  9372.65  9575.93 5.18 4.28  86.5 -0.386    18.58 19.95 02a57317o0315c 0xc00800        10.5
57317.463876 18.410251      NaN   65.5    34 c    0    0.91 58.62571 -34.66868  1337.11  8118.60 5.06 3.90 -62.3 -0.440    18.84 20.43 02a57317o0369c 0xc00800        10.5
57317.479245 18.967180      NaN   20.5    28 c    0    0.91 58.62571 -34.66868  1328.63  8121.70 5.08 3.89 -63.6 -0.450    19.13 20.98 02a57317o0393c 0xc00800        10.5
57370.352329 18.857417      NaN   54.5    20 c    0    0.94 58.62571 -34.66868  9069.27  9905.31 4.60 4.07  80.0 -0.377    19.46 21.57 02a57370o0281c 0xc00800        10.5
57370.362666 19.169763      NaN   16.5    24 c    0    1.09 58.62571 -34.66868  2855.62   151.01 5.61 3.85 -18.2 -0.484    19.46 21.46 02a57370o0296c 0xc00800        10.5
57370.370162 19.351140      NaN   -1.5    22 c    0    1.10 58.62571 -34.66868  2152.50  1147.81 5.61 3.99 -25.0 -0.474    19.52 21.53 02a57370o0307c 0xc00800        10.5
57370.398475 19.454622      NaN  -14.5    20 c    0    0.93 58.62571 -34.66868  7466.25  9717.30 4.06 3.87  80.1 -0.401    19.42 21.42 02a57370o0348c 0xc00800        10.5
57370.405502 18.967180      NaN   47.5    19 c    0    1.53 58.62571 -34.66868  1023.76  1703.88 6.09 4.03 -32.5 -0.429    19.49 21.48 02a57370o0358c 0xc00800        10.5
57370.430226 18.590371      NaN   41.5    34 c    0    0.87 58.62571 -34.66868 10478.61  1678.54 4.77 4.06  26.0 -0.432    19.47 21.51 02a57370o0394c 0xc00800        10.5
57372.351814 18.910912      NaN  -56.5    33 c    0    0.83 58.62571 -34.66868  1852.72   549.42 6.97 4.64 -24.8 -0.430    19.28 21.34 02a57372o0217c 0xc00800        10.5
57372.359203 18.174913      NaN  -49.5    65 c    0    1.33 58.62571 -34.66868  2852.51   150.45 6.98 4.88 -19.3 -0.398    18.11 20.25 02a57372o0228c 0xc00800        10.5
57373.381040 19.076453      NaN   35.5    20 c    0    1.13 58.62571 -34.66868  8076.24 10298.17 5.04 4.77  85.9 -0.337    19.13 21.35 02a57373o0044c 0xc00800        10.5
57373.390675 19.256669      NaN  -25.5    24 c    0    1.03 58.62571 -34.66868  2160.96  1150.03 6.66 4.79 -27.7 -0.412    19.42 21.60 02a57373o0060c 0xc00900        10.5
57373.427845 19.128787      NaN   -3.5    27 c    0    0.89 58.62571 -34.66868  1032.73  1709.54 7.52 5.14 -32.9 -0.327    19.32 21.71 02a57373o0120c 0xc00800        10.5
57397.281697 19.302877      NaN  -20.5    23 c    0    0.89 58.62571 -34.66868  1602.55   727.20 5.84 4.05 -25.1 -0.470    19.48 21.55 02a57397o0147c 0xc00800        10.5
57397.288243 19.197966      NaN   14.5    24 c    0    1.17 58.62571 -34.66868  7796.51 10479.52 4.15 3.96  22.3 -0.384    19.12 21.23 02a57397o0157c 0xc00800        10.5
57397.295180 19.302877      NaN   19.5    20 c    0    1.14 58.62571 -34.66868  1920.52  1326.55 5.26 3.95 -24.2 -0.472    19.53 21.54 02a57397o0167c 0xc00800        10.5
57423.238450 19.155932      NaN   14.5    25 c    0    1.07 58.62571 -34.66868   865.68  1173.38 5.18 4.12 -29.4 -0.428    19.18 21.03 02a57423o0048c 0xc00800        10.5
57423.250782 19.256669      NaN   -4.5    24 c    0    1.23 58.62571 -34.66868 10319.04  1153.30 4.33 3.94  32.1 -0.433    19.24 21.05 02a57423o0068c 0xc00800        10.5
57423.253876 19.256669      NaN   -4.5    24 c    0    1.08 58.62571 -34.66868   606.34   575.53 5.17 3.78 -29.9 -0.464    19.25 21.01 02a57423o0073c 0xc00800        10.5
57423.261255 18.889197      NaN   51.5    20 c    0    1.45 58.62571 -34.66868  6738.54 10348.54 4.52 4.18  11.6 -0.379    19.08 20.91 02a57423o0085c 0xc00800        10.5
57423.266217 18.452558      NaN   71.5    30 c    0    1.13 58.62571 -34.66868 10067.36   576.90 4.34 4.04  27.5 -0.451    19.22 21.03 02a57423o0093c 0xc00800        10.5
57423.276668 19.401649      NaN  -10.5    21 c    0    1.22 58.62571 -34.66868  7984.58  9757.42 4.23 4.07  29.5 -0.377    19.13 20.92 02a57423o0110c 0xc00800        10.5
57423.284703 19.169763      NaN  -17.5    26 c    0    0.88 58.62571 -34.66868  2029.38   153.76 5.48 4.23 -23.8 -0.403    19.16 21.01 02a57423o0123c 0xc00800        10.5
57423.292078 18.738855      NaN   60.5    22 c    0    1.05 58.62571 -34.66868  8240.96  9892.45 4.31 4.21  17.2 -0.370    19.10 20.93 02a57423o0135c 0xc00800        10.5
57429.250886 18.978793      NaN  -12.5    31 c    0    0.98 58.62571 -34.66868 10185.33   617.67 4.98 4.14  24.3 -0.463    19.38 21.36 02a57429o0143c 0xc00800        10.5
57429.253967 18.889197      NaN   30.5    27 c    0    1.05 58.62571 -34.66868  1891.94    78.05 5.59 3.87 -23.7 -0.456    19.40 21.32 02a57429o0148c 0xc00800        10.5
57429.269274 19.169763      NaN    1.5    26 c    0    0.82 58.62571 -34.66868  2016.54   159.73 5.78 3.98 -24.0 -0.448    19.38 21.32 02a57429o0173c 0xc00800        10.5
57430.251699 18.796518      NaN   27.5    31 c    0    1.09 58.62571 -34.66868 10051.91   412.85 4.76 3.88  24.3 -0.490    19.27 21.05 02a57430o0107c 0xc00800        10.5
57430.269623 18.857417      NaN   36.5    26 c    0    0.94 58.62571 -34.66868  2009.19   146.50 5.24 3.70 -21.6 -0.470    19.27 21.02 02a57430o0136c 0xc00800        10.5
57453.233058 18.816441      NaN   -6.5    36 c    0    1.20 58.62571 -34.66868 10284.06   772.98 4.69 4.01  36.1 -0.483    19.08 20.77 02a57453o0032c 0xc00800        10.5
57453.251796 19.128787      NaN  -15.5    27 c    0    1.09 58.62571 -34.66868  1951.16   167.81 5.16 3.66 -26.4 -0.500    19.14 20.88 02a57453o0069c 0xc00800        10.5
57457.227766 18.099634      NaN   24.5    65 c    0    1.03 58.62571 -34.66868 10334.04   690.52 4.60 3.87  69.5 -0.407    18.47 19.94 02a57457o0047c 0xc00900        10.5
57659.601324 19.696897      NaN    5.5    16 c    0    0.86 58.62571 -34.66868  2849.26  2420.96 3.95 3.72  77.2 -0.381    19.56 21.50 02a57659o0698c 0xc00800        10.5
57659.617240 19.631075      NaN  -22.5    17 c    0    0.89 58.62571 -34.66868  2834.48  2380.86 3.98 3.73  75.3 -0.378    19.53 21.45 02a57659o0729c 0xc00800        10.5
57659.633116 19.472870      NaN   18.5    17 c    0    1.34 58.62571 -34.66868  2900.97  2458.51 3.90 3.64  78.1 -0.392    19.37 21.11 02a57659o0760c 0xc00800        10.5
57663.591013 19.454622      NaN  -21.5    20 c    0    0.88 58.62571 -34.66868   309.53  2300.63 4.03 3.95 -78.7 -0.378    19.23 21.00 02a57663o0337c 0xc00800        10.5
57663.607045 18.504094      NaN  -16.5    48 c    0    1.15 58.62571 -34.66868   294.87  2259.49 4.13 4.04  82.8 -0.382    18.14 19.87 02a57663o0368c 0xc00800        10.5
57663.607548 18.298627      NaN  -44.5    58 c    0    1.02 58.62571 -34.66868  9767.88  2317.81 4.03 3.66  77.3 -0.432    18.10 19.81 02a57663o0369c 0xc00800        10.5
