         MJD         m       dm     uJy    duJy   F  err   chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57319.472979 18.816441      NaN   -52.0    36.0   o  0.0    1.30 85.36732 16.76212  3846.55  6692.54 4.05 3.25 -66.7 -0.511    18.50 19.74 02a57319o0429o 0xc00900
57319.495992 18.489118      NaN    29.0    39.0   o  0.0    0.91 85.36732 16.76212  3844.50  6697.15 4.00 3.18 -66.7 -0.504    18.57 19.83 02a57319o0461o 0xc00800
57319.514216 18.280067      NaN    75.0    34.0   o  0.0    1.56 85.36732 16.76212  5313.44  5259.43 3.74 3.38 -58.5 -0.528    18.63 19.92 02a57319o0488o 0xc00900
57319.542377 19.014394      NaN    -3.0    30.0   o  0.0    0.91 85.36732 16.76212  5310.02  5266.25 3.75 3.23 -66.2 -0.517    18.74 20.10 02a57319o0528o 0xc00800
57323.530377 18.068904      NaN    62.0    51.0   o  0.0    1.30 85.36732 16.76212  3872.64  6718.25 3.92 3.23 -67.0 -0.509    18.14 18.82 02a57323o0532o 0xc00800
57323.551034 18.376212      NaN     9.0    51.0   o  0.0    1.07 85.36732 16.76212  3866.72  6724.36 3.98 3.30 -68.0 -0.507    18.13 18.86 02a57323o0560o 0xc00800
57323.581494 18.142010      NaN   -26.0    67.0   o  0.0    0.52 85.36732 16.76212  5335.95  5289.22 3.70 3.29 -66.1 -0.522    18.16 18.84 02a57323o0603o 0xc00800
57323.604263 18.598565      NaN   -21.0    44.0   o  0.0    1.22 85.36732 16.76212  5373.23  5381.23 3.70 3.33 -60.3 -0.516    18.20 19.01 02a57323o0635o 0xc00800
57327.565551 18.649074      NaN    -1.0    42.0   o  0.0    1.15 85.36732 16.76212  6887.01  3950.00 3.99 3.56 -10.0 -0.527    18.43 19.50 02a57327o0556o 0xc00800
57327.596664 18.459772      NaN   -32.0    50.0   o  0.0    1.00 85.36732 16.76212  6874.74  3950.26 3.95 3.61 -19.0 -0.533    18.44 19.51 02a57327o0598o 0xc00800
57327.627980 18.816441      NaN   -34.0    36.0   o  0.0    1.27 85.36732 16.76212  5399.74  5398.23 3.79 3.29 -60.2 -0.528    18.43 19.51 02a57327o0638o 0xc00800
57362.458861 19.367717      NaN     5.0    20.0   o  0.0    3.02 85.36732 16.76212  3667.33  7043.24 3.91 3.47 -71.9 -0.435    19.13 20.79 02a57362o0381o 0xc00800
57362.468671 19.510313      NaN    -1.0    19.0   o  0.0    1.23 85.36732 16.76212  3377.81  6455.12 3.77 3.34 -72.2 -0.445    19.19 20.79 02a57362o0392o 0xc00800
57362.487520 19.051202      NaN    18.0    23.0   o  0.0    1.14 85.36732 16.76212  6748.02  2866.80 3.76 3.53   1.3 -0.460    19.14 20.76 02a57362o0419o 0xc00800
57362.514530 18.757738      NaN    48.0    22.0   o  0.0    0.74 85.36732 16.76212  6441.61  4615.16 3.57 3.50 -82.2 -0.441    19.12 20.76 02a57362o0456o 0xc00900
57363.441699 19.436675      NaN     1.0    20.0   o  0.0    0.97 85.36732 16.76212  3667.63  7042.17 3.71 3.34 -78.1 -0.447    19.25 20.92 02a57363o0331o 0xc00800
57363.470043 19.169763      NaN    21.0    19.0   o  0.0    1.44 85.36732 16.76212  3382.02  6455.37 3.78 3.39 -72.7 -0.438    19.28 20.97 02a57363o0368o 0xc00800
57363.493005 19.351140      NaN     6.0    20.0   o  0.0    0.90 85.36732 16.76212  6749.27  2871.47 3.66 3.51   2.4 -0.455    19.27 20.96 02a57363o0399o 0xc00800
57363.504648 19.334813      NaN    10.0    19.0   o  0.0    0.86 85.36732 16.76212  6442.27  4611.22 3.53 3.37 -82.6 -0.449    19.26 20.95 02a57363o0414o 0xc00800
57388.315827 19.076453      NaN    25.0    20.0   o  0.0    2.51 85.36732 16.76212  3614.20  7025.78 3.82 3.36 -72.9 -0.482    19.15 20.83 02a57388o0212o 0xc00800
57388.332850 19.076453      NaN    22.0    21.0   o  0.0    1.36 85.36732 16.76212  3318.24  6446.14 3.87 3.36 -69.2 -0.480    19.23 20.94 02a57388o0239o 0xc00800
57388.350706 18.990530      NaN    26.0    22.0   o  0.0    1.19 85.36732 16.76212  4182.48  7620.39 3.74 3.28 -75.8 -0.482    19.23 20.92 02a57388o0266o 0xc00800
57388.368340 18.857417      NaN    50.0    18.0   o  0.0    2.17 85.36732 16.76212  4487.68  5883.72 3.84 3.40 -70.8 -0.479    19.21 20.90 02a57388o0293o 0xc00900
57389.298730 18.558199      NaN    65.0    24.0   o  0.0    1.82 85.36732 16.76212  3614.62  7023.09 4.61 3.95  -9.1 -0.421    18.88 20.61 02a57389o0044o 0xc00800
57389.315009 18.836735      NaN    37.0    23.0   o  0.0    2.00 85.36732 16.76212  3320.62  6443.66 4.21 3.85 -28.9 -0.437    18.96 20.62 02a57389o0070o 0xc00800
57389.332073 18.711133      NaN    47.0    24.0   o  0.0    1.77 85.36732 16.76212  4183.91  7616.34 4.84 3.86  -4.1 -0.416    18.87 20.61 02a57389o0097o 0xc00800
57389.349188 18.967180      NaN    28.0    22.0   o  0.0    1.64 85.36732 16.76212  4487.09  5878.85 3.84 3.48 -72.3 -0.457    19.06 20.62 02a57389o0124o 0xc00900
57415.353791 19.169763      NaN     6.0    24.0   o  0.0    1.19 85.36732 16.76212  6293.06  4317.92 3.61 3.45  88.2 -0.464    18.85 20.15 02a57415o0265o 0xc00800
57415.381217 19.256669      NaN   -27.0    24.0   o  0.0    0.99 85.36732 16.76212  5993.49  3737.96 3.52 3.48 -67.8 -0.458    18.89 20.18 02a57415o0307o 0xc00800
57415.402589 18.857417      NaN    29.0    25.0   o  0.0    1.10 85.36732 16.76212  7161.56  3167.38 3.57 3.50  40.4 -0.465    18.88 20.17 02a57415o0338o 0xc00900
57415.422565 19.115465      NaN    10.0    24.0   o  0.0    1.47 85.36732 16.76212  7420.92  3093.84 3.53 3.46  32.2 -0.470    18.88 20.16 02a57415o0368o 0xc00800
57442.234875 18.542463      NaN    55.0    28.0   o  0.0    1.25 85.36732 16.76212  4594.69  7079.95 3.71 3.33 -79.7 -0.485    18.83 20.18 02a57442o0049o 0xc00800
57442.258108 18.336727      NaN    54.0    38.0   o  0.0    1.03 85.36732 16.76212  7246.83  3043.69 3.60 3.52  83.3 -0.527    18.63 19.76 02a57442o0087o 0xc00800
57442.262808 18.806434 0.358592   109.0    36.0   o  0.0    1.45 85.36732 16.76212  7414.15  3066.84 3.73 3.66   8.0 -0.522    18.59 19.74 02a57442o0094o 0xc00800
57443.299563 18.526952      NaN    57.0    28.0   o  0.0    1.19 85.36732 16.76212  6392.50  4432.83 3.53 3.17 -87.2 -0.526    18.79 20.05 02a57443o0205o 0xc00800
57443.319458 18.796518      NaN    14.0    32.0   o  0.0    1.02 85.36732 16.76212  6093.65  3855.53 3.62 3.54 -50.5 -0.523    18.70 19.94 02a57443o0239o 0xc00800
57443.323341 18.191747      NaN    81.0    37.0   o  0.0    0.92 85.36732 16.76212  7268.09  3284.43 3.68 3.60  50.9 -0.505    18.70 19.92 02a57443o0245o 0xc00900
57443.343980 18.566153      NaN    40.0    32.0   o  0.0    1.28 85.36732 16.76212  7398.09  3077.35 3.76 3.56  16.7 -0.514    18.64 19.78 02a57443o0282o 0xc00800
57467.219064 17.389435      NaN   -38.0   134.0   o  0.0    1.30 85.36732 16.76212  6615.73  4407.42 4.09 3.64  88.0 -0.530    17.26 17.29 02a57467o0033o 0xc00800
57467.219545 17.414019      NaN   -66.0   131.0   o  0.0    1.00 85.36732 16.76212  6320.44  3824.56 3.98 3.61  85.1 -0.537    17.34 17.42 02a57467o0034o 0xc00900
57467.235875 18.152867      NaN    55.0    48.0   o  0.0    0.89 85.36732 16.76212  7482.07  3247.23 3.60 3.04  86.3 -0.545    18.39 19.38 02a57467o0066o 0xc00800
57467.246708 18.459772      NaN   -10.0    50.0   o  0.0    0.95 85.36732 16.76212  7385.98  3052.43 3.92 3.58  83.5 -0.558    18.31 19.40 02a57467o0083o 0xc00800
57475.226247 16.838059      NaN   302.0   122.0   o  0.0    0.68 85.36732 16.76212  6597.29  4264.45 3.97 3.13  88.0 -0.552    18.05 18.81 02a57475o0043o 0xc00900
57475.227296 18.191747      NaN    39.0    51.0   o  0.0    0.97 85.36732 16.76212  6303.47  3681.77 3.84 3.02  89.1 -0.515    18.21 19.07 02a57475o0045o 0xc00800
57475.263522 18.550302      NaN    48.0    30.0   o  0.0    1.09 85.36732 16.76212  7368.44  3065.83 3.61 3.35  76.3 -0.538    18.87 20.41 02a57475o0099o 0xc00800
57492.237520 17.900816 0.350377   251.0    81.0   o  0.0    1.19 85.36732 16.76212 10338.25   340.33 4.33 3.91  59.1 -0.533    18.30 19.23 02a57492o0056o 0xc00900
57673.572456 19.318728      NaN    14.0    18.0   o  0.0    1.67 85.36732 16.76212  4920.61  7025.67 3.30 3.15 -22.6 -0.432    19.26 20.84 02a57673o0662o 0xc00800
57673.591380 19.510313      NaN     3.0    18.0   o  0.0    1.71 85.36732 16.76212  4938.86  7063.29 3.32 3.15 -40.4 -0.429    19.26 20.87 02a57673o0690o 0xc00800
57673.608348 19.510313 0.342864    57.0    18.0   o  0.0    2.25 85.36732 16.76212  4882.85  6985.58 3.35 3.25 -33.5 -0.477    19.23 20.81 02a57673o0716o 0xc00900
57673.626164 19.510313      NaN    -2.0    19.0   o  0.0    0.99 85.36732 16.76212  5654.57  3341.40 3.43 3.27 -65.1 -0.464    19.28 20.84 02a57673o0742o 0xc00800
57673.643847 18.649074      NaN    42.0    28.0   o  0.0    0.96 85.36732 16.76212  5619.15  3402.82 3.44 3.29 -64.2 -0.465    18.73 19.77 02a57673o0768o 0xc00800
57677.585367 18.280067      NaN    51.0    42.0   o  0.0    1.00 85.36732 16.76212  4487.25  4994.20 3.32 3.12 -47.3 -0.456    18.42 19.09 02a57677o0774o 0xc00800
57677.600316 18.702047      NaN   -16.0    40.0   o  0.0    1.24 85.36732 16.76212  4506.17  5029.32 3.35 3.07 -44.4 -0.457    18.42 19.11 02a57677o0802o 0xc00900
57677.617645 18.459772      NaN    -5.0    50.0   o  0.0    1.55 85.36732 16.76212  6070.73  5488.00 5.43 3.37   0.2 -0.396    18.11 19.15 02a57677o0833o 0xc00800
57677.634978 18.623526      NaN   -32.0    43.0   o  0.0    1.11 85.36732 16.76212  6089.44  5380.68 3.36 3.12 -51.9 -0.440    18.40 19.14 02a57677o0864o 0xc00800
57677.652939 17.357499      NaN  -243.0   138.0   o  0.0    1.26 85.36732 16.76212  6054.74  5436.81 3.50 3.32 -51.6 -0.443    17.51 17.42 02a57677o0895o 0xc00800
57701.526529 19.197966      NaN    22.0    18.0   o  0.0    1.26 85.36732 16.76212  3764.92  5112.27 3.43 3.41 -60.8 -0.459    19.37 20.97 02a57701o0571o 0xc00800
57701.530223 19.197966      NaN    25.0    17.0   o  0.0    2.24 85.36732 16.76212  3804.03  5149.81 3.49 3.40  79.9 -0.454    19.36 20.96 02a57701o0578o 0xc00800
57701.547335 18.990530      NaN     5.0    29.0   o  0.0    2.04 85.36732 16.76212  6791.15  5377.16 3.47 3.31 -84.8 -0.445    18.60 20.15 02a57701o0608o 0xc00800
57701.554332 19.510313      NaN    -7.0    19.0   o  0.0    1.36 85.36732 16.76212  6810.62  5259.66 3.47 3.31  89.1 -0.449    19.33 20.94 02a57701o0620o 0xc00800
57701.569839 18.362890      NaN    74.0    30.0   o  0.0    0.99 85.36732 16.76212  6771.89  5321.44 3.40 3.24 -81.4 -0.460    18.63 20.20 02a57701o0646o 0xc00900
57705.469460 18.574166      NaN   -54.0    45.0   o  0.0    1.37 85.36732 16.76212  1940.99  8190.93 3.59 3.50  80.1 -0.459    18.51 19.30 02a57705o0527o 0xc00900
57705.486330 18.574166      NaN    -8.0    45.0   o  0.0    1.21 85.36732 16.76212  1962.35  8229.12 3.53 3.45  74.5 -0.473    18.54 19.31 02a57705o0558o 0xc00800
57705.493204 18.481707      NaN    18.0    43.0   o  0.0    1.33 85.36732 16.76212  1884.77  8155.86 3.49 3.42  78.6 -0.466    18.56 19.33 02a57705o0570o 0xc00800
57705.509480 18.598565      NaN    -4.0    44.0   o  0.0    1.15 85.36732 16.76212  1864.79  8269.73 3.50 3.43  56.3 -0.471    18.55 19.32 02a57705o0597o 0xc00800
57705.517682 18.526952      NaN   -73.0    47.0   o  0.0    0.98 85.36732 16.76212  1899.23  8217.53 3.49 3.36  50.6 -0.468    18.56 19.32 02a57705o0611o 0xc00800
57737.426831 18.323878 0.357654   170.0    56.0   o  0.0    1.10 85.36732 16.76212  6305.21  2318.51 3.55 3.35 -78.0 -0.447    18.05 18.49 02a57737o0449o 0xc00a00
57737.432128 17.215145      NaN    58.0   138.0   o  0.0    1.30 85.36732 16.76212  4232.57  8169.47 3.47 3.29   4.7 -0.517    18.04 18.45 02a57737o0457o 0xc00800
57737.445714 17.281543      NaN   -20.0   148.0   o  0.0    1.25 85.36732 16.76212  4175.91  8092.73 3.46 3.28  -0.3 -0.495    18.05 18.47 02a57737o0480o 0xc00800
57737.458756 18.243872      NaN    -1.0    61.0   o  0.0    1.08 85.36732 16.76212  6355.94  2243.64 3.53 3.35 -81.6 -0.452    18.05 18.50 02a57737o0501o 0xc00800
57737.470363 17.958558      NaN    76.0    54.0   o  0.0    1.13 85.36732 16.76212  6317.21  2302.73 3.55 3.36 -81.8 -0.448    18.04 18.50 02a57737o0521o 0xc00800
57761.364458 19.026525      NaN     5.0    28.0   o  0.0    1.30 85.36732 16.76212  3701.47  4943.39 3.53 3.43  78.7 -0.443    18.67 19.59 02a57761o0293o 0xc00800
57761.381019 18.786693      NaN    15.0    32.0   o  0.0    1.15 85.36732 16.76212  6790.51  5461.69 3.52 3.31 -85.8 -0.443    18.69 19.62 02a57761o0324o 0xc00800
57761.388011 18.452558      NaN    55.0    32.0   o  0.0    0.97 85.36732 16.76212  6844.92  5538.24 3.47 3.29 -82.3 -0.451    18.74 19.70 02a57761o0335o 0xc00800
57761.402208 18.796518      NaN    20.0    30.0   o  0.0    1.18 85.36732 16.76212  6867.52  5427.02 3.51 3.29 -82.9 -0.450    18.76 19.76 02a57761o0363o 0xc00800
57761.410072 18.481707      NaN    57.0    30.0   o  0.0    1.01 85.36732 16.76212  6829.62  5482.11 3.49 3.30 -80.2 -0.455    18.76 19.77 02a57761o0377o 0xc00900
57769.367226 19.155932 0.343587    79.0    25.0   o  0.0    1.20 85.36732 16.76212  8447.76  3793.10 3.83 3.76   0.1 -0.395    18.91 20.24 02a57769o0295o 0xc00900
57769.371124 18.702047      NaN    24.0    32.0   o  0.0    0.83 85.36732 16.76212  8431.48  3759.71 4.83 3.92  -1.4 -0.376    18.76 20.24 02a57769o0303o 0xc00800
57769.394224 18.467034      NaN    65.0    28.0   o  0.0    1.19 85.36732 16.76212  8487.14  3841.39 4.41 3.91  -6.5 -0.374    18.77 20.15 02a57769o0344o 0xc00900
57769.410949 18.582238      NaN    38.0    32.0   o  0.0    1.00 85.36732 16.76212  8506.29  3720.35 4.74 4.02  -2.2 -0.355    18.69 20.11 02a57769o0372o 0xc00800
57769.418304 18.684100      NaN    50.0    24.0   o  0.0    1.15 85.36732 16.76212  8471.35  3783.95 3.75 3.58  83.3 -0.412    18.89 20.13 02a57769o0386o 0xc00800
57789.307138 18.534680      NaN    59.0    27.0   o  0.0    1.54 85.36732 16.76212  7904.76  2252.14 3.59 3.22 -89.4 -0.469    18.77 19.77 02a57789o0184o 0xc00900
57789.324420 19.089302      NaN   -13.0    28.0   o  0.0    1.12 85.36732 16.76212  7884.43  2210.81 3.61 3.24 -89.9 -0.468    18.79 19.79 02a57789o0216o 0xc00800
57789.330609 18.889197      NaN    20.0    27.0   o  0.0    1.65 85.36732 16.76212  7939.57  2288.22 3.62 3.32  86.4 -0.460    18.78 19.83 02a57789o0227o 0xc00800
57789.345888 18.657725      NaN    47.0    26.0   o  0.0    1.09 85.36732 16.76212  7960.25  2174.57 3.59 3.23 -89.5 -0.470    18.84 19.95 02a57789o0254o 0xc00800
57789.353856 19.002397 0.346004    91.0    29.0   o  0.0    1.08 85.36732 16.76212  7921.44  2231.29 3.61 3.41  81.4 -0.454    18.84 19.96 02a57789o0268o 0xc00900
