         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57314.572017 19.401649      NaN   -42    21 c    0   0.78 107.92183 28.57263  2290.14  3224.51 4.72 3.67 -26.5 -0.452    19.38 21.25 02a57314o0543c 0xc00800
57314.606643 19.510313      NaN   -18    19 c    0   1.05 107.92183 28.57263  2288.70  3232.67 4.83 3.72 -27.9 -0.451    19.36 21.23 02a57314o0590c 0xc00800
57314.639114 19.351140      NaN    -5    22 c    0   0.93 107.92183 28.57263  3730.23  1808.12 5.00 3.75 -14.4 -0.463    19.24 20.96 02a57314o0627c 0xc00800
57395.432841 19.454622      NaN    18    14 c    0   1.21 107.92183 28.57263  8568.40  6981.01 3.73 3.46  85.7 -0.424    19.60 21.52 02a57395o0373c 0xc00800
57395.435489 19.271854      NaN    26    15 c    0   1.09 107.92183 28.57263  1647.27  2888.36 4.35 3.71 -33.0 -0.415    19.58 21.50 02a57395o0377c 0xc00900
57395.448281 19.922338      NaN   -15    13 c    0   1.26 107.92183 28.57263  8015.47  6398.92 3.72 3.40  81.0 -0.414    19.60 21.51 02a57395o0396c 0xc00900
57395.485056 19.922338      NaN    -8    13 c    0   1.37 107.92183 28.57263  7791.11  8162.52 3.65 3.48  80.2 -0.434    19.58 21.46 02a57395o0447c 0xc00900
57402.437418 19.841877      NaN   -15    14 c    0   1.33 107.92183 28.57263  8755.63  7149.89 3.80 3.42  84.4 -0.428    19.59 21.54 02a57402o0392c 0xc00800
57402.453234 19.841877      NaN   -14    14 c    0   1.08 107.92183 28.57263  9043.01  7741.25 3.79 3.43  85.0 -0.427    19.60 21.54 02a57402o0413c 0xc00900
57402.459854 19.529530      NaN    14    14 c    0   1.15 107.92183 28.57263  8165.78  6556.63 3.70 3.38  83.0 -0.424    19.60 21.54 02a57402o0422c 0xc00800
57402.493943 19.766969      NaN    -7    15 c    0   0.88 107.92183 28.57263  7864.29  8302.57 3.67 3.50  79.7 -0.424    19.57 21.46 02a57402o0467c 0xc00800
57403.437669 19.841877      NaN    -1    14 c    0   1.03 107.92183 28.57263  8755.63  7145.89 3.85 3.41  82.3 -0.433    19.60 21.57 02a57403o0392c 0xc00800
57403.451066 19.841877      NaN   -15    14 c    0   1.07 107.92183 28.57263  9040.17  7737.89 3.99 3.62  83.2 -0.414    19.55 21.55 02a57403o0411c 0xc00800
57403.457401 19.922338      NaN   -10    13 c    0   1.30 107.92183 28.57263  8167.66  6554.99 3.82 3.42  84.1 -0.429    19.58 21.56 02a57403o0420c 0xc00800
57403.492111 19.436675      NaN    13    16 c    0   0.82 107.92183 28.57263  7866.22  8299.48 3.84 3.58  88.4 -0.417    19.54 21.53 02a57403o0466c 0xc00800
57420.417579 19.922338      NaN    -5    13 c    0   1.52 107.92183 28.57263  8325.99  7583.57 4.00 3.68  88.3 -0.405    19.58 21.62 02a57420o0297c 0xc00800
57420.443881 19.841877      NaN    -2    14 c    0   0.99 107.92183 28.57263  8030.60  6998.80 3.99 3.64  86.4 -0.404    19.57 21.60 02a57420o0337c 0xc00800
57420.454286 19.510313      NaN    12    15 c    0   0.81 107.92183 28.57263  9195.48  6442.05 4.01 3.62  85.5 -0.411    19.55 21.58 02a57420o0353c 0xc00800
57420.481099 19.696897      NaN   -13    16 c    0   1.00 107.92183 28.57263  9020.34  6577.20 3.82 3.39  86.8 -0.424    19.59 21.54 02a57420o0394c 0xc00800
57427.402288 19.841877      NaN   -31    14 c    0   1.01 107.92183 28.57263  8119.30  7515.94 3.80 3.43  84.9 -0.434    19.57 21.50 02a57427o0337c 0xc00800
57427.420450 19.766969      NaN   -14    15 c    0   0.82 107.92183 28.57263  7863.85  6940.18 3.70 3.34  84.2 -0.436    19.60 21.52 02a57427o0365c 0xc00800
57427.442698 19.631075      NaN    12    13 c    0   1.39 107.92183 28.57263  9062.61  6397.38 3.81 3.38  82.8 -0.441    19.56 21.49 02a57427o0400c 0xc00800
57427.457547 19.696897      NaN   -16    16 c    0   0.94 107.92183 28.57263  9036.01  6463.83 3.76 3.34  83.2 -0.445    19.56 21.48 02a57427o0424c 0xc00800
57432.387103 19.569016      NaN   -22    18 c    0   1.17 107.92183 28.57263  8239.74  7547.48 3.98 3.49  83.5 -0.437    19.31 21.03 02a57432o0321c 0xc00800
57432.406923 19.569016      NaN   -28    18 c    0   1.10 107.92183 28.57263  7987.02  6970.50 4.02 3.54  85.8 -0.435    19.40 21.27 02a57432o0350c 0xc00800
57432.420445 19.472870      NaN    14    15 c    0   1.43 107.92183 28.57263  9171.06  6423.76 3.98 3.41  82.4 -0.431    19.52 21.44 02a57432o0371c 0xc00800
57432.445066 19.696897      NaN    -3    16 c    0   0.97 107.92183 28.57263  9007.59  6456.28 3.94 3.34  83.0 -0.428    19.51 21.41 02a57432o0410c 0xc00800
57433.379851 18.878500      NaN    30    24 c    0   0.88 107.92183 28.57263  7975.70  7266.66 3.97 3.49  83.0 -0.460    19.09 20.59 02a57433o0308c 0xc00800
57433.383550 19.183773      NaN     8    23 c    0   0.83 107.92183 28.57263  7694.12  6681.67 3.98 3.55  83.5 -0.446    19.08 20.59 02a57433o0314c 0xc00800
57433.411640 19.401649      NaN   -13    21 c    0   1.12 107.92183 28.57263  8904.17  6138.70 4.18 3.56  79.9 -0.453    19.10 20.66 02a57433o0359c 0xc00800
57433.423665 19.454622      NaN   -13    20 c    0   1.21 107.92183 28.57263  8976.48  6443.33 4.11 3.49  79.1 -0.445    19.13 20.70 02a57433o0377c 0xc00800
57450.351968 19.841877      NaN   -16    14 c    0   1.40 107.92183 28.57263  8261.36  7641.31 4.05 3.45  83.7 -0.448    19.59 21.57 02a57450o0298c 0xc00800
57450.369551 19.696897      NaN   -18    16 c    0   0.81 107.92183 28.57263  7968.82  7056.95 3.85 3.31  85.2 -0.445    19.62 21.55 02a57450o0332c 0xc00800
57450.388869 19.841877      NaN    -2    14 c    0   1.05 107.92183 28.57263  9133.40  6503.20 3.89 3.29  81.0 -0.443    19.59 21.50 02a57450o0364c 0xc00800
57450.404991 19.631075      NaN   -14    17 c    0   0.94 107.92183 28.57263  8980.43  6559.52 3.90 3.38  81.2 -0.442    19.56 21.46 02a57450o0394c 0xc00800
57451.343240 19.302877      NaN    15    18 c    0   0.78 107.92183 28.57263  8040.42  7750.51 4.06 3.49  85.4 -0.467    19.54 21.48 02a57451o0285c 0xc00800
57451.361547 19.436675      NaN    13    16 c    0   0.95 107.92183 28.57263  7748.02  7168.06 3.98 3.39  88.4 -0.448    19.53 21.45 02a57451o0319c 0xc00800
57451.382631 19.631075      NaN   -14    17 c    0   1.02 107.92183 28.57263  8907.20  6613.27 4.06 3.30  84.6 -0.438    19.54 21.44 02a57451o0356c 0xc00800
57451.402843 19.696897      NaN   -44    16 c    0   1.10 107.92183 28.57263  8978.23  6559.38 4.04 3.28  83.1 -0.435    19.50 21.39 02a57451o0393c 0xc00800
57455.339538 19.089302      NaN   -23    28 c    0   0.91 107.92183 28.57263  8041.05  7597.68 4.07 3.51  84.3 -0.451    18.97 20.86 02a57455o0251c 0xc00800
57455.357234 18.944322      NaN    24    24 c    0   0.91 107.92183 28.57263  7749.88  7011.07 3.95 3.42  88.1 -0.448    19.05 20.92 02a57455o0285c 0xc00800
57455.378381 18.657725      NaN    17    36 c    0   1.28 107.92183 28.57263  8913.10  6457.76 4.09 3.42  82.7 -0.440    18.53 20.33 02a57455o0320c 0xc00800
57455.396526 18.403357      NaN    17    47 c    0   1.15 107.92183 28.57263  8978.86  6559.41 4.02 3.31  82.6 -0.439    18.24 19.95 02a57455o0350c 0xc00800
57479.299266 19.051202      NaN    24    21 c    0   0.93 107.92183 28.57263  7882.96  7912.25 4.14 3.45  85.6 -0.454    19.31 21.10 02a57479o0127c 0xc00800
57479.316881 19.510313      NaN    -6    19 c    0   0.97 107.92183 28.57263  7593.54  7327.38 4.09 3.52  85.1 -0.442    19.29 21.07 02a57479o0162c 0xc00800
57479.335586 19.569016      NaN   -32    18 c    0   1.38 107.92183 28.57263  8738.65  6773.06 4.27 3.45  83.6 -0.466    19.28 21.07 02a57479o0197c 0xc00900
57479.354221 19.569016      NaN   -15    18 c    0   1.43 107.92183 28.57263  8962.71  6549.13 4.27 3.56  82.1 -0.454    19.25 21.02 02a57479o0232c 0xc00800
57483.270928 19.351140      NaN   -26    22 c    0   0.92 107.92183 28.57263  8212.37  7981.16 4.20 3.55  83.1 -0.449    19.31 21.08 02a57483o0127c 0xc00800
57483.307228 19.510313      NaN   -18    19 c    0   1.15 107.92183 28.57263  9082.06  6840.24 4.44 3.54  82.3 -0.453    19.29 21.11 02a57483o0141c 0xc00800
57483.328901 19.510313      NaN   -17    19 c    0   1.37 107.92183 28.57263  8965.11  6550.14 4.35 3.50  82.8 -0.448    19.26 21.05 02a57483o0179c 0xc00800
57487.263027 19.351140      NaN   -22    22 c    0   0.83 107.92183 28.57263  8184.47  7648.39 4.40 3.78  82.9 -0.458    19.19 20.93 02a57487o0115c 0xc00800
57487.280866 19.454622      NaN   -24    20 c    0   0.96 107.92183 28.57263  7891.92  7062.46 4.07 3.48  83.4 -0.461    19.24 20.93 02a57487o0148c 0xc00800
57487.299166 19.014394      NaN   -19    30 c    0   0.85 107.92183 28.57263  9051.88  6510.09 4.80 4.08  77.0 -0.441    18.88 20.71 02a57487o0181c 0xc00800
57487.317325 19.334813      NaN     4    21 c    0   1.09 107.92183 28.57263  8964.90  6548.71 4.31 3.46  83.9 -0.454    19.22 20.96 02a57487o0212c 0xc00800
57489.259792 19.014394      NaN    15    25 c    0   0.98 107.92183 28.57263  8248.62  7516.11 4.21 3.54  82.8 -0.470    19.15 20.77 02a57489o0102c 0xc00800
57489.277071 19.401649      NaN   -27    21 c    0   1.05 107.92183 28.57263  7958.14  6930.00 4.14 3.53  84.6 -0.461    19.15 20.78 02a57489o0135c 0xc00800
57489.295042 19.155932      NaN    19    20 c    0   1.42 107.92183 28.57263  9118.15  6375.77 4.37 3.48  82.8 -0.458    19.12 20.76 02a57489o0168c 0xc00800
57489.313560 19.351140      NaN    -5    22 c    0   1.10 107.92183 28.57263  8960.56  6550.15 4.21 3.33  83.2 -0.457    19.14 20.74 02a57489o0200c 0xc00800
57507.291344 19.256669      NaN   -33    24 c    0   1.05 107.92183 28.57263  8365.10  7412.23 4.16 3.47  85.2 -0.438    19.09 20.77 02a57507o0144c 0xc00900
57507.305223 18.978793      NaN    21    24 c    0   0.92 107.92183 28.57263  8400.09  7373.14 4.35 3.73  84.0 -0.444    18.99 20.73 02a57507o0171c 0xc00800
57507.316044 19.038793      NaN    16    24 c    0   1.08 107.92183 28.57263  8347.67  7353.49 4.29 3.79  82.6 -0.437    18.98 20.72 02a57507o0192c 0xc00800
57508.238037 15.548890      NaN   381   603 c    0   1.45 107.92183 28.57263  8363.31  7412.17 3.64 2.52  33.9 -0.463    17.26 19.56 02a57508o0049c 0xc00802
57509.249541 18.921935      NaN    20    26 c    0   0.70 107.92183 28.57263  8366.82  7414.11 4.17 3.53  82.6 -0.452    19.08 20.72 02a57509o0077c 0xc00800
57509.261650 19.302877      NaN   -40    23 c    0   0.97 107.92183 28.57263  8400.13  7374.55 4.06 3.40  83.2 -0.454    19.13 20.77 02a57509o0101c 0xc00900
57509.277105 19.212347      NaN   -31    25 c    0   0.98 107.92183 28.57263  8347.96  7353.76 4.12 3.46  84.4 -0.443    19.08 20.74 02a57509o0132c 0xc00800
57509.292334 19.169763      NaN   -40    26 c    0   1.09 107.92183 28.57263  8417.83  7430.48 4.11 3.42  83.7 -0.447    19.03 20.64 02a57509o0162c 0xc00800
57509.305526 18.574166      NaN    51    28 c    0   1.02 107.92183 28.57263  8331.35  7448.69 4.09 3.41  83.5 -0.446    18.98 20.57 02a57509o0188c 0xc00900
57510.236101 17.313807      NaN    92   113 c    0   1.07 107.92183 28.57263  8369.34  7414.85 4.19 3.53  80.9 -0.505    18.18 19.03 02a57510o0043c 0xc00800
57510.242807 18.836735      NaN     1    35 c    0   0.96 107.92183 28.57263  8406.45  7374.76 4.17 3.45  83.0 -0.473    18.82 20.22 02a57510o0056c 0xc00800
57510.253683 19.212347      NaN   -13    25 c    0   0.88 107.92183 28.57263  8354.99  7353.17 4.20 3.47  83.5 -0.464    19.07 20.72 02a57510o0077c 0xc00800
57510.268404 18.867907      NaN    25    26 c    0   1.04 107.92183 28.57263  8421.43  7429.81 4.24 3.45  84.1 -0.459    19.06 20.73 02a57510o0106c 0xc00800
57510.286006 18.847027      NaN    30    25 c    0   0.98 107.92183 28.57263  8334.74  7446.41 4.26 3.54  85.5 -0.453    18.99 20.67 02a57510o0141c 0xc00900
57513.235792 17.610315      NaN     7   107 c    0   0.98 107.92183 28.57263  8259.31  6446.62 4.21 3.54  81.5 -0.493    17.96 18.60 02a57513o0040c 0xc00800
57513.239173 18.438271      NaN   -34    51 c    0   1.28 107.92183 28.57263  8247.46  6406.51 4.29 3.64  82.6 -0.471    18.34 19.35 02a57513o0047c 0xc00800
57513.246101 19.169763      NaN   -17    26 c    0   1.36 107.92183 28.57263  8317.30  6483.38 4.11 3.48  82.1 -0.469    18.87 20.32 02a57513o0060c 0xc00800
57513.255128 19.169763      NaN   -14    26 c    0   1.00 107.92183 28.57263  8335.01  6366.42 4.17 3.54  83.6 -0.465    19.02 20.63 02a57513o0078c 0xc00800
