         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57395.671482 18.933071      NaN   19.5    27 c    0   1.25 218.95956 24.68283 10216.62  9942.99 3.70 3.33 -42.2 -0.442    18.99 20.27 02a57395o0727c 0xc00800         3.5
57395.678868 17.482434      NaN  -71.5   123 c    0   0.88 218.95956 24.68283   273.22  9947.37 3.83 3.74  19.2 -0.480    17.97 18.33 02a57395o0739c 0xc00800         3.5
57451.571954 19.696897      NaN  -10.5    16 c    0   1.18 218.95956 24.68283  7747.57   766.97 4.43 3.61  10.0 -0.466    19.63 21.57 02a57451o0677c 0xc00800         3.5
57451.594819 19.922338      NaN    1.5    13 c    0   1.40 218.95956 24.68283  8029.02  1356.39 4.12 3.55  13.6 -0.472    19.62 21.50 02a57451o0714c 0xc00800         3.5
57451.605849 19.419021      NaN   17.5    16 c    0   0.96 218.95956 24.68283  3780.53  8748.58 3.67 3.55 -74.1 -0.434    19.56 21.41 02a57451o0733c 0xc00800         3.5
57451.626807 19.569016      NaN  -16.5    18 c    0   0.76 218.95956 24.68283  3862.74  8689.98 3.81 3.62 -16.9 -0.465    19.47 21.34 02a57451o0768c 0xc00800         3.5
57455.551436 18.019544      NaN  -10.5    75 c    0   0.92 218.95956 24.68283  7735.21   919.86 4.47 3.60  10.3 -0.473    18.13 19.99 02a57455o0620c 0xc00800         3.5
57455.578040 16.257738      NaN  210.5   311 c    0   1.21 218.95956 24.68283  8010.64  1510.64 4.06 3.55  13.8 -0.463    16.50 18.27 02a57455o0658c 0xc00802         3.5
57455.609487 18.900000      NaN   31.5    24 c    0   0.92 218.95956 24.68283  3794.28  8593.87 3.75 3.59 -65.2 -0.427    19.14 21.09 02a57455o0706c 0xc00800         3.5
57455.618694 19.841877      NaN   -8.5    14 c    0   1.12 218.95956 24.68283  3864.49  8692.61 3.80 3.64 -66.7 -0.416    19.70 21.78 02a57455o0722c 0xc00800         3.5
57479.499231 19.510313      NaN  -52.5    19 c    0   1.14 218.95956 24.68283   616.95   311.91 5.48 3.66 -21.7 -0.450    19.55 21.46 02a57479o0505c 0xc00800         3.5
57479.500171 16.236051      NaN  443.5   241 c    0   0.26 218.95956 24.68283    36.36 10350.01 4.33 3.92 -44.9 -0.425    19.56 21.43 02a57479o0506c 0xc00802         3.5
57479.501132 19.454622      NaN   -0.5    20 c    0   0.88 218.95956 24.68283  7878.48   577.46 4.53 3.60  12.1 -0.488    19.55 21.40 02a57479o0508c 0xc00800         3.5
57479.523726 19.696897      NaN    9.5    14 c    0   1.82 218.95956 24.68283  2465.31  9511.22 3.83 3.68 -44.9 -0.419    19.47 21.24 02a57479o0549c 0xc00900         3.5
