         MJD         m       dm     uJy   duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57395.671482 19.051202      NaN    12.0   25.0   c  0.0   1.67 218.96476 24.68283 10225.95  9942.90 3.70 3.33 -42.2 -0.442    18.99 20.27 02a57395o0727c 0xc00800
57395.678868 17.430723      NaN    30.0  119.0   c  0.0   0.97 218.96476 24.68283   282.55  9947.49 3.83 3.73  19.2 -0.480    17.97 18.33 02a57395o0739c 0xc00800
57451.571954 19.569016      NaN    -1.0   18.0   c  0.0   0.85 218.96476 24.68283  7756.78   766.85 4.43 3.61  10.1 -0.465    19.63 21.57 02a57451o0677c 0xc00800
57451.594819 19.696897      NaN    -6.0   16.0   c  0.0   0.95 218.96476 24.68283  8038.23  1356.27 4.12 3.55  13.7 -0.472    19.62 21.50 02a57451o0714c 0xc00800
57451.605849 19.841877      NaN   -23.0   14.0   c  0.0   1.47 218.96476 24.68283  3771.36  8748.65 3.67 3.55 -74.0 -0.434    19.56 21.41 02a57451o0733c 0xc00800
57451.626807 19.631075      NaN    -7.0   17.0   c  0.0   1.16 218.96476 24.68283  3853.57  8690.04 3.81 3.62 -16.9 -0.465    19.47 21.34 02a57451o0768c 0xc00800
57455.551436 17.958558      NaN    34.0   68.0   c  0.0   1.08 218.96476 24.68283  7744.41   919.74 4.47 3.60  10.4 -0.473    18.13 19.99 02a57455o0620c 0xc00800
57455.578040 16.137076      NaN   323.0  317.0   c  0.0   1.36 218.96476 24.68283  8019.85  1510.52 4.06 3.55  13.8 -0.463    16.50 18.27 02a57455o0658c 0xc00802
57455.609487 19.142275      NaN     2.0   26.0   c  0.0   0.82 218.96476 24.68283  3785.11  8593.93 3.75 3.59 -65.1 -0.427    19.14 21.09 02a57455o0706c 0xc00800
57455.618694 19.841877      NaN   -25.0   14.0   c  0.0   1.05 218.96476 24.68283  3855.32  8692.67 3.80 3.64 -66.6 -0.416    19.70 21.78 02a57455o0722c 0xc00800
57479.499231 19.115465      NaN    22.0   20.0   c  0.0   1.19 218.96476 24.68283   607.64   311.99 5.48 3.66 -21.8 -0.449    19.55 21.46 02a57479o0505c 0xc00800
57479.500171 17.858399      NaN   -35.0   87.0   c  0.0   0.09 218.96476 24.68283    45.72 10350.12 4.33 3.92 -44.9 -0.425    19.56 21.43 02a57479o0506c 0xc00800
57479.501132 19.197966      NaN    16.0   20.0   c  0.0   0.93 218.96476 24.68283  7887.70   577.33 4.53 3.60  12.1 -0.488    19.55 21.40 02a57479o0508c 0xc00800
57479.523726 19.696897      NaN   -21.0   16.0   c  0.0   1.44 218.96476 24.68283  2456.09  9511.36 3.83 3.68 -44.9 -0.419    19.47 21.24 02a57479o0549c 0xc00900
57487.461283 19.454622      NaN    12.0   16.0   c  0.0   0.92 218.96476 24.68283  7580.24   852.07 4.41 3.67   9.6 -0.474    19.64 21.62 02a57487o0486c 0xc00900
