          MJD  MJDbin         uJy         duJy        stdev        x2  Nclip  Ngood  Nexcluded     Mask         m       dm
 58617.552341 58617.5  -208.60692    17.941157    26.162951  0.947405      0      2          2 0x800000 19.572571      NaN
          NaN 58618.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58619.565706 58619.5  144.987689     37.96907   486.389761  1.379522      0      4          4 0x800000 18.496672 0.284330
          NaN 58620.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58621.568385 58621.5      -202.0         65.0          NaN       NaN      0      1          1 0x800000 18.174913      NaN
          NaN 58622.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58623.538458 58623.5  387.529071    80.165476   266.685208  0.165049      0      3          3 0x800000 17.429239 0.224599
          NaN 58624.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58625.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58626.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58627.525128 58627.5       472.0        191.0          NaN       NaN      0      1          1 0x800000 16.352209      NaN
          NaN 58628.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58629.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58630.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58631.523699 58631.5        40.0         55.0          NaN       NaN      0      1          1 0x800000 18.120615      NaN
          NaN 58632.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58633.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58634.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58635.510043 58635.5      -577.0         26.0          NaN       NaN      0      1          1 0x800000 19.169763      NaN
          NaN 58636.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58637.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58638.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58639.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58640.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58641.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58642.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58643.486489 58643.5       130.0         30.0          NaN       NaN      2      1          3 0x800000 18.615142 0.250555
          NaN 58644.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58645.492594 58645.5 -221.976372    15.519376    65.642974  3.311989      0      3          3 0x800000 19.730011      NaN
          NaN 58646.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58647.473435 58647.5  180.907023    37.951096    69.296465  1.270202      0      2          2 0x800000 18.256361 0.227768
          NaN 58648.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58649.485681 58649.5 -290.818489    39.095676    52.652952  0.162956      0      3          3 0x800000 18.726875      NaN
          NaN 58650.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58651.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58652.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58653.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58654.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58655.497626 58655.5        91.0        213.0          NaN       NaN      1      1          2 0x800000 16.741693      NaN
          NaN 58656.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58657.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58658.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58659.434919 58659.5      -585.0         27.0          NaN       NaN      0      1          1 0x800000 19.128787      NaN
          NaN 58660.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58661.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58662.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
 58663.472308 58663.5 -614.622585       61.506    15.556349  0.031484      0      2          2 0x800000 18.234903      NaN
          NaN 58664.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58665.5         NaN          NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
