         MJD         m       dm     uJy    duJy   F  err   chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57230.468128 19.351140      NaN     6.0    20.0   o  0.0    1.45 337.44445 13.64003  6463.61  3041.52  3.76 3.62 -80.2 -0.415    18.91 20.33 02a57230o0274o 0xc00900
57322.331877 17.862567      NaN    86.0    58.0   o  0.0    0.94 337.44445 13.64003  4173.61  7591.72  4.16 3.28 -72.8 -0.462    17.98 18.72 02a57322o0306o 0xc00800
57322.355242 18.039019      NaN    23.0    66.0   o  0.0    1.15 337.44445 13.64003  4170.87  7592.43  3.93 3.02 -74.2 -0.453    17.80 18.34 02a57322o0342o 0xc00800
57322.381856 17.584152      NaN  -149.0   112.0   o  0.0    1.14 337.44445 13.64003  2725.02  9058.93  4.76 3.88 -60.1 -0.476    17.81 18.54 02a57322o0383o 0xc00800
57322.419971 17.491297      NaN   -34.0   122.0   o  0.0    1.17 337.44445 13.64003  2731.83  9058.56  4.69 3.75 -61.3 -0.491    17.73 18.35 02a57322o0441o 0xc00800
57323.315508 18.649074      NaN   -18.0    42.0   o  0.0    1.30 337.44445 13.64003  4184.66  7589.16  4.12 3.00 -75.0 -0.446    18.23 19.19 02a57323o0225o 0xc00800
57323.338774 18.208845      NaN    45.0    48.0   o  0.0    0.87 337.44445 13.64003  4180.27  7592.21  4.24 3.42 -70.7 -0.460    18.18 19.16 02a57323o0258o 0xc00800
57323.368680 18.280067      NaN   -22.0    59.0   o  0.0    0.92 337.44445 13.64003  2739.94  9058.17  4.68 3.75 -62.0 -0.494    18.11 19.06 02a57323o0300o 0xc00800
57323.398061 17.837796      NaN    74.0    64.0   o  0.0    1.02 337.44445 13.64003  2738.76  9059.39  4.64 3.73 -61.1 -0.481    18.05 18.94 02a57323o0342o 0xc00800
57326.303656 19.014394      NaN   -49.0    30.0   o  0.0    0.91 337.44445 13.64003  4223.38  7604.29  4.11 2.93 -78.3 -0.456    18.89 20.48 02a57326o0215o 0xc00800
