         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57300.378191 17.414019      NaN   -329   131 o    0   0.85 21.76144 33.95493  7122.57  2554.79 3.93 3.50   1.9 -0.522    18.92 20.66 02a57300o0515o 0xc00900
57302.374442 19.302877      NaN    -80    23 o    0   1.26 21.76144 33.95493  7136.69  2560.12 4.50 3.89  -4.1 -0.477    19.15 20.95 02a57302o0291o 0xc00800
57302.399864 19.169763      NaN    -29    26 o    0   0.92 21.76144 33.95493  7137.54  2565.47 4.74 3.85   2.8 -0.461    19.09 20.90 02a57302o0329o 0xc00900
57302.434978 19.014394      NaN    -31    30 o    0   0.98 21.76144 33.95493  8587.49  1088.50 5.16 3.75  14.8 -0.478    19.18 20.93 02a57302o0383o 0xc00900
57302.445007 19.128787      NaN    -72    27 o    0   1.11 21.76144 33.95493  8589.56  1088.53 5.03 3.66  14.8 -0.467    19.19 20.92 02a57302o0398o 0xc00a00
57319.298490 18.526952      NaN     -4    47 o    0   1.12 21.76144 33.95493  7147.08  2570.19 4.70 3.94  -1.8 -0.524    18.31 19.39 02a57319o0182o 0xc00800
57319.326274 18.598565      NaN    -14    44 o    0   1.21 21.76144 33.95493  7152.82  2577.41 4.79 4.16  -0.7 -0.521    18.36 19.52 02a57319o0223o 0xc00800
57319.354510 18.481707      NaN   -198    49 o    0   1.05 21.76144 33.95493  8600.10  1099.05 6.18 4.34  18.8 -0.463    18.41 19.58 02a57319o0264o 0xc00800
57319.364589 18.438271      NaN    -51    51 o    0   0.98 21.76144 33.95493  8605.28  1104.96 5.99 4.43  16.4 -0.478    18.42 19.64 02a57319o0278o 0xc00900
57324.361211 18.481707      NaN    -34    49 o    0   0.96 21.76144 33.95493  7184.24  2596.09 4.89 4.05  -3.6 -0.478    18.28 19.35 02a57324o0291o 0xc00800
57324.388486 18.389700      NaN     10    50 o    0   1.04 21.76144 33.95493  3547.28  8063.53 4.61 3.60 -67.5 -0.465    18.22 19.27 02a57324o0332o 0xc00800
57324.396342 18.034118      NaN     69    51 o    0   0.96 21.76144 33.95493  2095.06  9554.20 5.24 3.66 -64.2 -0.468    18.27 19.29 02a57324o0344o 0xc00800
57324.426157 18.410251      NaN      4    51 o    0   0.99 21.76144 33.95493  2084.92  9554.10 4.98 3.30 -65.7 -0.460    18.32 19.28 02a57324o0388o 0xc00800
57327.406467 18.389700      NaN     40    40 o    0   0.85 21.76144 33.95493  3567.37  8074.69 4.39 3.07 -74.7 -0.458    18.73 20.21 02a57327o0334o 0xc00800
57327.443457 18.729535      NaN    -36    39 o    0   0.86 21.76144 33.95493  3554.77  8077.63 4.54 3.16 -72.9 -0.445    18.69 20.16 02a57327o0386o 0xc00800
57327.466784 18.786693      NaN    -34    37 o    0   1.09 21.76144 33.95493  2102.08  9568.09 5.07 3.34 -66.2 -0.472    18.67 20.09 02a57327o0420o 0xc00900
57327.492936 18.424171      NaN     32    41 o    0   0.97 21.76144 33.95493  2102.68  9567.68 5.22 3.54 -65.8 -0.463    18.61 20.01 02a57327o0458o 0xc00800
57362.300760 19.454622      NaN    -23    20 o    0   1.15 21.76144 33.95493  3995.89  7579.17 3.82 3.37 -78.6 -0.462    19.24 20.98 02a57362o0169o 0xc00900
57362.332132 19.384550      NaN      1    21 o    0   1.18 21.76144 33.95493  4258.11  8167.22 3.91 3.50 -76.9 -0.452    19.22 21.00 02a57362o0213o 0xc00800
57362.350349 19.401649      NaN     -7    21 o    0   1.08 21.76144 33.95493  3408.66  7013.95 4.07 3.60 -68.4 -0.443    19.22 21.02 02a57362o0239o 0xc00800
57362.361233 19.302877      NaN    -31    23 o    0   1.03 21.76144 33.95493  3106.00  8770.13 4.21 3.75 -69.0 -0.430    19.20 21.02 02a57362o0253o 0xc00900
57363.310621 18.900000      NaN     43    19 o    0   1.32 21.76144 33.95493  3998.20  7579.40 3.63 3.36 -80.9 -0.437    19.17 20.76 02a57363o0151o 0xc00900
57363.330595 19.351140      NaN     -2    22 o    0   1.21 21.76144 33.95493  4263.39  8166.98 3.66 3.40 -81.4 -0.449    19.19 20.81 02a57363o0178o 0xc00800
57363.339465 19.569016      NaN    -53    18 o    0   1.30 21.76144 33.95493  3415.27  7012.25 3.76 3.39 -76.7 -0.441    19.19 20.81 02a57363o0192o 0xc00900
57363.365218 19.351140      NaN     -4    22 o    0   0.90 21.76144 33.95493  3107.59  8774.16 3.73 3.47 -79.8 -0.423    19.21 20.87 02a57363o0229o 0xc00800
57364.295482 19.256669      NaN      6    22 o    0   1.05 21.76144 33.95493  3997.88  7582.00 3.68 3.40 -76.1 -0.445    19.13 20.68 02a57364o0201o 0xc00800
57364.309907 19.026525      NaN     26    21 o    0   1.08 21.76144 33.95493  4264.39  8165.24 3.60 3.34 -80.5 -0.441    19.16 20.73 02a57364o0224o 0xc00800
57364.326759 19.401649      NaN    -28    21 o    0   1.22 21.76144 33.95493  3409.57  7010.42 3.69 3.33 -73.4 -0.447    19.17 20.70 02a57364o0249o 0xc00900
57364.351953 19.510313      NaN     -1    19 o    0   1.03 21.76144 33.95493  3108.43  8768.92 3.63 3.38 -73.5 -0.435    19.18 20.71 02a57364o0284o 0xc00800
57365.313800 19.102305      NaN     23    20 o    0   1.31 21.76144 33.95493  3988.77  7586.58 3.88 3.52 -72.1 -0.433    19.14 20.78 02a57365o0232o 0xc00800
57365.330662 19.063754      NaN     26    20 o    0   1.31 21.76144 33.95493  4255.51  8170.57 3.61 3.33 -77.9 -0.438    19.25 20.87 02a57365o0259o 0xc00800
57365.341223 19.510313      NaN    -34    19 o    0   1.35 21.76144 33.95493  3406.92  7015.74 3.77 3.37 -72.9 -0.447    19.24 20.90 02a57365o0276o 0xc00900
57365.364221 19.155932      NaN     19    20 o    0   1.10 21.76144 33.95493  3102.43  8777.87 3.79 3.46 -72.7 -0.440    19.22 20.86 02a57365o0313o 0xc00800
57384.272527 19.318728      NaN      8    20 o    0   1.18 21.76144 33.95493  3848.92  7795.19 3.73 3.50  87.0 -0.433    19.08 20.62 02a57384o0112o 0xc00800
57384.286559 19.351140      NaN    -25    22 o    0   1.23 21.76144 33.95493  4116.05  8377.96 3.73 3.54  86.4 -0.424    18.90 20.31 02a57384o0134o 0xc00800
