         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57314.596573 19.510313      NaN  -11    19 c    0   1.23 121.8594 39.19377  3467.45  2091.17 5.00 3.81 -16.4 -0.451    19.35 21.25 02a57314o0578c 0xc00900
57314.624044 18.990530      NaN   38    18 c    0   1.45 121.8594 39.19377  3485.54  2097.41 5.00 3.76 -15.2 -0.443    19.37 21.25 02a57314o0610c 0xc00a00
57314.655954 16.653187      NaN  -92   264 c    0   1.12 121.8594 39.19377  4920.99   662.41 5.39 3.64  -4.4 -0.487    17.29 17.08 02a57314o0647c 0xc00802
57316.559971 19.256669      NaN   -9    24 c    0   1.18 121.8594 39.19377  3491.89  2087.58 5.79 4.23 -11.0 -0.404    19.07 21.02 02a57316o0532c 0xc00800
57316.574862 19.155932      NaN   10    23 c    0   1.36 121.8594 39.19377  3496.65  2086.75 5.64 4.28 -12.8 -0.398    19.12 21.04 02a57316o0555c 0xc00800
57316.601498 18.757738 0.238100  114    25 c    0   1.34 121.8594 39.19377  4923.24   650.16 5.67 4.09  -4.5 -0.457    19.25 21.15 02a57316o0588c 0xc00900
57316.609199 19.302877      NaN  -10    23 c    0   1.01 121.8594 39.19377  1207.82 10246.28 4.89 4.08 -55.0 -0.380    19.27 21.16 02a57316o0600c 0xc00800
57316.622774 19.212347      NaN  -11    25 c    0   1.17 121.8594 39.19377  4928.07   655.54 5.48 3.91  -4.5 -0.473    19.31 21.15 02a57316o0618c 0xc00900
57316.628572 19.384550      NaN    4    20 c    0   1.19 121.8594 39.19377  1211.23 10250.33 4.80 3.91 -55.5 -0.403    19.31 21.16 02a57316o0627c 0xc00800
57395.460111 19.841877      NaN  -10    14 c    0   1.71 121.8594 39.19377  3170.93  2390.92 4.09 3.60 -24.2 -0.413    19.69 21.65 02a57395o0413c 0xc00900
57395.471961 19.766969      NaN  -40    15 c    0   1.67 121.8594 39.19377  7615.61  8677.07 3.78 3.62  71.9 -0.415    19.63 21.60 02a57395o0429c 0xc00900
57395.481686 19.401649      NaN   21    14 c    0   1.64 121.8594 39.19377  3701.07  2972.07 3.95 3.65 -23.4 -0.389    19.68 21.64 02a57395o0442c 0xc00800
57395.500027 19.002397      NaN   16    25 c    0   0.63 121.8594 39.19377  6537.71  9255.31 3.63 3.54  56.0 -0.434    19.67 21.63 02a57395o0468c 0xc00800
57402.456964 19.631075      NaN  -50    17 c    0   1.36 121.8594 39.19377  3203.03  2449.50 4.38 3.78 -18.2 -0.400    19.64 21.68 02a57402o0418c 0xc00900
57402.480599 19.766969      NaN   -1    15 c    0   1.33 121.8594 39.19377  7816.33  8873.56 3.81 3.62  78.4 -0.413    19.64 21.62 02a57402o0449c 0xc00800
57402.489294 19.334813      NaN   22    15 c    0   1.26 121.8594 39.19377  6968.82  7688.17 3.82 3.45  86.0 -0.416    19.62 21.61 02a57402o0460c 0xc00900
57402.521892 19.569016      NaN  -17    18 c    0   1.53 121.8594 39.19377  6672.54  9439.08 4.49 4.14 -66.1 -0.379    19.42 21.52 02a57402o0503c 0xc00900
57403.454389 19.743105      NaN    1    15 c    0   1.86 121.8594 39.19377  3204.88  2445.98 4.52 3.87 -18.9 -0.404    19.63 21.73 02a57403o0416c 0xc00a00
57403.477744 19.841877      NaN   -8    14 c    0   1.37 121.8594 39.19377  7816.39  8870.31 3.90 3.61  84.8 -0.412    19.65 21.70 02a57403o0447c 0xc00900
57403.487328 19.589310      NaN    8    15 c    0   1.48 121.8594 39.19377  6972.55  7685.51 3.95 3.63 -85.6 -0.401    19.59 21.64 02a57403o0459c 0xc00800
