         MJD         m       dm    uJy   duJy   F  err  chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask
57305.208550 18.389700      NaN   49.0   37.0   c  0.0   0.86 268.84913 45.21816  4454.76   741.74  5.01  4.17  -2.2 -0.499    18.72 20.19 02a57305o0031c 0xc00800
57305.214970 18.806434      NaN   37.0   24.0   c  0.0   1.47 268.84913 45.21816  4454.14   740.78  4.87  3.91  -6.6 -0.509    19.24 21.09 02a57305o0041c 0xc00900
57305.224512 18.944322      NaN   30.0   22.0   c  0.0   1.15 268.84913 45.21816  2922.43  2220.78  4.69  4.10 -14.0 -0.469    19.34 21.33 02a57305o0056c 0xc00800
57305.251173 19.076453      NaN   16.0   23.0   c  0.0   1.45 268.84913 45.21816  2911.85  2217.51  4.72  3.76 -16.6 -0.497    19.35 21.29 02a57305o0098c 0xc00800
57307.256179 19.212347      NaN   12.0   21.0   c  0.0   0.98 268.84913 45.21816  2944.74  2218.52  4.49  3.93 -21.2 -0.416    19.44 21.49 02a57307o0021c 0xc00800
57316.264621 18.590371      NaN   37.0   32.0   c  0.0   1.28 268.84913 45.21816  2921.59  2227.14  5.42  3.98 -19.3 -0.477    18.68 20.11 02a57316o0092c 0xc00900
57448.647955 18.857417      NaN   38.0   22.0   c  0.0   0.99 268.84913 45.21816  6174.27  9772.46  3.78  3.73  73.5 -0.425    19.17 20.69 02a57448o0691c 0xc00800
57448.664878 18.142010      NaN   15.0   62.0   c  0.0   1.71 268.84913 45.21816  6479.77 10365.03  4.00  3.90  28.0 -0.413    18.21 18.95 02a57448o0725c 0xc00800
57448.668780 17.365395      NaN -500.0  137.0   c  0.0   1.02 268.84913 45.21816  6438.62   553.82  4.66  3.68  -0.1 -0.478    17.71 17.90 02a57448o0733c 0xc00800
57449.637984 19.051202      NaN   24.0   21.0   c  0.0   0.78 268.84913 45.21816  6433.43  9709.00  3.68  3.60  77.4 -0.434    19.29 20.89 02a57449o0839c 0xc00800
57449.654994 19.302877      NaN    0.0   23.0   c  0.0   1.49 268.84913 45.21816  6739.02 10299.39  3.88  3.72  14.8 -0.405    19.15 20.66 02a57449o0873c 0xc00800
57449.660923 18.158337      NaN   84.0   38.0   c  0.0   1.30 268.84913 45.21816  6683.52   506.40  4.55  3.46   1.8 -0.504    18.77 19.86 02a57449o0885c 0xc00800
57458.623334 19.183773      NaN   26.0   17.0   c  0.0   0.98 268.84913 45.21816  6515.00  9552.65  3.96  3.89  17.5 -0.416    19.61 21.68 02a57458o0811c 0xc00900
57458.640487 19.436675      NaN   13.0   16.0   c  0.0   1.29 268.84913 45.21816  6829.71 10145.56  4.04  3.87  18.4 -0.417    19.61 21.67 02a57458o0845c 0xc00800
57458.646564 19.401649      NaN  -20.0   21.0   c  0.0   1.41 268.84913 45.21816  6764.74   349.38  5.13  4.22   0.4 -0.424    19.44 21.51 02a57458o0857c 0xc00800
57458.663395 17.564935      NaN -227.0  114.0   c  0.0   1.12 268.84913 45.21816  5640.67   954.93  4.53  3.74  -4.0 -0.481    17.75 18.05 02a57458o0890c 0xc00800
57488.525377 19.115465      NaN   31.0   17.0   c  0.0   1.77 268.84913 45.21816  6672.10  9637.54  3.85  3.65 -87.8 -0.432    19.54 21.46 02a57488o0561c 0xc00800
57488.541181 19.367717      NaN    5.0   20.0   c  0.0   1.02 268.84913 45.21816  6906.13   431.96  4.59  3.61   5.1 -0.506    19.56 21.45 02a57488o0593c 0xc00800
57488.546984 19.271854      NaN   17.0   18.0   c  0.0   1.39 268.84913 45.21816  6974.50 10228.42  3.80  3.70  88.5 -0.426    19.56 21.43 02a57488o0605c 0xc00800
57488.558798 19.302877      NaN   12.0   19.0   c  0.0   1.38 268.84913 45.21816  5780.77  1038.70  4.62  3.55  -1.0 -0.480    19.56 21.45 02a57488o0629c 0xc00800
57488.571959 19.241693      NaN   19.0   18.0   c  0.0   1.64 268.84913 45.21816  5536.48  1043.50  4.62  3.59  -1.2 -0.482    19.58 21.49 02a57488o0656c 0xc00800
57512.507789 19.367717      NaN   14.0   17.0   c  0.0   1.11 268.84913 45.21816  5104.47  9896.82  3.86  3.80 -72.5 -0.416    19.64 21.67 02a57512o0594c 0xc00800
57515.456246 19.696897      NaN   -9.0   16.0   c  0.0   0.89 268.84913 45.21816  5618.36  8257.94  3.79  3.49 -77.0 -0.441    19.59 21.58 02a57515o0487c 0xc00800
57515.466087 16.367907 0.016866 1030.0   16.0   c  0.0  84.95 268.84913 45.21816  5653.55  8292.66  3.69  3.45 -78.0 -0.440    19.62 21.58 02a57515o0507c 0xc00801
57515.479041 19.287255      NaN   25.0   15.0   c  0.0   1.35 268.84913 45.21816  5586.53  8223.76  3.73  3.46 -82.1 -0.442    19.62 21.60 02a57515o0533c 0xc00800
57515.496549 19.014394      NaN   42.0   16.0   c  0.0   1.36 268.84913 45.21816  5558.72  8341.56  3.73  3.46 -79.8 -0.446    19.51 21.44 02a57515o0567c 0xc00800
57515.507814 19.652575      NaN    2.0   16.0   c  0.0   1.11 268.84913 45.21816  5598.49  8282.33  3.80  3.50 -81.5 -0.444    19.55 21.47 02a57515o0589c 0xc00800
57541.441328 19.334813      NaN   16.0   17.0   c  0.0   1.26 268.84913 45.21816  4737.83  9540.93  3.91  3.72 -64.0 -0.433    19.71 21.82 02a57541o0514c 0xc00800
57541.451626 19.197966 0.200004   76.0   14.0   c  0.0   2.00 268.84913 45.21816  4744.30  9580.47  3.92  3.72 -65.7 -0.428    19.72 21.83 02a57541o0533c 0xc00b00
57541.468151 19.241693      NaN   28.0   15.0   c  0.0   1.67 268.84913 45.21816  4684.34  9507.68  4.12  3.97  -8.6 -0.409    19.65 21.84 02a57541o0564c 0xc00800
57541.487373 19.142275      NaN   29.0   17.0   c  0.0   0.95 268.84913 45.21816  4674.53  9615.31  3.85  3.79 -62.1 -0.425    19.70 21.81 02a57541o0599c 0xc00800
57541.500002 19.197966      NaN   28.0   16.0   c  0.0   1.23 268.84913 45.21816  5857.15   962.97  4.56  3.65   3.5 -0.479    19.68 21.79 02a57541o0624c 0xc00800
57545.425610 18.889197      NaN   38.0   21.0   c  0.0   1.34 268.84913 45.21816  7697.56   644.00  4.84  3.98  13.0 -0.462    19.54 21.67 02a57545o0384c 0xc00800
57545.426095 19.401649      NaN  -15.0   21.0   c  0.0   1.41 268.84913 45.21816  7864.52 10444.49  4.21  3.91  83.0 -0.408    19.53 21.62 02a57545o0385c 0xc00800
57545.436018 18.720295      NaN   52.0   22.0   c  0.0   1.34 268.84913 45.21816  7721.10   667.70  4.86  3.91  17.2 -0.467    19.55 21.66 02a57545o0403c 0xc00900
57545.436985 19.169763      NaN  -31.0   26.0   c  0.0   1.61 268.84913 45.21816  7894.44 10475.86  4.18  3.89  74.6 -0.400    19.55 21.63 02a57545o0405c 0xc00900
57545.441562 19.115465      NaN   28.0   18.0   c  0.0   1.62 268.84913 45.21816  7817.68 10405.58  4.19  3.89  75.0 -0.399    19.54 21.62 02a57545o0414c 0xc00800
57545.442529 19.076453      NaN   25.0   20.0   c  0.0   1.67 268.84913 45.21816  7686.05   594.76  4.54  3.74  13.6 -0.470    19.59 21.64 02a57545o0416c 0xc00800
57545.451653 18.767304      NaN   47.0   22.0   c  0.0   0.91 268.84913 45.21816  7652.94   723.90  4.60  3.84  14.2 -0.466    19.55 21.62 02a57545o0434c 0xc00800
57545.464915 16.105993      NaN  480.0  277.0   c  0.0   0.17 268.84913 45.21816  7811.58 10515.51  4.16  3.95  64.1 -0.401    19.20 21.22 02a57545o0459c 0xc00802
