         MJD         m       dm    uJy   duJy F  err    chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57323.624822 18.504094      NaN    -10     48 o    0     0.78 142.43306 3.07604  3381.72  4173.99  4.37  3.62 -32.9 -0.490    18.26 19.25 02a57323o0662o  -0.208333
57388.614202 19.401649      NaN    -14     21 o    0     1.32 142.43306 3.07604  7638.03  6185.63  3.52  3.09  87.8 -0.478    18.99 20.45 02a57388o0667o  -0.666667
57388.633731 18.967180      NaN      4     30 o    0     0.68 142.43306 3.07604  7926.29  6768.17  3.59  3.18  86.4 -0.473    18.92 20.36 02a57388o0698o   0.133333
57388.650059 19.002397      NaN     16     25 o    0     0.98 142.43306 3.07604  7054.54  5603.33  3.52  3.33 -89.0 -0.468    18.88 20.28 02a57388o0724o   0.640000
57388.666235 18.496580      NaN     46     33 o    0     0.96 142.43306 3.07604  6759.77  7345.36  3.70  3.46 -89.9 -0.458    18.58 19.82 02a57388o0750o   1.393939
57408.462609 18.582238      NaN     26     36 o    0     0.77 142.43306 3.07604  3696.38  3944.66  3.75  3.52 -42.9 -0.429    18.59 19.60 02a57408o0445o   0.722222
57408.498054 18.666446      NaN     31     31 o    0     1.02 142.43306 3.07604  6772.88  6174.63  3.42  3.13  88.8 -0.465    18.63 19.62 02a57408o0497o   1.000000
57408.506642 18.666446      NaN     19     35 o    0     0.94 142.43306 3.07604  3105.32  3370.65  3.79  3.46 -33.3 -0.445    18.63 19.61 02a57408o0509o   0.542857
57408.538638 18.623526      NaN     36     31 o    0     1.15 142.43306 3.07604  7932.61  5603.09  3.47  3.09  88.0 -0.465    18.64 19.64 02a57408o0555o   1.161290
57444.470345 18.403357      NaN     68     30 o    0     1.28 142.43306 3.07604  7270.97  6591.84  3.87  3.55 -87.3 -0.472    18.54 19.71 02a57444o0202o   2.266667
57444.534542 18.336727      NaN     69     33 o    0     1.12 142.43306 3.07604  7879.16  5593.44  3.74  3.23  87.3 -0.464    18.46 19.46 02a57444o0248o   2.090909
57445.450508 19.212347      NaN    -22     25 o    0     0.99 142.43306 3.07604  6745.19  6855.30  3.49  3.03 -89.7 -0.485    18.91 20.14 02a57445o0490o  -0.880000
57445.472807 19.212347      NaN    -15     25 o    0     0.80 142.43306 3.07604  6456.08  6278.21  3.49  3.10 -86.7 -0.479    18.87 20.07 02a57445o0531o  -0.600000
57445.495028 19.051202      NaN    -54     29 o    0     0.87 142.43306 3.07604  7618.01  5704.65  3.52  3.07  87.1 -0.462    18.83 19.99 02a57445o0572o  -1.862069
