         MJD         m       dm     uJy   duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    __tmp_SN
57323.624822 18.504094      NaN     -30     48 o    0   1.09 142.43975 3.06937  3394.62  4186.96  4.37  3.61 -33.1 -0.490    18.26 19.25 02a57323o0662o   -0.625000
57388.614202 19.115465      NaN       4     26 o    0   0.78 142.43975 3.06937  7625.12  6172.65  3.52  3.09  87.8 -0.478    18.99 20.45 02a57388o0667o    0.153846
57388.633731 18.369531      NaN      76     29 o    0   0.93 142.43975 3.06937  7913.35  6755.16  3.59  3.18  86.4 -0.473    18.92 20.36 02a57388o0698o    2.620690
57388.650059 19.302877      NaN       0     23 o    0   1.28 142.43975 3.06937  7041.65  5590.37  3.52  3.34 -88.8 -0.468    18.88 20.28 02a57388o0724o    0.000000
57388.666235 18.978793      NaN     -61     31 o    0   1.07 142.43975 3.06937  6746.86  7332.35  3.69  3.46 -89.8 -0.458    18.58 19.82 02a57388o0750o   -1.967742
57408.462609 18.944322      NaN     -32     32 o    0   1.24 142.43975 3.06937  3709.28  3957.63  3.75  3.52 -43.2 -0.429    18.59 19.60 02a57408o0445o   -1.000000
57408.498054 18.474346      NaN      55     31 o    0   0.99 142.43975 3.06937  6759.99  6161.66  3.42  3.13  88.8 -0.465    18.63 19.62 02a57408o0497o    1.774194
57408.506642 18.889197      NaN       2     33 o    0   0.95 142.43975 3.06937  3118.24  3383.66  3.79  3.46 -33.4 -0.445    18.63 19.61 02a57408o0509o    0.060606
57408.538638 18.438271      NaN     -94     51 o    0   0.92 142.43975 3.06937  7919.69  5590.11  3.47  3.10  88.0 -0.465    18.64 19.64 02a57408o0555o   -1.843137
57444.470345 18.534680      NaN      44     32 o    0   1.20 142.43975 3.06937  7258.06  6578.85  3.87  3.55 -87.2 -0.472    18.54 19.71 02a57444o0202o    1.375000
57444.534542 18.738855      NaN      26     30 o    0   1.35 142.43975 3.06937  7866.25  5580.46  3.73  3.23  87.3 -0.464    18.46 19.46 02a57444o0248o    0.866667
57445.450508 19.212347      NaN     -21     25 o    0   0.83 142.43975 3.06937  6732.29  6842.31  3.49  3.03 -89.7 -0.485    18.91 20.14 02a57445o0490o   -0.840000
57445.472807 19.128787      NaN       0     27 o    0   0.90 142.43975 3.06937  6443.19  6265.25  3.49  3.10 -86.6 -0.479    18.87 20.07 02a57445o0531o    0.000000
57445.495028 19.212347      NaN     -26     25 o    0   0.96 142.43975 3.06937  7605.11  5691.67  3.52  3.08  87.2 -0.462    18.83 19.99 02a57445o0572o   -1.040000
57445.517301 18.944322      NaN      12     28 o    0   1.05 142.43975 3.06937  7860.36  5578.33  3.57  3.10  87.8 -0.473    18.75 19.89 02a57445o0613o    0.428571
57464.401119 18.511660      NaN      56     29 o    0   1.04 142.43975 3.06937  6769.03  6443.93  3.64  3.02  90.0 -0.483    18.71 19.99 02a57464o0396o    1.931034
57464.422403 19.089302      NaN     -30     28 o    0   1.03 142.43975 3.06937  6480.40  5864.26  3.65  3.23 -85.5 -0.461    18.67 19.96 02a57464o0438o   -1.071429
57464.444613 19.014394      NaN      -5     30 o    0   1.28 142.43975 3.06937  7641.37  5292.40  3.76  3.24  86.9 -0.472    18.65 19.92 02a57464o0481o   -0.166667
57464.466840 19.089302      NaN     -19     28 o    0   1.46 142.43975 3.06937  7857.97  5566.92  3.74  3.08  86.7 -0.484    18.58 19.78 02a57464o0524o   -0.678571
57472.399205 18.623526      NaN     -28     43 o    0   1.01 142.43975 3.06937  6807.38  6798.40  3.71  3.03 -89.6 -0.480    18.37 19.30 02a57472o0363o   -0.651163
57472.420244 18.675237      NaN     -60     41 o    0   1.04 142.43975 3.06937  6516.67  6219.30  3.69  3.12 -87.6 -0.471    18.33 19.23 02a57472o0402o   -1.463415
57472.441501 18.323878      NaN      32     46 o    0   0.97 142.43975 3.06937  7680.81  5647.38  3.76  3.04  87.2 -0.493    18.27 19.12 02a57472o0441o    0.695652
57472.462720 18.191747      NaN      45     49 o    0   1.08 142.43975 3.06937  7840.86  5573.10  3.75  2.96  87.6 -0.497    18.25 19.06 02a57472o0480o    0.918367
57476.374193 19.256669      NaN      -6     24 o    0   0.79 142.43975 3.06937  7079.90  6470.02  3.78  3.09  89.5 -0.472    19.10 20.72 02a57476o0326o   -0.250000
57476.396093 19.142275      NaN       8     24 o    0   1.13 142.43975 3.06937  6792.92  5890.95  3.73  3.22  89.9 -0.465    18.99 20.55 02a57476o0369o    0.333333
57476.418184 18.693037      NaN      49     24 o    0   1.35 142.43975 3.06937  7958.60  5318.52  3.88  3.37  84.8 -0.467    18.88 20.35 02a57476o0412o    2.041667
57476.440481 19.014394      NaN     -45     30 o    0   1.04 142.43975 3.06937  7842.23  5573.20  3.88  3.43  83.9 -0.471    18.80 20.23 02a57476o0455o   -1.500000
57493.312648 18.702047      NaN      -4     40 o    0   0.85 142.43975 3.06937  6915.87  6536.98  3.81  3.24  87.5 -0.468    18.48 19.49 02a57493o0201o   -0.100000
57493.329434 18.757738      NaN     -15     38 o    0   0.82 142.43975 3.06937  6626.83  5959.49  3.95  3.54 -89.5 -0.480    18.41 19.45 02a57493o0234o   -0.394737
57493.347652 18.336727      NaN      57     37 o    0   1.07 142.43975 3.06937  7790.10  5386.90  3.94  3.38  85.8 -0.476    18.41 19.41 02a57493o0269o    1.540541
57493.367021 18.336727      NaN      48     40 o    0   0.94 142.43975 3.06937  7846.75  5564.47  3.89  3.28  86.7 -0.460    18.45 19.51 02a57493o0303o    1.200000
57497.335660 18.298627      NaN      27     49 o    0   0.97 142.43975 3.06937  7226.20  6443.54  3.90  3.14  88.5 -0.496    18.25 19.04 02a57497o0160o    0.551020
