         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57305.246749 18.566153      NaN    43    31 c    0   1.18 278.36224 44.08657 10145.31   224.13 6.32 4.28  31.2 -0.401    19.37 21.43 02a57305o0091c  1.387097
57305.262660 18.878500      NaN   -19    34 c    0   1.04 278.36224 44.08657 10144.49   224.42 6.02 4.15  32.0 -0.423    19.42 21.40 02a57305o0116c -0.558824
57307.267653 19.063754      NaN     8    26 c    0   1.12 278.36224 44.08657 10173.66   226.16 5.51 4.32  27.8 -0.410    19.45 21.56 02a57307o0039c  0.307692
57315.223672 16.263467      NaN   243   297 c    0   1.13 278.36224 44.08657   591.50  8472.03 4.75 3.50 -66.6 -0.450    17.04 18.01 02a57315o0059c  0.818182
57315.225601 17.281543      NaN   -29   148 c    0   1.07 278.36224 44.08657 10086.28  8519.05 5.02 3.90  83.5 -0.475    17.45 18.51 02a57315o0062c -0.195946
57315.241723 18.403357      NaN    56    34 c    0   1.23 278.36224 44.08657   588.32  8470.80 4.75 3.52 -67.0 -0.424    18.70 20.17 02a57315o0087c  1.647059
57315.243661 18.389700      NaN    49    37 c    0   0.98 278.36224 44.08657 10079.05  8519.21 5.04 3.82  86.4 -0.451    18.80 20.33 02a57315o0090c  1.324324
57315.262496 18.255804 0.299927   181    50 c    0   0.94 278.36224 44.08657  8651.85  9927.75 4.94 4.14 -85.5 -0.441    18.14 19.50 02a57315o0119c  3.620000
57315.281499 17.515292      NaN   127    77 c    0   1.05 278.36224 44.08657  8648.81  9928.53 4.96 4.05 -85.0 -0.438    18.33 19.78 02a57315o0148c  1.649351
57316.251664 18.944322      NaN   -14    32 c    0   1.13 278.36224 44.08657 10066.02  8514.37 5.05 3.83  86.6 -0.441    18.84 20.30 02a57316o0072c -0.437500
57316.267196 18.445391      NaN    59    31 c    0   1.49 278.36224 44.08657  8641.17  9923.32 5.09 4.27 -86.0 -0.427    18.77 20.27 02a57316o0096c  1.903226
57316.275100 18.526952      NaN    -6    47 c    0   1.16 278.36224 44.08657 10147.72   230.25 7.11 4.39  27.9 -0.319    18.80 20.28 02a57316o0108c -0.127660
57316.285706 18.720295      NaN    16    34 c    0   1.15 278.36224 44.08657  8638.59  9925.26 5.03 4.19 -83.3 -0.427    18.73 20.19 02a57316o0124c  0.470588
57316.294906 17.995680      NaN    80    50 c    0   1.19 278.36224 44.08657 10145.12   232.30 7.18 4.48  28.4 -0.349    18.72 20.18 02a57316o0138c  1.600000
57448.659812 18.878500      NaN   -35    34 c    0   1.08 278.36224 44.08657 10027.43  2025.61 4.49 3.94  30.8 -0.449    18.73 19.95 02a57448o0715c -1.029412
57449.651909 19.351140      NaN    -1    22 c    0   1.31 278.36224 44.08657 10267.63  1970.05 4.28 3.71  37.4 -0.482    19.21 20.76 02a57449o0867c -0.045455
57449.661948 18.582238      NaN     5    43 c    0   1.02 278.36224 44.08657   785.79  1951.85 4.87 3.59 -26.4 -0.458    18.51 19.43 02a57449o0887c  0.116279
57458.641502 19.384550      NaN    10    18 c    0   1.32 278.36224 44.08657 10348.65  1814.62 4.64 4.11  28.4 -0.444    19.51 21.60 02a57458o0847c  0.555556
57458.649707 19.169763      NaN    18    20 c    0   1.30 278.36224 44.08657   866.66  1800.25 5.12 3.86 -22.9 -0.428    19.31 21.10 02a57458o0863c  0.900000
57488.538191 18.711133      NaN    38    27 c    0   1.78 278.36224 44.08657 10493.50  1893.93 4.64 3.89  41.2 -0.478    19.49 21.40 02a57488o0587c  1.407407
57488.554863 19.419021      NaN     5    19 c    0   1.30 278.36224 44.08657  1000.75  1898.74 4.82 3.58 -25.7 -0.459    19.49 21.33 02a57488o0621c  0.263158
57488.570941 19.271854      NaN    14    19 c    0   0.88 278.36224 44.08657  1297.16  2498.13 4.63 3.56 -25.6 -0.445    19.52 21.39 02a57488o0654c  0.736842
57488.573416 19.569016      NaN     3    17 c    0   1.13 278.36224 44.08657  9614.10  3114.26 4.13 3.69  47.3 -0.472    19.55 21.45 02a57488o0659c  0.176471
57488.585231 19.589310      NaN     8    15 c    0   1.77 278.36224 44.08657   144.99  3036.81 4.81 3.57 -32.6 -0.437    19.54 21.44 02a57488o0683c  0.533333
57488.587718 18.786693      NaN    45    22 c    0   0.97 278.36224 44.08657  9377.43  3128.04 4.00 3.86  88.7 -0.467    19.36 21.34 02a57488o0688c  2.045455
57515.474133 18.978793      NaN    27    22 c    0   0.92 278.36224 44.08657  9519.85   547.37 4.83 3.71  22.8 -0.471    19.60 21.56 02a57515o0523c  1.227273
57515.475650 19.318728      NaN     2    22 c    0   1.18 278.36224 44.08657  9533.80   586.75 4.80 3.75  25.2 -0.474    19.59 21.56 02a57515o0526c  0.090909
57515.477102 19.271854      NaN    17    18 c    0   1.02 278.36224 44.08657  8624.44 10378.64 4.07 3.74  75.6 -0.420    19.58 21.54 02a57515o0529c  0.944444
57515.486649 19.454622      NaN     9    17 c    0   0.92 278.36224 44.08657  8653.79 10417.02 4.14 3.83  78.4 -0.416    19.55 21.53 02a57515o0548c  0.529412
57515.493016 19.226921      NaN    11    21 c    0   1.31 278.36224 44.08657  9479.48   513.57 4.97 3.84  23.2 -0.467    19.56 21.53 02a57515o0560c  0.523810
57515.498127 19.569016      NaN   -13    18 c    0   1.07 278.36224 44.08657  8581.98 10343.20 4.05 3.74  77.0 -0.430    19.45 21.36 02a57515o0570c -0.722222
57515.504243 19.287255      NaN    10    20 c    0   1.27 278.36224 44.08657  9463.59   633.95 4.99 3.81  22.5 -0.479    19.54 21.49 02a57515o0582c  0.500000
57515.509378 19.401649      NaN   -15    21 c    0   0.90 278.36224 44.08657  8565.00 10463.39 4.11 3.77  79.2 -0.424    19.52 21.43 02a57515o0592c -0.714286
57515.515524 17.858399      NaN   111    50 c    0   0.99 278.36224 44.08657  9491.56   574.94 4.96 3.81  24.5 -0.483    18.67 20.50 02a57515o0604c  2.220000
57515.520557 19.334813      NaN    22    15 c    0   1.40 278.36224 44.08657  8604.79 10403.88 4.13 3.73  80.0 -0.424    19.52 21.41 02a57515o0614c  1.466667
57541.459139 19.302877      NaN    18    17 c    0   1.07 278.36224 44.08657  8667.01  1876.61 4.54 3.97  26.6 -0.454    19.66 21.79 02a57541o0548c  1.058824
57541.469729 19.076453      NaN    34    17 c    0   1.08 278.36224 44.08657  8679.73  1914.46 4.62 3.90  19.8 -0.467    19.67 21.83 02a57541o0566c  2.000000
57541.478757 19.472870      NaN     8    17 c    0   0.91 278.36224 44.08657  8625.96  1837.71 4.34 3.76  24.2 -0.473    19.72 21.82 02a57541o0582c  0.470588
57541.486886 19.197966      NaN    22    18 c    0   0.86 278.36224 44.08657  8622.27  1956.15 4.21 3.71  24.5 -0.470    19.69 21.78 02a57541o0598c  1.222222
57541.500494 19.419021      NaN    11    17 c    0   0.90 278.36224 44.08657  1918.20  8636.61 4.07 3.66 -57.6 -0.429    19.66 21.77 02a57541o0625c  0.647059
57545.446752 19.038793      NaN    28    20 c    0   1.00 278.36224 44.08657  2122.43  2736.34 4.43 3.73 -24.3 -0.423    19.47 21.52 02a57545o0424c  1.400000
57545.456246 18.249822      NaN    80    34 c    0   0.90 278.36224 44.08657  2133.44  2775.15 4.52 3.78 -16.7 -0.421    18.89 20.89 02a57545o0442c  2.352941
57545.463946 19.002397      NaN    16    25 c    0   1.14 278.36224 44.08657  2078.72  2694.73 4.64 3.85 -19.0 -0.411    19.07 21.11 02a57545o0457c  0.640000
57545.471927 18.640491      NaN    43    28 c    0   1.22 278.36224 44.08657  2072.60  2809.85 4.34 3.66 -23.4 -0.434    18.94 20.90 02a57545o0473c  1.535714
57549.431127 19.454622      NaN   -19    20 c    0   1.18 278.36224 44.08657 10296.22  1122.61 4.97 3.93  36.8 -0.474    19.71 21.86 02a57549o0276c -0.950000
57549.434525 19.226921      NaN    17    19 c    0   1.04 278.36224 44.08657   800.20  1097.42 5.21 3.76 -23.9 -0.466    19.69 21.83 02a57549o0283c  0.894737
57549.441306 18.623526      NaN    57    24 c    0   0.91 278.36224 44.08657 10307.20  1161.53 5.23 4.08  34.9 -0.455    19.68 21.87 02a57549o0295c  2.375000
57549.445904 19.334813      NaN    16    17 c    0   1.28 278.36224 44.08657   818.71  1143.03 5.26 3.88 -23.7 -0.451    19.67 21.85 02a57549o0304c  0.941176
57549.471219 18.878500      NaN    42    20 c    0   1.12 278.36224 44.08657   757.28  1064.80 5.19 3.83 -23.7 -0.454    19.71 21.89 02a57549o0352c  2.100000
57549.473002 18.933071      NaN    40    19 c    0   1.05 278.36224 44.08657   315.65  9340.91 4.83 4.27 -32.6 -0.371    19.60 21.90 02a57549o0355c  2.105263
57549.479502 18.720295      NaN    58    20 c    0   1.18 278.36224 44.08657 10274.07  1144.47 5.06 4.05  33.1 -0.443    19.68 21.89 02a57549o0368c  2.900000
57549.480469 19.609992 0.354952    52    17 c    0   1.33 278.36224 44.08657   752.87  1170.11 5.13 3.87 -26.4 -0.455    19.69 21.87 02a57549o0370c  3.058824
57549.490188 18.978793      NaN    42    17 c    0   1.24 278.36224 44.08657   788.99  1114.68 5.07 3.84 -24.3 -0.459    19.71 21.88 02a57549o0390c  2.470588
57581.388712 18.693037      NaN    49    24 c    0   1.06 278.36224 44.08657  1626.47  6629.56 4.22 3.70 -53.8 -0.455    19.00 20.66 02a57581o0283c  2.041667
57581.409990 19.271854      NaN    20    17 c    0   1.49 278.36224 44.08657  1607.82  6594.06 4.13 3.59 -55.1 -0.464    19.34 21.15 02a57581o0326c  1.176471
57581.422159 19.241693      NaN    19    18 c    0   0.87 278.36224 44.08657  1663.23  6668.70 4.31 3.70 -56.0 -0.446    19.41 21.35 02a57581o0350c  1.055556
57581.425057 19.128787      NaN    30    17 c    0   1.50 278.36224 44.08657  1677.99  6551.08 4.19 3.65 -54.0 -0.454    19.44 21.39 02a57581o0356c  1.764706
57581.439971 19.089302      NaN    36    16 c    0   1.15 278.36224 44.08657  1630.91  6611.94 4.04 3.50 -56.8 -0.459    19.64 21.73 02a57581o0385c  2.250000
57605.365915 19.529530      NaN    11    15 c    0   0.97 278.36224 44.08657  1884.62  6687.84 3.95 3.66 -57.2 -0.419    19.70 21.86 02a57605o0255c  0.733333
57605.377310 19.549093      NaN    10    15 c    0   1.16 278.36224 44.08657  1869.18  6647.44 4.12 3.68 -65.0 -0.418    19.69 21.87 02a57605o0277c  0.666667
57605.379838 19.241693      NaN    22    17 c    0   1.17 278.36224 44.08657  1924.27  6723.14 4.62 4.32 -55.8 -0.388    19.55 21.87 02a57605o0282c  1.294118
57605.394296 19.183773      NaN    26    17 c    0   0.85 278.36224 44.08657  1940.14  6608.62 4.27 3.88 -62.1 -0.395    19.60 21.82 02a57605o0310c  1.529412
57605.414442 19.436675      NaN    16    15 c    0   1.08 278.36224 44.08657  1900.32  6668.86 4.21 3.79 -66.8 -0.405    19.64 21.85 02a57605o0349c  1.066667
57609.375342 19.696897      NaN    -6    16 c    0   1.03 278.36224 44.08657  8618.33  9783.74 4.57 3.85  87.5 -0.424    19.72 21.90 02a57609o0269c -0.375000
57609.376793 18.826541      NaN    41    22 c    0   2.10 278.36224 44.08657 10125.21    70.23 5.55 3.89  33.4 -0.429    19.73 21.92 02a57609o0272c  1.863636
57609.383184 18.978793      NaN    42    17 c    0   1.33 278.36224 44.08657  8604.61  9743.77 4.58 3.84  88.9 -0.424    19.64 21.82 02a57609o0285c  2.470588
57609.401442 18.481707      NaN    60    29 c    0   1.29 278.36224 44.08657  8662.44  9824.62 4.49 3.81  87.2 -0.435    19.05 21.07 02a57609o0322c  2.068966
57609.403379 18.131260      NaN    89    38 c    0   1.65 278.36224 44.08657 10169.25   110.32 5.39 3.83  34.9 -0.436    19.04 21.04 02a57609o0326c  2.342105
57609.410702 19.014394      NaN   -14    30 c    0   0.83 278.36224 44.08657  8675.00  9705.98 4.54 3.78  88.4 -0.429    19.33 21.39 02a57609o0341c -0.466667
57609.417621 19.351140      NaN     3    21 c    0   1.05 278.36224 44.08657  8634.02  9765.54 4.52 3.78  87.5 -0.430    19.49 21.58 02a57609o0355c  0.142857
57609.418103 16.604924      NaN   -38   276 c    0   0.06 278.36224 44.08657 10142.28    50.33 5.31 3.83  32.0 -0.444    19.48 21.58 02a57609o0356c -0.137681
57625.339261 18.857417      NaN    47    19 c    0   8.20 278.36224 44.08657  2412.21  9455.04 4.10 3.80 -44.6 -0.447    19.70 21.84 02a57625o0153c  2.473684
57625.341509 19.026525      NaN    32    19 c    0   1.04 278.36224 44.08657  2383.86  9415.98 4.09 3.80 -46.2 -0.447    19.71 21.84 02a57625o0157c  1.684211
57625.357435 19.115465      NaN    28    18 c    0   0.96 278.36224 44.08657  2439.63  9490.17 4.18 3.84 -41.6 -0.440    19.72 21.90 02a57625o0185c  1.555556
57625.369407 18.878500      NaN    42    20 c    0   0.75 278.36224 44.08657  2468.92  9371.44 4.40 3.96 -46.3 -0.427    19.67 21.91 02a57625o0206c  2.100000
57625.392729 19.384550 0.305363    64    18 c    0   1.08 278.36224 44.08657  2426.92  9427.55 4.08 3.76 -41.9 -0.441    19.70 21.84 02a57625o0247c  3.555556
57660.276832 19.256669      NaN    18    18 c    0   1.19 278.36224 44.08657  8552.72  9626.55 3.91 3.67 -87.3 -0.431    19.49 21.43 02a57660o0131c  1.000000
57660.280370 19.454622      NaN     9    17 c    0   1.17 278.36224 44.08657  8538.40  9586.12 3.89 3.68 -89.1 -0.438    19.49 21.42 02a57660o0138c  0.529412
57660.292046 19.419021      NaN    11    17 c    0   1.28 278.36224 44.08657  8593.84  9666.31 3.87 3.59 -81.6 -0.413    19.48 21.38 02a57660o0161c  0.647059
57660.303591 19.155932      NaN    25    18 c    0   1.18 278.36224 44.08657  8607.06  9549.19 3.97 3.69 -88.2 -0.415    19.46 21.37 02a57660o0184c  1.388889
57660.324290 18.967180      NaN    37    19 c    0   1.19 278.36224 44.08657  8566.93  9603.42 4.10 3.89  83.4 -0.415    19.34 21.27 02a57660o0225c  1.947368
57668.244528 19.367717      NaN    11    18 c    0   1.37 278.36224 44.08657  1147.15  7290.23 3.95 3.69  50.3 -0.424    19.26 20.94 02a57668o0080c  0.611111
