,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58852.56408,-24.434,36.0,-1,22,o,0,1.03,208.59412,-5.35705,782.58,7703.34,4.06,3.69,75.6,-0.335,18.79,20.39,01a58852o0782o
1,58852.567424,-21.678,2.773,-8,22,o,0,1.22,208.59412,-5.35705,764.36,7665.19,4.41,4.0,81.9,-0.302,18.73,20.4,01a58852o0789o
2,58852.574736,23.778,19.0,1,21,o,0,0.91,208.59412,-5.35705,824.05,7744.46,3.9,3.49,-88.8,-0.343,18.86,20.45,01a58852o0804o
3,58852.586069,-20.795,1.11,-18,19,o,0,0.97,208.59412,-5.35705,846.21,7630.3,3.7,3.16,88.0,-0.367,19.02,20.5,01a58852o0828o
4,58852.671342,22.084,10.8,5,58,o,0,1.22,208.59412,-5.35705,815.17,7701.23,4.79,4.16,5.7,-0.246,17.63,18.3,01a58852o0967o
5,58866.581683,-22.226,3.438,-5,16,o,0,1.4,208.59412,-5.35705,7637.84,9544.07,2.57,2.39,-55.3,-0.419,19.12,19.93,02a58866o0603o
6,58866.585242,22.887,7.437,2,19,o,0,1.04,208.59412,-5.35705,7666.88,9580.7,2.72,2.51,-43.2,-0.403,19.09,19.94,02a58866o0610o
7,58866.592064,22.211,3.829,5,18,o,0,1.19,208.59412,-5.35705,7603.45,9504.57,2.52,2.27,-57.0,-0.425,19.19,19.96,02a58866o0624o
8,58866.601976,-20.488,0.842,-23,20,o,0,0.95,208.59412,-5.35705,7593.04,9615.49,2.66,2.16,-53.1,-0.427,19.23,20.01,02a58866o0645o
9,58866.674464,20.654,1.194,20,24,o,0,1.42,208.59412,-5.35705,7633.78,9564.21,2.57,2.15,-55.7,-0.429,18.84,19.22,02a58866o0790o
10,58868.581389,21.89,1.697,6,11,o,0,1.26,208.59412,-5.35705,8698.79,9267.65,2.55,1.82,-84.4,-0.383,19.52,20.76,01a58868o0805o
11,58868.584613,-20.708,0.565,-19,11,o,0,1.1,208.59412,-5.35705,8680.15,9229.83,2.62,1.9,-83.7,-0.374,19.48,20.76,01a58868o0812o
12,58868.591229,-20.91,0.601,-16,9,o,0,1.77,208.59412,-5.35705,8738.23,9307.03,2.64,1.83,-84.8,-0.378,19.49,20.77,01a58868o0826o
13,58868.601511,22.152,2.171,5,11,o,0,1.27,208.59412,-5.35705,8759.18,9190.41,2.93,2.07,-83.9,-0.359,19.4,20.85,01a58868o0848o
14,58872.621923,-21.051,0.814,-14,11,o,0,1.23,208.59412,-5.35705,3053.94,2974.62,2.88,2.71,35.4,-0.384,19.41,21.22,01a58872o0894o
