# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58295.61,-26.83,24.51,o,6
58298.59,-4.75,10.02,o,4
58323.59,-27.00,71.46,o,3
58325.15,-12.86,34.08,o,7
58327.61,-3.00,16.56,o,3
58329.03,-2.67,91.38,o,6
58330.60,-42.67,25.18,o,3
58336.63,112.00,76.00,o,1
58340.63,86.00,78.00,o,1
58344.62,16.50,28.65,o,2
58349.11,34.38,4.46,o,8
58351.10,44.75,5.09,o,8
58360.59,73.25,14.42,o,4
58362.57,36.00,13.00,o,1
58364.58,60.00,7.14,o,4
58370.57,70.00,6.01,o,4
58372.56,83.00,7.41,o,4
58377.04,84.62,4.58,o,8
58379.03,81.50,8.03,o,8
58381.02,88.25,5.12,o,8
58382.82,131.93,26.38,o,14
58384.42,140.00,92.00,o,1
58390.51,101.25,8.61,o,4
58392.52,94.50,7.75,o,4
58394.50,112.75,6.88,o,4
58396.50,90.00,21.12,o,5
58402.49,64.00,6.36,c,2
58403.46,102.00,15.00,o,1
58405.47,68.00,4.88,c,4
58406.47,100.75,5.89,o,4
58409.45,82.00,12.65,o,8
58410.44,108.00,49.21,o,2
58417.44,84.67,11.94,o,3
58423.44,83.25,8.39,o,4
58424.44,99.50,8.88,o,4
58427.42,90.50,9.15,o,4
58428.43,86.25,8.27,o,4
58429.42,58.00,5.40,c,3
58430.44,63.50,4.64,c,4
58431.41,77.00,7.40,o,4
58432.42,87.00,7.89,o,4
58433.41,55.50,42.18,c,4
58434.42,63.75,4.88,c,4
58435.38,84.50,7.77,o,4
58436.89,87.17,23.29,o,6
58438.38,233.00,181.47,o,2
58443.38,123.00,17.17,o,4
58447.38,99.00,10.33,o,4
58449.04,75.17,7.30,o,6
58450.87,79.88,4.63,o,8
58452.56,69.80,6.02,o,5
58454.37,55.25,6.26,c,4
58458.35,56.50,3.91,c,6
58460.33,78.75,7.80,o,4
58462.34,59.00,5.26,c,4
58464.32,66.50,8.28,o,4
58468.29,68.25,12.30,o,4
58470.32,80.00,221.08,o,3
58472.31,53.00,12.74,o,8
58474.97,93.08,8.87,o,12
58476.30,56.67,15.80,o,3
58478.31,68.12,5.70,o,8
58480.30,76.25,5.36,o,8
58486.31,32.00,5.38,c,4
58488.28,63.50,8.51,o,4
58490.29,36.50,5.41,c,4
58492.29,78.75,5.93,o,8
58494.26,48.75,6.27,c,4
58498.28,50.75,7.32,o,8
58500.27,61.00,14.14,o,4
58503.22,83.25,21.53,o,4
58506.26,65.25,7.76,o,4
58508.26,46.67,7.29,o,6
58510.27,54.00,16.45,o,4
58512.26,55.75,13.66,o,4
58516.26,100.00,30.00,o,1
58518.24,42.62,5.01,c,8
58528.24,38.00,34.00,o,1
58644.60,34.00,39.28,o,4
58646.84,40.50,37.70,o,4
58652.57,36.00,19.40,o,4
58654.57,88.60,34.46,o,5
58656.61,82.33,28.97,o,3
58660.54,35.25,12.98,o,4
58666.59,19.75,4.51,c,4
58668.56,18.25,8.13,o,4
58670.60,21.00,7.16,o,4
58676.50,35.25,10.23,o,4
58678.98,30.71,7.67,o,7
58680.57,38.12,10.27,o,8
58682.56,29.00,35.66,o,5
58684.54,21.11,17.33,o,9
58688.58,30.60,10.84,o,5
58690.52,22.00,5.67,o,4
58692.45,31.00,8.28,o,4
58694.46,20.00,4.88,c,4
58696.52,14.00,8.46,o,4
58700.48,35.00,6.75,o,4
58702.48,0.00,4.15,c,4
58704.52,15.40,28.79,o,5
58708.45,33.25,12.02,o,4
58718.52,36.40,14.87,o,5
58724.56,21.25,4.64,o,4
58726.52,12.00,4.26,c,4
58730.47,13.50,4.13,c,4
58734.96,27.14,10.81,o,7
58736.90,10.50,12.69,o,8
58738.43,49.57,66.45,o,7
58750.56,2.00,6.16,c,3
58752.47,16.50,3.30,o,8
58756.42,26.62,4.03,o,8
58760.49,22.50,22.98,o,2
58762.87,30.25,4.57,o,8
58764.91,13.88,4.86,o,8
58772.45,28.67,9.06,o,3
58774.91,18.38,9.46,o,8
58778.41,15.25,4.87,c,4
58779.39,15.25,4.39,o,4
58780.44,21.50,4.00,o,4
58782.40,2.00,131.00,c,1
58784.38,15.00,4.78,o,4
58787.40,28.75,4.76,o,4
58788.38,16.00,97.17,o,3
58790.29,26.33,7.06,o,6
58792.39,26.75,6.68,o,4
58799.38,21.00,12.91,o,4
58800.43,6.75,11.39,o,4
58802.40,30.00,10.23,o,3
58808.37,34.75,5.13,o,4
58812.31,15.33,5.59,o,3
58814.32,2.33,5.86,c,3
58816.34,23.50,5.14,o,4
58817.30,-0.50,3.65,c,4
58820.29,-81.00,109.00,o,1
58822.28,53.50,19.83,o,2
58826.84,21.12,7.42,o,8
58828.30,44.00,11.19,o,3
58830.29,24.25,9.51,o,4
58832.33,11.88,12.11,o,8
58836.29,12.25,4.31,o,8
58844.26,16.75,5.14,o,4
58846.27,-0.67,5.01,c,3
58852.26,1.75,7.64,o,4
58854.26,-21.00,10.47,o,3
58866.30,-1.00,7.43,c,2
58868.23,7.00,5.88,o,4
58870.21,-5.00,16.00,c,1
