# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58443.65,66.50,12.97,o,2
58445.58,75.00,95.00,o,1
58449.64,77.00,21.22,o,4
58451.66,76.00,27.00,o,1
58453.64,52.75,8.08,o,4
58455.63,60.25,4.50,c,4
58459.60,65.75,3.52,c,8
58461.57,63.00,6.01,o,4
58465.58,61.50,6.00,o,4
58473.57,61.67,15.27,o,3
58474.54,27.80,19.62,o,5
58479.54,34.00,8.96,o,4
58481.57,43.00,123.00,o,1
58483.55,47.67,5.61,o,3
58485.54,38.50,5.51,o,4
58487.56,42.50,4.39,c,4
58489.54,32.25,6.15,o,4
58491.55,31.75,4.51,c,4
58493.52,25.71,6.35,o,7
58495.52,12.25,5.26,o,4
58497.51,32.75,6.13,o,4
58499.48,17.00,5.95,o,4
58501.46,27.25,11.01,o,4
58503.44,39.75,13.01,o,4
58507.50,25.25,9.14,o,4
58517.48,19.33,6.74,o,3
58519.49,23.00,5.01,c,4
58523.49,19.00,4.64,c,4
58537.44,11.33,8.28,o,3
58541.44,0.00,5.63,o,4
58545.43,20.50,7.13,o,4
58549.46,18.00,13.00,o,1
58557.39,19.67,8.71,o,3
58565.39,28.50,9.40,o,4
58567.40,14.33,11.99,o,3
58569.38,36.25,6.40,o,4
58571.38,8.00,4.76,o,4
58573.38,33.75,6.02,o,4
58575.39,24.00,3.92,c,7
58577.37,31.12,5.53,o,8
58579.39,6.75,5.04,c,4
58581.36,19.14,5.98,o,7
58583.36,29.50,6.26,c,4
58585.36,23.00,18.00,o,1
58587.33,-6.00,21.56,o,3
58589.36,41.33,25.07,o,3
58591.38,30.75,13.46,o,4
58593.37,12.50,11.32,o,6
58595.33,-0.50,8.08,o,4
58597.33,9.50,6.15,o,4
58599.33,4.50,6.64,o,4
58603.35,5.50,5.64,c,4
58605.33,27.75,6.64,o,4
58607.35,0.75,5.01,c,4
58609.32,18.75,5.50,o,8
58611.32,14.75,4.38,c,4
58613.31,19.33,9.25,o,3
58615.31,23.50,7.15,o,4
58617.32,13.50,13.00,o,4
58619.31,12.25,7.93,o,4
58625.29,-15.75,7.01,o,4
58627.28,-6.50,5.91,o,4
58629.25,4.50,8.20,o,4
58631.25,-6.67,36.53,o,3
58633.28,-9.67,11.16,o,3
58635.27,4.50,5.01,c,4
58641.26,7.33,10.84,o,3
58643.27,3.33,9.27,o,3
58659.26,18.67,13.45,o,3
58765.63,9.00,7.38,o,3
58773.62,-2.75,7.65,o,4
58775.58,-45.50,98.33,o,2
58777.64,19.00,13.44,o,2
58781.65,14.33,8.36,o,3
58785.63,4.75,6.83,o,4
58789.63,1.20,14.10,o,5
58791.64,-10.50,7.52,c,4
58795.64,-1.00,5.46,c,4
58797.60,-1.75,7.40,o,4
58799.62,-0.75,10.51,o,4
58801.62,0.00,8.86,o,3
58813.62,6.25,4.18,o,4
58815.60,12.67,11.66,c,3
58821.60,10.00,4.92,o,4
58825.56,10.25,4.70,o,4
58827.56,-1.50,7.51,o,4
58829.53,14.00,11.02,o,4
58830.44,-13.50,28.31,o,2
58837.65,1.00,5.28,o,4
58845.51,12.75,4.13,o,4
58849.62,11.50,5.39,o,4
58867.55,-1.00,5.13,o,4
58869.52,-0.75,4.13,o,4
58871.47,7.33,4.62,c,3
58873.50,9.00,5.38,o,4
58875.52,4.33,4.24,c,3
58877.53,-2.00,4.38,o,4
58879.40,7.00,8.46,c,3
58881.52,9.50,5.26,o,4
58883.51,-56.00,20.62,o,2
58884.91,-5.12,6.47,o,8
58901.44,-6.00,5.27,o,4
58903.52,1.75,4.26,c,4
58905.48,-2.75,4.42,o,4
58911.44,-11.00,6.81,o,4
58913.36,0.75,6.91,o,4
58919.42,1.75,8.88,o,4
58925.46,-36.33,34.76,o,3
58931.44,0.00,4.64,c,4
58933.36,-0.75,4.39,o,4
58937.41,-2.50,32.65,o,2
58941.26,-5.00,9.65,o,3
58945.44,-18.00,90.00,o,1
58947.44,-9.00,14.92,o,4
58948.34,-6.75,9.79,o,4
58953.39,11.50,4.89,o,4
