# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59676.48,-8.50,5.38,c,4
59679.16,3.00,7.50,o,4
59680.48,3.00,24.05,c,4
59682.56,9.20,13.17,o,5
59688.44,13.33,16.94,o,3
59690.82,5.50,5.52,o,8
59692.45,-3.50,7.12,c,4
59694.81,4.25,4.47,o,8
59696.47,10.25,5.95,c,4
59698.85,-22.57,24.03,o,7
59700.40,2.75,6.33,c,4
59700.91,6.00,5.00,o,4
59703.21,6.25,7.60,o,4
59710.33,-10.25,13.16,o,4
59716.41,-8.00,11.55,o,4
59719.18,5.25,8.14,o,4
59720.40,-1.67,5.59,c,3
59722.36,3.33,8.31,o,3
59724.34,-1.00,4.76,c,4
59724.87,0.33,5.59,o,3
59726.65,-5.20,8.23,o,5
59728.90,4.75,6.04,o,4
59730.35,5.50,8.44,o,4
59732.35,-5.00,5.40,c,3
59734.34,3.67,7.90,o,3
59736.58,-3.25,4.53,o,8
59738.30,-2.50,12.58,o,4
59742.74,22.62,11.37,o,8
59744.35,13.50,13.15,o,4
59746.71,27.88,15.07,o,8
59750.65,-14.43,29.07,o,7
59754.61,-5.57,11.05,o,7
59756.28,-6.50,5.39,c,4
59758.30,0.00,12.00,o,1
59760.27,-2.33,7.95,c,3
59764.77,4.33,7.32,o,3
59766.27,0.25,17.51,o,4
59770.28,62.00,11.40,o,4
59772.56,87.00,9.48,o,8
59774.28,88.25,12.56,o,4
59776.51,124.38,4.65,o,8
59778.31,125.75,8.64,o,4
59780.26,141.25,7.60,c,4
59783.00,141.00,8.02,o,4
59786.98,176.00,9.98,o,4
59788.72,174.25,5.45,c,4
59790.98,179.25,7.43,c,4
59792.72,180.33,11.28,c,3
59796.75,165.00,17.42,o,4
59798.99,201.00,33.00,o,1
59800.72,137.25,13.21,o,4
59802.57,140.86,60.51,o,7
59804.38,182.00,18.76,o,4
59807.01,178.00,11.04,o,4
59928.64,16.75,11.54,o,4
59945.08,27.67,10.14,o,3
59947.33,23.33,7.52,o,3
59953.10,5.75,16.11,o,4
59955.27,-7.75,17.68,o,4
59956.65,23.00,18.00,o,1
59963.35,11.67,7.52,o,3
59964.62,14.25,6.53,o,4
59968.61,-2.00,11.00,o,1
59977.03,8.00,7.15,o,4
59979.35,-12.00,12.08,o,3
59983.33,-7.67,22.51,o,3
59989.08,1.75,6.90,o,4
59990.33,24.25,6.79,o,4
59994.34,-7.75,5.13,c,4
59997.06,16.33,6.37,o,3
59998.38,-2.00,6.05,c,4
60000.59,-4.25,5.15,c,4
60002.30,-3.00,4.89,c,4
60004.66,9.44,5.17,o,9
60006.20,17.75,10.19,o,4
60009.22,1.00,18.70,o,3
60010.19,10.00,40.00,o,1
60017.01,11.50,7.04,o,4
60018.32,-3.75,8.03,o,4
60020.79,12.75,7.39,o,8
60022.25,5.50,5.76,o,4
60024.53,-3.75,4.88,o,4
60024.99,-3.25,4.64,c,4
60026.23,8.25,6.25,o,4
60028.54,11.25,6.93,o,4
60030.22,9.50,5.63,o,4
60032.54,-3.50,4.36,c,8
60034.65,4.00,6.14,o,5
60036.26,-2.25,8.15,o,4
60043.99,-2.75,9.63,o,4
60045.24,13.75,7.51,o,4
60049.10,3.25,4.17,o,8
60051.23,3.25,5.66,c,4
60052.95,19.67,9.46,o,3
60054.22,-8.50,4.76,c,4
60057.20,-8.25,5.13,c,4
60063.14,9.25,8.88,o,4
60064.86,10.75,9.40,o,4
60070.94,-30.75,14.34,o,4
60073.04,9.00,6.62,o,8
60075.14,30.75,9.67,o,4
60078.27,28.25,10.53,o,4
60082.89,-5.50,4.88,c,4
60084.13,18.00,40.14,o,2
60088.87,-9.50,4.88,c,4
60091.85,-5.25,7.52,o,4
60100.85,-38.00,26.00,o,1
60105.13,-2.00,10.00,c,1
60108.09,-8.00,12.00,c,1
60111.07,-9.25,5.41,c,4
60118.81,9.33,9.25,o,3
60126.65,-7.67,15.98,o,6
60129.07,6.67,17.72,o,3
60130.80,-6.67,12.73,o,3
60132.07,-2.00,68.00,o,1
60136.74,-12.50,4.50,c,4
60138.11,12.33,15.78,o,3
60141.00,10.50,5.88,o,4
60142.76,-9.50,5.04,c,4
60145.75,-8.50,7.78,c,2
60153.01,15.00,14.86,o,4
60156.00,-65.00,23.00,o,1
60157.01,12.86,10.28,o,7
60160.74,12.00,6.51,o,4
60161.98,-14.50,6.30,c,4
60163.72,-12.00,11.86,o,4
60168.97,4.67,10.90,c,3
