,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,59146.540218,-24.608,19.0,0,10,c,0,0.84,66.66112,-11.89603,2822.5,5011.11,2.54,2.3,37.8,-0.403,19.7,21.55,02a59146o0710c
1,59146.543502,23.856,7.0,1,7,c,0,1.37,66.66112,-11.89603,2802.86,4972.12,2.57,2.28,39.0,-0.402,19.7,21.54,02a59146o0717c
2,59146.54994,0.0,21.489,0,9,c,0,0.97,66.66112,-11.89603,2861.15,5049.9,2.6,2.29,39.7,-0.397,19.7,21.53,02a59146o0731c
3,59146.565198,21.252,0.713,12,8,c,0,1.15,66.66112,-11.89603,2884.65,4937.59,2.57,2.3,46.2,-0.401,19.69,21.57,02a59146o0764c
4,59147.468187,26.47,126.0,0,12,o,0,1.3,66.66112,-11.89603,1149.53,726.94,2.13,1.95,18.8,-0.452,19.51,20.56,01a59147o0377o
5,59147.470032,21.552,1.02,9,9,o,0,1.74,66.66112,-11.89603,1129.65,687.01,1.98,1.87,42.5,-0.467,19.62,20.59,01a59147o0381o
6,59147.472799,21.863,1.642,6,11,o,0,1.6,66.66112,-11.89603,1188.2,766.94,2.17,2.0,21.1,-0.452,19.51,20.58,01a59147o0387o
7,59147.477864,-23.922,12.083,-1,12,o,0,1.03,66.66112,-11.89603,1208.37,650.64,1.95,1.84,33.9,-0.459,19.66,20.63,01a59147o0398o
8,59148.458212,-20.32,1.798,-27,49,o,0,1.49,66.66112,-11.89603,1143.4,728.15,2.09,1.98,37.5,-0.464,17.85,18.09,01a59148o0582o
9,59148.460056,21.337,5.885,11,62,o,0,0.98,66.66112,-11.89603,1123.35,688.17,2.02,1.88,24.8,-0.455,17.76,17.86,01a59148o0586o
10,59148.46282,-19.849,2.594,-42,108,o,0,1.01,66.66112,-11.89603,1181.82,768.47,2.0,1.84,14.1,-0.456,17.23,17.24,01a59148o0592o
11,59148.467881,-20.098,1.238,-33,41,o,0,1.53,66.66112,-11.89603,1201.56,650.7,1.97,1.9,34.7,-0.463,17.91,18.04,01a59148o0603o
12,59150.590987,21.065,1.268,14,17,o,0,1.46,66.66112,-11.89603,2812.97,5011.92,2.49,1.98,42.0,-0.423,18.9,20.02,02a59150o0023o
13,59150.596111,17.967,1.026,236,242,o,0,1.09,66.66112,-11.89603,2793.17,4973.8,2.46,2.08,43.5,-0.42,16.0,17.13,02a59150o0034o
14,59150.59932,-21.704,83.0,-8,627,o,0,1.63,66.66112,-11.89603,2851.35,5052.04,2.37,2.01,44.5,-0.425,15.02,16.17,02a59150o0041o
