Nested Sampling Global Log-Evidence           :   -0.149306813925117299E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.575662148335389534E+00  +/-    0.545067359594415823E-01

Dim No.       Mean        Sigma
   1    0.967707620443339911E-01    0.879718050773772679E-02
   2   -0.262198805774690875E+02    0.835575341195154531E+00
   3    0.895389908186836614E+00    0.499873760731477587E-01
   4    0.167933635342422738E+01    0.126029822704327998E+00
   5    0.954607141044750904E-02    0.560655731022257340E-03
   6    0.161749041056436593E+01    0.574287991662445416E-01
   7   -0.180171052934573406E+01    0.161646838327203668E+00
   8   -0.166517484207609617E-01    0.825032615430603133E-01
   9   -0.371799202840073528E+01    0.305200823879902305E+01
  10   -0.234989318032229472E+00    0.130268951832663710E+00
  11   -0.584442147531098466E-01    0.547936283721299489E-01
  12   -0.307840703599652155E+00    0.177754892443710372E+00
  13   -0.990870530895160417E-01    0.121158921060772737E+00
  14   -0.109994603591578688E+01    0.272685690077963845E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.984129363214467368E-01
   2   -0.258490216892557427E+02
   3    0.882075484314749803E+00
   4    0.163539294338236374E+01
   5    0.918327256533466724E-02
   6    0.155784289369756035E+01
   7   -0.190801503205666623E+01
   8   -0.103641823426075079E-01
   9   -0.555100794807904308E+01
  10   -0.209705869230170094E-01
  11   -0.132318186110676167E+00
  12   -0.434340004955389936E+00
  13    0.118298670197584110E-01
  14   -0.109429661809524448E+01

MAP Parameters
Dim No.        Parameter
   1    0.830421615624462178E-01
   2   -0.266210133924302426E+02
   3    0.961483866519951547E+00
   4    0.145399041593006650E+01
   5    0.944915430162410197E-02
   6    0.163412756425233074E+01
   7   -0.176742687117132036E+01
   8    0.479043716751762078E-01
   9    0.608132483054841355E+00
  10   -0.299388843783392422E+00
  11   -0.131230763427032715E+00
  12   -0.336057718164271602E+00
  13    0.984365242209525870E-01
  14   -0.104918072268071461E+01
