Nested Sampling Global Log-Evidence           :   -0.305675270353927697E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.367351156734120421E+01  +/-    0.864604064885107215E-01

Dim No.       Mean        Sigma
   1    0.119362050815007309E+00    0.293004545384693733E-01
   2   -0.102418095313284407E+02    0.591854140923234517E+00
   3    0.402761374006977424E+00    0.665659868110811404E-01
   4    0.835432109648440169E+00    0.422910086618544998E-01
   5    0.791706240057281178E-02    0.120663510211533958E-02
   6    0.840599268083520923E+00    0.462361989224767816E-01
   7   -0.163681194961775911E+01    0.295451834151566117E+00
   8   -0.150806141269526933E+00    0.818364413435658661E-01
   9   -0.410109164188403064E+01    0.191895311318597250E+01
  10   -0.531676984694351706E-01    0.626655798612175408E-01
  11   -0.178667222480643956E+00    0.847937321560179452E-01
  12   -0.205027531306753164E+00    0.127819111914390465E+00
  13   -0.354835836974099039E+00    0.369943031625966576E-01
  14   -0.105313959264244028E+01    0.863275654926207170E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.137827240858974326E+00
   2   -0.116320335013013736E+02
   3    0.260152480557256038E+00
   4    0.890845536901642254E+00
   5    0.748746842594705947E-02
   6    0.791602935366253924E+00
   7   -0.170159690133627506E+01
   8   -0.271702414835322981E+00
   9   -0.180214061045798157E+01
  10   -0.125233076497549833E+00
  11   -0.283760417206010751E+00
  12   -0.196431296122963894E+00
  13   -0.375267224306726321E+00
  14   -0.104610779138395071E+01

MAP Parameters
Dim No.        Parameter
   1    0.120449454149948093E+00
   2   -0.970668945261448712E+01
   3    0.309406933958183084E+00
   4    0.840576893129904468E+00
   5    0.761309050032349475E-02
   6    0.919311832556898745E+00
   7   -0.160834761299675844E+01
   8   -0.178420629702733147E+00
   9   -0.417695335067417339E+01
  10   -0.638640284605131725E-01
  11   -0.274832890101418648E+00
  12   -0.369840169025992371E+00
  13   -0.423632164508844333E+00
  14   -0.106387158511201751E+01
