Nested Sampling Global Log-Evidence           :   -0.127093014313811832E+02  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.127214941478610211E+02  +/-    0.444908949573528164E-02

Dim No.       Mean        Sigma
   1    0.202239411933483659E+00    0.425251282230055812E-03
   2   -0.411191577588136781E+02    0.138063706281432830E+00
   3    0.131477617982245620E+01    0.257727146173590766E-02
   4    0.112147957773017337E+01    0.681941325620611088E-02
   5    0.149985932042561131E-01    0.579095007369030703E-04
   6    0.198464576788745339E+01    0.180706795164155146E-02
   7   -0.183913113095743230E+01    0.568173298104166571E-01
   8   -0.221185681407848056E+00    0.166345736773565412E-02
   9   -0.433448019361686310E+01    0.163164732612532143E+00
  10   -0.264389961387371253E-01    0.794208957305857222E-02
  11   -0.585790970815048551E-01    0.288056579802115319E-01
  12   -0.275960788335226637E+00    0.144408838621974331E-01
  13   -0.331873734577298629E+00    0.326101448193902906E-02
  14   -0.106815238625028375E+01    0.113349362774980457E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.201863187694310969E+00
   2   -0.412457715430964242E+02
   3    0.131235969702794097E+01
   4    0.113096095894754600E+01
   5    0.149252702046444828E-01
   6    0.198875977448310359E+01
   7   -0.181123613402737837E+01
   8   -0.221465442685512354E+00
   9   -0.436624099089769757E+01
  10   -0.316207666106897781E-01
  11   -0.121548137477735074E+00
  12   -0.305338677640994649E+00
  13   -0.331026809448461690E+00
  14   -0.106581485190988734E+01

MAP Parameters
Dim No.        Parameter
   1    0.201807761857010437E+00
   2   -0.412230015609358631E+02
   3    0.131588708522468756E+01
   4    0.112361732004520554E+01
   5    0.151011923118310257E-01
   6    0.198318163256213831E+01
   7   -0.180117294730837085E+01
   8   -0.220622861978439999E+00
   9   -0.438393387062854245E+01
  10   -0.128215154267345439E-01
  11   -0.497957107287140752E-01
  12   -0.258661698591183709E+00
  13   -0.330176280306977432E+00
  14   -0.107978602479589569E+01
