Nested Sampling Global Log-Evidence           :   -0.136840298330567993E+02  +/-    0.274341346641273964E+00
Nested Importance Sampling Global Log-Evidence:   -0.179505507836900797E+02  +/-    0.435185062324827746E-01

Dim No.       Mean        Sigma
   1    0.715148085998081606E-01    0.313822245609911149E-01
   2   -0.155278392781901697E+02    0.131482238551137565E+01
   3    0.532987586397223434E+00    0.146306836874178225E+00
   4    0.145220582092248307E+01    0.367344947008057199E+00
   5    0.983558273014994988E-02    0.321657362925344007E-02
   6    0.147648251685546650E+01    0.255317914433869364E+00
   7   -0.180848550090775362E+01    0.422762846353224919E+00
   8   -0.757492341645113754E-01    0.688518281270329296E-01
   9   -0.100640706718414719E+01    0.293344527848968450E+01
  10   -0.170024063522658420E+00    0.147781793003908812E+00
  11   -0.659725833161587949E-01    0.132697470341567952E+00
  12   -0.245142681468841023E+00    0.239442342911463713E+00
  13   -0.191999990689867173E+00    0.193328232028768976E+00
  14   -0.105817420630102399E+01    0.546288445640557702E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.467675188260511104E-01
   2   -0.157048112233005028E+02
   3    0.511931052028058220E+00
   4    0.125304021807346144E+01
   5    0.658735264658391780E-02
   6    0.160225096336986206E+01
   7   -0.141760995841539827E+01
   8   -0.762347877065878143E-01
   9   -0.435257741523542752E+01
  10   -0.294031155832585767E+00
  11   -0.942242739956488523E-02
  12   -0.120018001673043204E+00
  13   -0.686975629108450697E-01
  14   -0.105161520878684689E+01

MAP Parameters
Dim No.        Parameter
   1    0.467675188260511104E-01
   2   -0.157048112233005028E+02
   3    0.511931052028058220E+00
   4    0.125304021807346144E+01
   5    0.658735264658391780E-02
   6    0.160225096336986206E+01
   7   -0.141760995841539827E+01
   8   -0.762347877065878143E-01
   9   -0.435257741523542752E+01
  10   -0.294031155832585767E+00
  11   -0.942242739956488523E-02
  12   -0.120018001673043204E+00
  13   -0.686975629108450697E-01
  14   -0.105161520878684689E+01
