Nested Sampling Global Log-Evidence           :   -0.106520037250769377E+02  +/-    0.301243582121167808E+00
Nested Importance Sampling Global Log-Evidence:   -0.149667696476341519E+02  +/-    0.931311061925355343E-01

Dim No.       Mean        Sigma
   1    0.970940331436511150E-01    0.375847822991863534E-01
   2   -0.259610314711615473E+02    0.421442736035211940E+01
   3    0.995456805502013542E+00    0.162481102340810701E+00
   4    0.123294322479765150E+01    0.309043195442426866E+00
   5    0.901602281956511917E-02    0.329966294939621060E-02
   6    0.182877730409471728E+01    0.120045048283184103E+00
   7   -0.167631784358071734E+01    0.412076213058928997E+00
   8   -0.621868849509060809E-01    0.704047546559192078E-01
   9   -0.348971222425299477E+01    0.300466982836497332E+01
  10   -0.129740971442942499E+00    0.140276135045714095E+00
  11   -0.396417830395127749E-01    0.146726561228057467E+00
  12   -0.231228718418791834E+00    0.223023445004528559E+00
  13   -0.174396333311512164E+00    0.150438661636937837E+00
  14   -0.105777644792393710E+01    0.466690055727435604E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.811126854793415009E-01
   2   -0.273292717950685145E+02
   3    0.931521861858648936E+00
   4    0.143159072349609984E+01
   5    0.103804211276111794E-01
   6    0.194551902304710467E+01
   7   -0.219354247644809641E+01
   8   -0.576787852742308704E-01
   9   -0.698982292942960193E+01
  10   -0.158416520416345019E+00
  11    0.141705552262080314E+00
  12   -0.326457402976247091E+00
  13   -0.363705699579860986E+00
  14   -0.106674332982833131E+01

MAP Parameters
Dim No.        Parameter
   1    0.811126854793415009E-01
   2   -0.273292717950685145E+02
   3    0.931521861858648936E+00
   4    0.143159072349609984E+01
   5    0.103804211276111794E-01
   6    0.194551902304710467E+01
   7   -0.219354247644809641E+01
   8   -0.576787852742308704E-01
   9   -0.698982292942960193E+01
  10   -0.158416520416345019E+00
  11    0.141705552262080314E+00
  12   -0.326457402976247091E+00
  13   -0.363705699579860986E+00
  14   -0.106674332982833131E+01
