Nested Sampling Global Log-Evidence           :   -0.546079653221842332E+01  +/-    0.107175329031327551E+00
Nested Importance Sampling Global Log-Evidence:   -0.660115923989568554E+01  +/-    0.118340013151487511E+00

Dim No.       Mean        Sigma
   1    0.709790735180290538E-01    0.556846703384829417E-01
   2   -0.174749014425557831E+02    0.938104995907082895E+01
   3    0.768166761801994391E+00    0.423203304165281458E+00
   4    0.117509118640034282E+01    0.469387610437575764E+00
   5    0.101588574534862749E-01    0.463304845234637202E-02
   6    0.140607611747806382E+01    0.397910582646556932E+00
   7   -0.177124193920673600E+01    0.456616207537521357E+00
   8   -0.104074619753861022E+00    0.101753207625499137E+00
   9   -0.271641718503984864E+01    0.420486709255820124E+01
  10   -0.164812348182480917E+00    0.170384874065361847E+00
  11   -0.463576671973635196E-01    0.156131127683546284E+00
  12   -0.212187089346406510E+00    0.264301396428513025E+00
  13   -0.214384674848417667E+00    0.246723711582272631E+00
  14   -0.105704706344518917E+01    0.562164548466951366E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.310680504679922143E-02
   2    0.139747342642627359E+01
   3    0.123609730515139038E+01
   4    0.171060846291518431E+01
   5    0.459157964160887729E-02
   6    0.206181261608187016E+01
   7   -0.208384407140155847E+01
   8   -0.295417703287387035E+00
   9   -0.350526885436750835E+01
  10   -0.229560062291539191E+00
  11    0.570258910083350709E-01
  12   -0.487533396609543201E+00
  13   -0.113829962560733355E+00
  14   -0.102323135429633583E+01

MAP Parameters
Dim No.        Parameter
   1    0.367547989747063070E-01
   2   -0.264663590341864392E+02
   3    0.917999960462518638E+00
   4    0.750911784925131554E+00
   5    0.863249864714079641E-02
   6    0.196003157283363683E+01
   7   -0.174376706871077980E+01
   8   -0.751089963452434284E-01
   9   -0.107206815729822136E+01
  10   -0.274428763309241708E+00
  11   -0.292761288017490351E+00
  12   -0.290220302537333996E+00
  13   -0.295101882722557773E+00
  14   -0.100461006878107240E+01
