Nested Sampling Global Log-Evidence           :   -0.123331492385397059E+02  +/-    0.418718354570241036E+00
Nested Importance Sampling Global Log-Evidence:   -0.167892191497039072E+02  +/-    0.374868491814334126E-01

Dim No.       Mean        Sigma
   1    0.606015553897655407E-01    0.374593023366289538E-01
   2   -0.457424655004696046E+01    0.101628310964866864E+01
   3    0.192000957101513409E+00    0.225150833922786037E+00
   4    0.686745196714328321E+00    0.218120234719835854E+00
   5    0.100378605500450312E-01    0.479759685643896608E-02
   6    0.110375540193631894E+01    0.100308756665650659E+00
   7   -0.172061164041818970E+01    0.407975538031598195E+00
   8   -0.540689506754224100E-01    0.624785580179160194E-01
   9   -0.988958107425623845E+00    0.123991924459164915E+01
  10   -0.233934644384656026E+00    0.140418381869160447E+00
  11   -0.306428240700888123E-01    0.139305295614483904E+00
  12   -0.210520109378123849E+00    0.233869157749166140E+00
  13   -0.367890743038633491E-01    0.151533740318721605E+00
  14   -0.106336433534406849E+01    0.552862844337062773E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.669387819471655293E-01
   2   -0.471578047655516741E+01
   3    0.140021542769620422E+00
   4    0.634495642616444533E+00
   5    0.358402553966197072E-02
   6    0.111676948301172252E+01
   7   -0.142448656985863265E+01
   8   -0.473607282256924486E-01
   9   -0.160698410202373720E+01
  10   -0.372968758048337068E+00
  11    0.797031400596056316E-01
  12   -0.221329557597006371E+00
  13   -0.522876059804759791E-01
  14   -0.103251559647967750E+01

MAP Parameters
Dim No.        Parameter
   1    0.669387819471655293E-01
   2   -0.471578047655516741E+01
   3    0.140021542769620422E+00
   4    0.634495642616444533E+00
   5    0.358402553966197072E-02
   6    0.111676948301172252E+01
   7   -0.142448656985863265E+01
   8   -0.473607282256924486E-01
   9   -0.160698410202373720E+01
  10   -0.372968758048337068E+00
  11    0.797031400596056316E-01
  12   -0.221329557597006371E+00
  13   -0.522876059804759791E-01
  14   -0.103251559647967750E+01
