Nested Sampling Global Log-Evidence           :   -0.415273137239619416E+03  +/-    0.124753013134856072E+01
Nested Importance Sampling Global Log-Evidence:   -0.417270413683109552E+03  +/-    0.475572952543177954E-01

Dim No.       Mean        Sigma
   1    0.495739811569468225E+00    0.256722437014558422E-02
   2    0.224160169454274580E+02    0.228160114223243393E+00
   3    0.407034964788601794E+00    0.180739551048389700E-01
   4    0.180486359471465008E+01    0.465881240996727369E-02
   5    0.450191842749108912E-02    0.193386826976821503E-03
   6    0.147499913993047005E+01    0.159712689781709404E-01
   7   -0.146815077130009541E+01    0.262721532663531765E+00
   8    0.623443420681011190E-01    0.577550285596812891E-02
   9    0.127555504338614289E+01    0.123396368230119835E+01
  10   -0.186669986393979415E+00    0.612559372373236710E-01
  11   -0.241036462197460923E-01    0.101483442304514688E-01
  12    0.259838816411691320E+00    0.294306183363370784E-01
  13   -0.468020051907577284E+00    0.669450152010185873E-01
  14   -0.109548726658437068E+01    0.549451059214200871E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.496665787935390179E+00
   2    0.226662351280881325E+02
   3    0.401599093931160556E+00
   4    0.180802866256053418E+01
   5    0.465294194496704110E-02
   6    0.145085398870300097E+01
   7   -0.135066486299056177E+01
   8    0.603224461286926417E-01
   9    0.286918427199920023E+01
  10   -0.240881919466415184E+00
  11   -0.325146793333290635E-01
  12    0.266968576831447257E+00
  13   -0.503856212227968836E+00
  14   -0.103652691195484592E+01

MAP Parameters
Dim No.        Parameter
   1    0.496665787935390179E+00
   2    0.226662351280881325E+02
   3    0.401599093931160556E+00
   4    0.180802866256053418E+01
   5    0.465294194496704110E-02
   6    0.145085398870300097E+01
   7   -0.135066486299056177E+01
   8    0.603224461286926417E-01
   9    0.286918427199920023E+01
  10   -0.240881919466415184E+00
  11   -0.325146793333290635E-01
  12    0.266968576831447257E+00
  13   -0.503856212227968836E+00
  14   -0.103652691195484592E+01
