Nested Sampling Global Log-Evidence           :   -0.204733473069167111E+02  +/-    0.484442954922210067E+00
Nested Importance Sampling Global Log-Evidence:   -0.256424584119960670E+02  +/-    0.452255584642935887E-01

Dim No.       Mean        Sigma
   1    0.428267383186275372E-01    0.238273491943087924E-01
   2   -0.123967811167854940E+02    0.332142324587576643E+00
   3    0.238406611840605770E+00    0.787567429303197980E-01
   4    0.109768035638843942E+01    0.170767625698829112E+00
   5    0.744150945345471802E-02    0.353269468452043021E-02
   6    0.172346410426116869E+01    0.364861830204647603E-01
   7   -0.171424737942749239E+01    0.442998729247439160E+00
   8   -0.113559092548069673E+00    0.680697364161712559E-01
   9   -0.296918634723465713E+01    0.329610574112318044E+01
  10   -0.154241124044336292E+00    0.158423917450182944E+00
  11   -0.795172810861579232E-01    0.130818661332867681E+00
  12   -0.226337627442559891E+00    0.246108163174739492E+00
  13   -0.227695060140075012E+00    0.855309969157838912E-01
  14   -0.105666761169885337E+01    0.564427164926420769E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.938207484895893506E-02
   2   -0.127433534330278846E+02
   3    0.178514663825995901E+00
   4    0.114029921140732515E+01
   5    0.552029562989505597E-03
   6    0.169636341810537106E+01
   7   -0.139187934700271843E+01
   8   -0.147274361893710459E+00
   9   -0.109865507401388740E+01
  10   -0.655739054007350441E-01
  11   -0.382393557140246060E-01
  12   -0.434032947844626871E+00
  13   -0.179312425640167389E+00
  14   -0.106856818782469154E+01

MAP Parameters
Dim No.        Parameter
   1    0.938207484895893506E-02
   2   -0.127433534330278846E+02
   3    0.178514663825995901E+00
   4    0.114029921140732515E+01
   5    0.552029562989505597E-03
   6    0.169636341810537106E+01
   7   -0.139187934700271843E+01
   8   -0.147274361893710459E+00
   9   -0.109865507401388740E+01
  10   -0.655739054007350441E-01
  11   -0.382393557140246060E-01
  12   -0.434032947844626871E+00
  13   -0.179312425640167389E+00
  14   -0.106856818782469154E+01
