Nested Sampling Global Log-Evidence           :   -0.118938456124128251E+03  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.118958010279873875E+03  +/-    0.399311450033533206E-02

Dim No.       Mean        Sigma
   1    0.106288562904745754E+00    0.621685429783179282E-03
   2   -0.330377163215597349E+02    0.461503685153472759E-01
   3    0.873573336713834969E+00    0.121873501425283207E-02
   4    0.180862223511006204E+01    0.184755552938912042E-01
   5    0.101755658182603459E-01    0.526452665539518252E-04
   6    0.157149132505453082E+01    0.341053576670155012E-01
   7   -0.156558148522191232E+01    0.727577744099464352E-01
   8   -0.451502577171872602E-01    0.176018132123623248E-02
   9   -0.243232429448339849E+01    0.692308608792597119E-01
  10   -0.525125580476570458E-01    0.477497320594258076E-02
  11   -0.123031685972440040E-01    0.181737928656609225E-01
  12   -0.622218401449474295E-01    0.198056918870662081E-02
  13   -0.138559870358053505E+00    0.383440606735867065E-01
  14   -0.106553403135655000E+01    0.827823735108305578E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.106139721387237138E+00
   2   -0.330276364890863761E+02
   3    0.873802862043014827E+00
   4    0.177707377251768017E+01
   5    0.101319583698327009E-01
   6    0.155393031068041609E+01
   7   -0.152780999604119638E+01
   8   -0.454179223548198882E-01
   9   -0.234614448582052582E+01
  10   -0.512853074582658719E-01
  11   -0.257070920394732762E-01
  12   -0.593977272966335207E-01
  13   -0.165795639845404491E+00
  14   -0.105200359475074467E+01

MAP Parameters
Dim No.        Parameter
   1    0.105503373532702616E+00
   2   -0.330789257742728182E+02
   3    0.872159974101527680E+00
   4    0.180910170961439265E+01
   5    0.102381949378323386E-01
   6    0.164775326026613955E+01
   7   -0.150939140614545386E+01
   8   -0.462202669276804354E-01
   9   -0.246417712269245781E+01
  10   -0.412689823858158333E-01
  11   -0.111391214870724623E-01
  12   -0.619898690027365917E-01
  13   -0.132211039246066614E+00
  14   -0.106231232949990573E+01
