Nested Sampling Global Log-Evidence           :   -0.242806166644430910E+02  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.246570573142909204E+02  +/-    0.501600904658959304E-01

Dim No.       Mean        Sigma
   1    0.103980230067457907E-01    0.315552898712420692E-02
   2   -0.346375320817171906E+01    0.135948805120155003E+00
   3    0.644660528575365932E+00    0.105168095500472580E-01
   4    0.107768487949262592E+01    0.147623549015581685E-01
   5    0.137035926967101311E-01    0.430506237129048969E-03
   6    0.128642325161367110E+01    0.110462015504719652E-01
   7   -0.193834655323036054E+01    0.633358163914241462E-01
   8   -0.324781633919312765E-01    0.202141419774397139E-02
   9   -0.402311899206921630E+01    0.168271669911192329E+00
  10   -0.720870836841964457E-01    0.139191005437219965E-01
  11    0.107351459906069341E+00    0.967556194242765767E-02
  12   -0.229982627422149893E+00    0.428553508278076076E-01
  13    0.690135935531167085E-02    0.376009472343122840E-02
  14   -0.106031174331370792E+01    0.100298906525737343E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.128993824675300850E-01
   2   -0.341430407348430043E+01
   3    0.648362320120019375E+00
   4    0.105113794950771422E+01
   5    0.139379720500860151E-01
   6    0.129956059563231241E+01
   7   -0.190296406942449803E+01
   8   -0.330021217282224152E-01
   9   -0.395017516077485897E+01
  10   -0.585993951707132685E-01
  11    0.109737224200695607E+00
  12   -0.226735702326057581E+00
  13    0.192621189420279573E-02
  14   -0.105750903551466746E+01

MAP Parameters
Dim No.        Parameter
   1    0.958860025437875858E-02
   2   -0.352227519737962247E+01
   3    0.648581453934874430E+00
   4    0.109701485957691003E+01
   5    0.134537875947405711E-01
   6    0.131364433945385350E+01
   7   -0.192613046499911933E+01
   8   -0.337277222684419231E-01
   9   -0.410389166884763945E+01
  10   -0.594198907297659659E-01
  11    0.113230597750290540E+00
  12   -0.235473690483032017E+00
  13    0.717928090526125454E-02
  14   -0.106029094491779974E+01
