Nested Sampling Global Log-Evidence           :   -0.379831580144693461E+02  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.385321816506002719E+02  +/-    0.797924044925784198E-01

Dim No.       Mean        Sigma
   1    0.129345481078642438E+00    0.671365374112580155E-03
   2   -0.215432922895148238E+02    0.938193552934620117E-01
   3    0.131414441180797481E+01    0.167328070072744620E-02
   4    0.739033685940341800E+00    0.257899699556636639E-02
   5    0.176551847367903136E-01    0.989779892961986429E-04
   6    0.221124957583989401E+01    0.628504017297506199E-03
   7   -0.169050482098573962E+01    0.422928777893121360E-01
   8   -0.823823147377799186E-01    0.154423053305545888E-02
   9   -0.144469505160314764E+02    0.204558552956831646E+00
  10    0.817425232358370973E-01    0.146684673599668455E-02
  11   -0.271056749701601984E-01    0.884211829368162019E-02
  12    0.390176626186795217E+00    0.954201771433456618E-03
  13   -0.826327637692502587E-01    0.710450416783180074E-03
  14   -0.110565657957530283E+01    0.174039684142703564E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.129507554115861789E+00
   2   -0.214679318486189636E+02
   3    0.131411851264356216E+01
   4    0.735701082897159298E+00
   5    0.178251915408821175E-01
   6    0.221045441947684473E+01
   7   -0.173181738407321784E+01
   8   -0.839261286029637510E-01
   9   -0.145717951775586378E+02
  10    0.812262141739260451E-01
  11   -0.351303504432525157E-01
  12    0.389634136675683529E+00
  13   -0.824116148293204676E-01
  14   -0.108728791503798639E+01

MAP Parameters
Dim No.        Parameter
   1    0.130585675917452876E+00
   2   -0.215340932247998431E+02
   3    0.131366242475213424E+01
   4    0.739667243883710301E+00
   5    0.175226651857251642E-01
   6    0.221062169055943869E+01
   7   -0.174813815869067324E+01
   8   -0.803088372487313212E-01
   9   -0.144037891875822215E+02
  10    0.831794417086804544E-01
  11   -0.378186058765437316E-01
  12    0.390140397218396440E+00
  13   -0.823954504500550994E-01
  14   -0.115867928065049153E+01
