Nested Sampling Global Log-Evidence           :   -0.351666418741535125E+02  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.356443165566092546E+02  +/-    0.661915965785439681E-01

Dim No.       Mean        Sigma
   1   -0.531562079598981510E-01    0.809758001186776312E-03
   2   -0.155037583786612849E+02    0.624505062192279373E-01
   3    0.897876738592354839E+00    0.626978460836154650E-02
   4    0.118880543311970510E+01    0.896746222680768097E-02
   5    0.166846533199047770E-01    0.126956891406137281E-03
   6    0.195178389989646739E+01    0.113712523029575112E-02
   7   -0.188183905801706142E+01    0.658272996930116261E-01
   8   -0.174276920880040070E+00    0.133302730698007577E-02
   9   -0.187309419781668551E+01    0.330963407777194907E+00
  10   -0.309322975719659665E+00    0.379837843328652627E-01
  11   -0.882468780077480947E-01    0.658100820465866258E-02
  12   -0.150323020761181231E+00    0.284405766911095675E-01
  13   -0.146342852489959901E+00    0.331834944890187569E-02
  14   -0.107831387732856365E+01    0.218778388829744125E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.527947430156818706E-01
   2   -0.154824878257630623E+02
   3    0.888791333912991699E+00
   4    0.119913900380177263E+01
   5    0.170119527097787916E-01
   6    0.195293882397636231E+01
   7   -0.183372248377282632E+01
   8   -0.173171356903086604E+00
   9   -0.235270105267864205E+01
  10   -0.387371667040959544E+00
  11   -0.903977095116472451E-01
  12   -0.163570301393441114E+00
  13   -0.143234670441853840E+00
  14   -0.107682339139164185E+01

MAP Parameters
Dim No.        Parameter
   1   -0.527449039272582451E-01
   2   -0.155913387882276755E+02
   3    0.904918601112604915E+00
   4    0.118253796546180934E+01
   5    0.168742955189644037E-01
   6    0.195128131688452577E+01
   7   -0.191010388089072514E+01
   8   -0.171485952357245092E+00
   9   -0.182103578495924312E+01
  10   -0.253389042044614154E+00
  11   -0.867130929393283290E-01
  12   -0.225965188147281837E+00
  13   -0.145315393256412045E+00
  14   -0.107747820694462804E+01
