Nested Sampling Global Log-Evidence           :   -0.398110478614657239E+02  +/-    0.558405451610835324E+00
Nested Importance Sampling Global Log-Evidence:   -0.446470518670926850E+02  +/-    0.317294304168782085E-01

Dim No.       Mean        Sigma
   1    0.210895629287215391E+00    0.341780485646921636E-01
   2   -0.222544099235576027E+02    0.626096546331211101E+01
   3    0.155889991788709237E+01    0.590693937795520457E-01
   4    0.149892490995097938E+01    0.952736717790150650E-01
   5    0.891441033183541440E-02    0.272688323506490877E-02
   6    0.110514014063715194E+01    0.173640253514050269E+00
   7   -0.159717889504800348E+01    0.375552987747341638E+00
   8   -0.310525590918847155E-01    0.657009196290866682E-01
   9   -0.496101691455290172E+01    0.282040722493634632E+01
  10    0.337671489315095885E-01    0.752779624527896568E-01
  11   -0.744209862578502079E-01    0.834217746054180670E-01
  12    0.100287813353447663E+00    0.182116864673693424E+00
  13   -0.147390322038228484E-01    0.135969462845367650E+00
  14   -0.106147418478507882E+01    0.507528433541224663E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.239381282429607267E+00
   2   -0.248939812731543775E+02
   3    0.152924432486518103E+01
   4    0.158177859815185862E+01
   5    0.879379274898904953E-02
   6    0.884504301261813120E+00
   7   -0.155499486796306918E+01
   8    0.247372913231320990E-01
   9   -0.811544810668006633E+01
  10   -0.271855297193146772E-01
  11    0.398413285085234617E-01
  12    0.300805750074878864E+00
  13    0.456902570512719153E-01
  14   -0.116416777498970236E+01

MAP Parameters
Dim No.        Parameter
   1    0.239381282429607267E+00
   2   -0.248939812731543775E+02
   3    0.152924432486518103E+01
   4    0.158177859815185862E+01
   5    0.879379274898904953E-02
   6    0.884504301261813120E+00
   7   -0.155499486796306918E+01
   8    0.247372913231320990E-01
   9   -0.811544810668006633E+01
  10   -0.271855297193146772E-01
  11    0.398413285085234617E-01
  12    0.300805750074878864E+00
  13    0.456902570512719153E-01
  14   -0.116416777498970236E+01
