Nested Sampling Global Log-Evidence           :   -0.325273906772072792E+02  +/-    0.581986341413163411E+00
Nested Importance Sampling Global Log-Evidence:   -0.374173190958559587E+02  +/-    0.303957979612610174E-01

Dim No.       Mean        Sigma
   1    0.952724463069875849E-01    0.379782418778864539E-01
   2   -0.463004285810220306E+01    0.561339225496452765E+00
   3    0.358003293934448852E+00    0.643750872551211856E-01
   4    0.678585701427991683E+00    0.214258907551423627E+00
   5    0.103397112323434411E-01    0.478645086364357878E-02
   6    0.111075404556919244E+01    0.375363932736805239E-01
   7   -0.168655328517140224E+01    0.435621437112900134E+00
   8    0.698094038775592257E-01    0.480983155839957016E-01
   9   -0.394981464668416105E+00    0.547806844315498642E+00
  10   -0.820498965636287381E-01    0.745021488550521443E-01
  11   -0.227703934998344654E-01    0.131020898193112689E+00
  12   -0.197506779107932989E+00    0.217408927334178492E+00
  13   -0.222130513608249425E+00    0.730627105317458586E-01
  14   -0.105885448790354952E+01    0.525637620552501586E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.164088821384544947E+00
   2   -0.383241269576828358E+01
   3    0.416006979657099651E+00
   4    0.217906352074410892E+00
   5    0.800716192940604220E-02
   6    0.111333404328274677E+01
   7   -0.156749486393622761E+01
   8    0.160162039051252453E+00
   9    0.463845740118809857E+00
  10   -0.292606427732293034E-01
  11   -0.112198768225489243E+00
  12   -0.305730632327095797E+00
  13   -0.254591488212780881E+00
  14   -0.102890725678456274E+01

MAP Parameters
Dim No.        Parameter
   1    0.164088821384544947E+00
   2   -0.383241269576828358E+01
   3    0.416006979657099651E+00
   4    0.217906352074410892E+00
   5    0.800716192940604220E-02
   6    0.111333404328274677E+01
   7   -0.156749486393622761E+01
   8    0.160162039051252453E+00
   9    0.463845740118809857E+00
  10   -0.292606427732293034E-01
  11   -0.112198768225489243E+00
  12   -0.305730632327095797E+00
  13   -0.254591488212780881E+00
  14   -0.102890725678456274E+01
