Nested Sampling Global Log-Evidence           :   -0.790918426102539307E+01  +/-    0.284552769828732066E+00
Nested Importance Sampling Global Log-Evidence:   -0.128467758954584639E+02  +/-    0.475753802623980898E-01

Dim No.       Mean        Sigma
   1    0.917979606008128002E-01    0.380967074465649314E-01
   2   -0.320462654632876109E+02    0.325268942554394291E+01
   3    0.818300915946414853E+00    0.156605366166179288E+00
   4    0.157515090876836417E+01    0.288433772048080295E+00
   5    0.100975095807271029E-01    0.317185679543177494E-02
   6    0.161100229869384060E+01    0.289661968452076035E+00
   7   -0.175762293690733151E+01    0.390776162476724809E+00
   8   -0.192615380424503262E-01    0.553640887462406861E-01
   9   -0.436830521876622058E+01    0.334250057164928815E+01
  10   -0.173008985460520431E+00    0.136444751515422458E+00
  11   -0.572448533561174255E-01    0.150361456987598674E+00
  12   -0.241996035195966713E+00    0.204535858041258650E+00
  13   -0.182960758422998609E+00    0.192424675754211155E+00
  14   -0.106789043542429063E+01    0.515593967974141629E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.469184538525953335E-01
   2   -0.357606105108631027E+02
   3    0.762692018047130826E+00
   4    0.208221593461985677E+01
   5    0.784424107519528235E-02
   6    0.181723942140246786E+01
   7   -0.157198352311080081E+01
   8   -0.111005085574180373E-01
   9   -0.327559549823802243E+01
  10   -0.341846984027169842E-01
  11   -0.524591680057972659E-01
  12   -0.353434870204493934E+00
  13   -0.304249047270676032E+00
  14   -0.101267664057669426E+01

MAP Parameters
Dim No.        Parameter
   1    0.469184538525953335E-01
   2   -0.357606105108631027E+02
   3    0.762692018047130826E+00
   4    0.208221593461985677E+01
   5    0.784424107519528235E-02
   6    0.181723942140246786E+01
   7   -0.157198352311080081E+01
   8   -0.111005085574180373E-01
   9   -0.327559549823802243E+01
  10   -0.341846984027169842E-01
  11   -0.524591680057972659E-01
  12   -0.353434870204493934E+00
  13   -0.304249047270676032E+00
  14   -0.101267664057669426E+01
