Nested Sampling Global Log-Evidence           :   -0.113438772025377297E+02  +/-    0.338894780586330768E+00
Nested Importance Sampling Global Log-Evidence:   -0.158904781448978571E+02  +/-    0.537635981878676339E-01

Dim No.       Mean        Sigma
   1    0.116214118540895139E+00    0.344931629097707734E-01
   2   -0.204330643628759212E+02    0.193087745661044474E+01
   3    0.669957160626804216E+00    0.203565961968946135E+00
   4    0.145815988449183487E+01    0.152848838743474963E+00
   5    0.796338018787034509E-02    0.266660881833573338E-02
   6    0.155107489149645073E+01    0.686639771410846728E-01
   7   -0.167002022510219139E+01    0.405762156230258519E+00
   8   -0.850614103667027277E-01    0.105983623727647511E+00
   9   -0.351488562002178817E+01    0.364854868122954334E+01
  10   -0.130310311256271072E+00    0.141082955696998302E+00
  11   -0.620533991683133238E-01    0.131071349739234067E+00
  12   -0.187724279302364849E+00    0.220561495870234214E+00
  13   -0.209072198080882454E+00    0.125347937453916286E+00
  14   -0.107247751543401559E+01    0.609390348689273081E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.746046724932643290E-01
   2   -0.219592260703771416E+02
   3    0.641947736823942572E+00
   4    0.147370058072343557E+01
   5    0.534750473031395286E-02
   6    0.155196653293658904E+01
   7   -0.232149557531637640E+01
   8   -0.841934364920618739E-01
   9   -0.392784615323541031E+01
  10   -0.884438491131436799E-01
  11   -0.160434254987495611E+00
  12    0.382251211152440429E+00
  13   -0.344161775354374921E-01
  14   -0.104110179324882779E+01

MAP Parameters
Dim No.        Parameter
   1    0.746046724932643290E-01
   2   -0.219592260703771416E+02
   3    0.641947736823942572E+00
   4    0.147370058072343557E+01
   5    0.534750473031395286E-02
   6    0.155196653293658904E+01
   7   -0.232149557531637640E+01
   8   -0.841934364920618739E-01
   9   -0.392784615323541031E+01
  10   -0.884438491131436799E-01
  11   -0.160434254987495611E+00
  12    0.382251211152440429E+00
  13   -0.344161775354374921E-01
  14   -0.104110179324882779E+01
