Nested Sampling Global Log-Evidence           :   -0.165334813986790891E+03  +/-    0.727652769410966127E+00
Nested Importance Sampling Global Log-Evidence:   -0.171697955575527999E+03  +/-    0.235186540218645483E-01

Dim No.       Mean        Sigma
   1    0.199454028103835196E+00    0.754981832614837894E-02
   2   -0.347549077278506786E+02    0.933473014825935810E+00
   3    0.109488683862510938E+01    0.221129410080968987E-01
   4    0.731934614902104097E+00    0.839215464651543452E-01
   5    0.256172552807671268E-01    0.295878394388211915E-02
   6    0.196570654450424342E+01    0.214081452510135259E-01
   7   -0.174009270931384363E+01    0.462262277565820612E+00
   8   -0.784008173589019614E-01    0.300099231700040568E-01
   9   -0.249754286538858478E+00    0.384858170864636273E+01
  10   -0.505846124661696664E-01    0.533228938513383433E-01
  11   -0.554453605722859261E-01    0.156038405834648591E+00
  12   -0.645995703448759284E-01    0.265735680392696183E+00
  13   -0.305679382730819349E+00    0.455205068392826456E-01
  14   -0.106262358299188997E+01    0.562312229067179620E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.202137765793413138E+00
   2   -0.342196423937903518E+02
   3    0.108281914798690648E+01
   4    0.733116947307228761E+00
   5    0.265626393440737789E-01
   6    0.196569076111289842E+01
   7   -0.164357259127804989E+01
   8   -0.392344031011229860E-01
   9    0.843675271748405464E+01
  10   -0.325617928801415490E-01
  11   -0.228618248352848830E+00
  12    0.351372361190491533E+00
  13   -0.400186144474946492E+00
  14   -0.105063512876917553E+01

MAP Parameters
Dim No.        Parameter
   1    0.202137765793413138E+00
   2   -0.342196423937903518E+02
   3    0.108281914798690648E+01
   4    0.733116947307228761E+00
   5    0.265626393440737789E-01
   6    0.196569076111289842E+01
   7   -0.164357259127804989E+01
   8   -0.392344031011229860E-01
   9    0.843675271748405464E+01
  10   -0.325617928801415490E-01
  11   -0.228618248352848830E+00
  12    0.351372361190491533E+00
  13   -0.400186144474946492E+00
  14   -0.105063512876917553E+01
