Nested Sampling Global Log-Evidence           :   -0.115791919206962657E+02  +/-    0.358976271021338278E+00
Nested Importance Sampling Global Log-Evidence:   -0.156575524726156701E+02  +/-    0.338022066172899774E-01

Dim No.       Mean        Sigma
   1    0.801056121139814836E-01    0.351314775393137546E-01
   2   -0.452776341100533752E+01    0.245240825099800253E+01
   3    0.622444537277337728E+00    0.219814340616914655E+00
   4    0.139681860228748378E+01    0.272186251527060052E+00
   5    0.767955445527721860E-02    0.318495164304372167E-02
   6    0.183026055850196978E+01    0.115644895987520702E+00
   7   -0.179871394813017571E+01    0.413699687419069762E+00
   8   -0.104642106590212641E+00    0.441517691922443042E-01
   9   -0.494319541021792919E+01    0.262453753687841651E+01
  10   -0.166699818908434882E+00    0.136569325721632245E+00
  11   -0.782874486332845870E-01    0.141388982354291926E+00
  12   -0.214265916969849535E+00    0.217357605889689415E+00
  13   -0.568493414732498398E-01    0.113383904642444425E+00
  14   -0.106016488284648580E+01    0.508911842331596920E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.390691076483397418E-01
   2   -0.463227281269163704E+01
   3    0.530711257688379123E+00
   4    0.166511337293091688E+01
   5    0.557837495434074411E-02
   6    0.178919089632407569E+01
   7   -0.146354366943115255E+01
   8   -0.664450443045874889E-01
   9   -0.387235525896803301E+01
  10    0.334878088073808922E-04
  11   -0.206829911617346540E+00
  12    0.115616790223356608E+00
  13    0.150798990456077753E-01
  14   -0.100083444364239793E+01

MAP Parameters
Dim No.        Parameter
   1    0.390691076483397418E-01
   2   -0.463227281269163704E+01
   3    0.530711257688379123E+00
   4    0.166511337293091688E+01
   5    0.557837495434074411E-02
   6    0.178919089632407569E+01
   7   -0.146354366943115255E+01
   8   -0.664450443045874889E-01
   9   -0.387235525896803301E+01
  10    0.334878088073808922E-04
  11   -0.206829911617346540E+00
  12    0.115616790223356608E+00
  13    0.150798990456077753E-01
  14   -0.100083444364239793E+01
