Nested Sampling Global Log-Evidence           :   -0.747360282073919251E+02  +/-    0.593206583290159961E+00
Nested Importance Sampling Global Log-Evidence:   -0.810078885787870888E+02  +/-    0.358178375107294986E-01

Dim No.       Mean        Sigma
   1    0.335212523234062407E-01    0.198893653081204554E-01
   2   -0.186987535370442899E+02    0.779242960789295558E+00
   3    0.698622105243441038E+00    0.471429914259759927E-01
   4    0.182774320221356090E+01    0.308828270957720377E-01
   5    0.100270543277085362E-01    0.636142556222143128E-03
   6    0.225425674114770658E+01    0.420522173030244348E-01
   7   -0.173542570108748029E+01    0.445999481703123368E+00
   8   -0.158694574667296862E+00    0.381314180536568501E-01
   9   -0.283293400422597497E+01    0.132441101843233278E+01
  10   -0.536007879209230501E-01    0.867210530179714778E-01
  11   -0.140249704305802358E-01    0.177151357509197693E+00
  12   -0.536038020713837035E-01    0.155188090443879545E+00
  13   -0.466467346228608859E+00    0.240512585482896973E+00
  14   -0.106562421030319565E+01    0.631832445034635204E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.232946687085140436E-01
   2   -0.189707296324906416E+02
   3    0.718263797588508002E+00
   4    0.184650659656671889E+01
   5    0.965986123459092183E-02
   6    0.226983952266560518E+01
   7   -0.132726680096276928E+01
   8   -0.149666126342399119E+00
   9   -0.261379234338760114E+01
  10   -0.180182117748096948E-01
  11    0.118139778645328541E+00
  12    0.310417407340694562E-01
  13    0.309835146007988449E-01
  14   -0.105657903141344001E+01

MAP Parameters
Dim No.        Parameter
   1    0.232946687085140436E-01
   2   -0.189707296324906416E+02
   3    0.718263797588508002E+00
   4    0.184650659656671889E+01
   5    0.965986123459092183E-02
   6    0.226983952266560518E+01
   7   -0.132726680096276928E+01
   8   -0.149666126342399119E+00
   9   -0.261379234338760114E+01
  10   -0.180182117748096948E-01
  11    0.118139778645328541E+00
  12    0.310417407340694562E-01
  13    0.309835146007988449E-01
  14   -0.105657903141344001E+01
