Nested Sampling Global Log-Evidence           :   -0.583112568660487014E+02  +/-    0.626344311353584926E+00
Nested Importance Sampling Global Log-Evidence:   -0.630559575652635189E+02  +/-    0.327416172407773917E-01

Dim No.       Mean        Sigma
   1    0.130205792684438798E+00    0.322716604455136266E-01
   2   -0.130812249364945270E+02    0.198502692663590419E+01
   3    0.935614799126309848E+00    0.298984277089722611E-01
   4    0.143915532194203477E+01    0.129822524687488866E+00
   5    0.126949873990855975E-01    0.319643131283868943E-02
   6    0.223169352425096967E+01    0.176715531257731102E-01
   7   -0.169287192266588371E+01    0.444029239718533086E+00
   8   -0.426277201440070988E-01    0.339135220876348939E-01
   9   -0.201133328800980626E+01    0.244359695699667112E+01
  10   -0.299067936875483664E-01    0.469077214109445140E-01
  11    0.255802680657496034E-01    0.115062761554988124E+00
  12   -0.999964957808497784E-01    0.139721406899612682E+00
  13   -0.433898428936611430E-01    0.242673038631335304E-01
  14   -0.106438910671442843E+01    0.548871451887518527E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.138014829853476018E+00
   2   -0.136064285349688241E+02
   3    0.900926277516977070E+00
   4    0.137407846143523327E+01
   5    0.151329473513971361E-01
   6    0.222511099456353278E+01
   7   -0.133022979671668429E+01
   8    0.134700308971694160E-02
   9    0.247702375904910221E+01
  10    0.501382090874784581E-01
  11    0.562451772684455856E-01
  12    0.706507589591354179E-02
  13   -0.353812880110600109E-01
  14   -0.106445123646508533E+01

MAP Parameters
Dim No.        Parameter
   1    0.138014829853476018E+00
   2   -0.136064285349688241E+02
   3    0.900926277516977070E+00
   4    0.137407846143523327E+01
   5    0.151329473513971361E-01
   6    0.222511099456353278E+01
   7   -0.133022979671668429E+01
   8    0.134700308971694160E-02
   9    0.247702375904910221E+01
  10    0.501382090874784581E-01
  11    0.562451772684455856E-01
  12    0.706507589591354179E-02
  13   -0.353812880110600109E-01
  14   -0.106445123646508533E+01
