Nested Sampling Global Log-Evidence           :   -0.720171880039662966E+02  +/-    0.590589547468148512E+00
Nested Importance Sampling Global Log-Evidence:   -0.773524755293852166E+02  +/-    0.361420657696794670E-01

Dim No.       Mean        Sigma
   1   -0.289625902765188563E-01    0.114983020434851618E-01
   2   -0.310595785427045215E+02    0.630576194790136935E+00
   3    0.812363668320468690E+00    0.255130900696638636E-01
   4    0.156966158378205312E+01    0.177838591879671028E-01
   5    0.714960916187394450E-03    0.618043270729013621E-03
   6    0.172160969777782658E+01    0.299764466107905192E-01
   7   -0.174147294126466634E+01    0.449339130210201720E+00
   8   -0.764073208461836101E-01    0.100079982711566248E+00
   9   -0.392505770953019129E+01    0.409075684616432866E+01
  10   -0.113699851950610248E+00    0.166771511997703736E+00
  11   -0.593935372987129048E-01    0.150944269277525689E+00
  12   -0.201177479602190790E+00    0.243143259698132302E+00
  13   -0.177631040682605906E+00    0.192539462077997936E+00
  14   -0.106694426410838128E+01    0.569408295129890038E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.442752265933303163E-01
   2   -0.320606402447590000E+02
   3    0.778035352462132623E+00
   4    0.158458786734149215E+01
   5    0.893373757611601316E-04
   6    0.174223206219013815E+01
   7   -0.261423525735897844E+01
   8   -0.335723677779471152E-01
   9   -0.758657426119322764E+01
  10   -0.383360366333600655E+00
  11   -0.192542870727037879E+00
  12   -0.597373690977967775E+00
  13   -0.143395936144533498E+00
  14   -0.106983298054781995E+01

MAP Parameters
Dim No.        Parameter
   1   -0.442752265933303163E-01
   2   -0.320606402447590000E+02
   3    0.778035352462132623E+00
   4    0.158458786734149215E+01
   5    0.893373757611601316E-04
   6    0.174223206219013815E+01
   7   -0.261423525735897844E+01
   8   -0.335723677779471152E-01
   9   -0.758657426119322764E+01
  10   -0.383360366333600655E+00
  11   -0.192542870727037879E+00
  12   -0.597373690977967775E+00
  13   -0.143395936144533498E+00
  14   -0.106983298054781995E+01
