Nested Sampling Global Log-Evidence           :   -0.660281746950228268E+02  +/-    0.587590847689194118E+00
Nested Importance Sampling Global Log-Evidence:   -0.709760639300796470E+02  +/-    0.349288471369740769E-01

Dim No.       Mean        Sigma
   1    0.474281584972451112E-01    0.210632902908360793E-01
   2   -0.217205254347615337E+02    0.150274004254402960E+01
   3    0.958491779114088449E+00    0.451334076703396939E-01
   4    0.186835134567045258E+01    0.554194315498095016E-01
   5    0.469444678681059380E-02    0.887328703241504146E-03
   6    0.166840305766093899E+01    0.772829983791569891E-01
   7   -0.167913537601529606E+01    0.441718005149079329E+00
   8   -0.265634638337960527E+00    0.317138053928880531E-01
   9   -0.390686120262031622E+01    0.176762523607815658E+01
  10   -0.271510301114760266E+00    0.728801949240476393E-01
  11   -0.920823392472383956E-01    0.643329326461811318E-01
  12    0.860861515370013181E-01    0.136436490836085805E+00
  13   -0.352412374382011895E+00    0.118634006781846643E+00
  14   -0.106403071308252550E+01    0.536770399517678271E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.484799701344425446E-01
   2   -0.211803342997884130E+02
   3    0.970190409418139277E+00
   4    0.188203269737769352E+01
   5    0.470147695470873699E-02
   6    0.163931085222247708E+01
   7   -0.177574479075039982E+01
   8   -0.237106707054242333E+00
   9   -0.259518169080538907E+01
  10   -0.232767628151749589E+00
  11   -0.114862110317792948E+00
  12    0.195220756350717922E+00
  13   -0.304486807161184647E+00
  14   -0.100840648449565951E+01

MAP Parameters
Dim No.        Parameter
   1    0.484799701344425446E-01
   2   -0.211803342997884130E+02
   3    0.970190409418139277E+00
   4    0.188203269737769352E+01
   5    0.470147695470873699E-02
   6    0.163931085222247708E+01
   7   -0.177574479075039982E+01
   8   -0.237106707054242333E+00
   9   -0.259518169080538907E+01
  10   -0.232767628151749589E+00
  11   -0.114862110317792948E+00
  12    0.195220756350717922E+00
  13   -0.304486807161184647E+00
  14   -0.100840648449565951E+01
