Nested Sampling Global Log-Evidence           :   -0.123100454831345360E+03  +/-    0.800198121183744115E+00
Nested Importance Sampling Global Log-Evidence:   -0.126897233218832739E+03  +/-    0.352133203401533007E-01

Dim No.       Mean        Sigma
   1   -0.140734963276446172E-02    0.177955099348732423E-01
   2   -0.545890459909628731E+02    0.507824784457450740E+01
   3    0.202411826997066457E+01    0.136457269611839523E-01
   4    0.100689433256713801E+01    0.212084483581209154E+00
   5    0.186959634240106594E-01    0.122888259325462960E-02
   6    0.199167365162142862E+01    0.148157259589997176E+00
   7   -0.169889609160989807E+01    0.401708658599711332E+00
   8   -0.229238420638703033E+00    0.392580577214594120E-01
   9   -0.737228491594983648E+01    0.283874114070831673E+01
  10   -0.988637238702342325E-01    0.274709048100847189E-01
  11   -0.876543233891557277E-02    0.133670585862358055E+00
  12    0.160729168158732977E+00    0.759167185846774950E-01
  13   -0.199235805923350107E-01    0.170962053753393572E+00
  14   -0.107167251033070254E+01    0.517481296168387297E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.191087112171324930E-01
   2   -0.678423715636520228E+02
   3    0.200528946658161278E+01
   4    0.961718318425354601E+00
   5    0.183690882624811119E-01
   6    0.192980859963314755E+01
   7   -0.146482716046322303E+01
   8   -0.249195838325175167E+00
   9   -0.738453202488514471E+01
  10   -0.908551492037288910E-01
  11    0.888493842297079783E-01
  12    0.194660728202762728E+00
  13    0.108600363343347439E+00
  14   -0.105003431903258049E+01

MAP Parameters
Dim No.        Parameter
   1    0.191087112171324930E-01
   2   -0.678423715636520228E+02
   3    0.200528946658161278E+01
   4    0.961718318425354601E+00
   5    0.183690882624811119E-01
   6    0.192980859963314755E+01
   7   -0.146482716046322303E+01
   8   -0.249195838325175167E+00
   9   -0.738453202488514471E+01
  10   -0.908551492037288910E-01
  11    0.888493842297079783E-01
  12    0.194660728202762728E+00
  13    0.108600363343347439E+00
  14   -0.105003431903258049E+01
