Nested Sampling Global Log-Evidence           :   -0.538366884969549560E+02  +/-    0.509615856730506800E+00
Nested Importance Sampling Global Log-Evidence:   -0.594148738689615641E+02  +/-    0.487448472426271068E-01

Dim No.       Mean        Sigma
   1    0.699398312910293612E-01    0.235443866491540713E-01
   2   -0.786058812514357363E+01    0.819342910054946305E+00
   3    0.666297746375437927E+00    0.612153783579246769E-01
   4    0.128967287392573926E+01    0.168464195474194944E+00
   5    0.118745594736809727E-01    0.372547283750696966E-02
   6    0.138553220014222633E+01    0.790199082963221333E-01
   7   -0.170411832528960638E+01    0.424857802285307118E+00
   8   -0.358073200793146210E-01    0.317322017893314698E-01
   9   -0.196825521491620647E+01    0.973651001831814744E+00
  10   -0.156294047459663493E+00    0.109330293433170966E+00
  11   -0.106084622133598930E-01    0.123162229161914549E+00
  12   -0.205527709077145876E+00    0.199624365413509586E+00
  13   -0.727914343072351838E-01    0.767387797455807569E-01
  14   -0.106068331451303521E+01    0.499440837592538406E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.664087848172291578E-01
   2   -0.808714585352776538E+01
   3    0.593416494106850712E+00
   4    0.161324801457443501E+01
   5    0.144846876377423810E-01
   6    0.115008562832221628E+01
   7   -0.186818856181912052E+01
   8   -0.245711148273719121E-01
   9   -0.186710213526278546E+01
  10   -0.446010534217642918E-01
  11   -0.100351789208295392E+00
  12   -0.693789229915087180E-02
  13    0.494709302630169934E-01
  14   -0.102568731080105091E+01

MAP Parameters
Dim No.        Parameter
   1    0.664087848172291578E-01
   2   -0.808714585352776538E+01
   3    0.593416494106850712E+00
   4    0.161324801457443501E+01
   5    0.144846876377423810E-01
   6    0.115008562832221628E+01
   7   -0.186818856181912052E+01
   8   -0.245711148273719121E-01
   9   -0.186710213526278546E+01
  10   -0.446010534217642918E-01
  11   -0.100351789208295392E+00
  12   -0.693789229915087180E-02
  13    0.494709302630169934E-01
  14   -0.102568731080105091E+01
