Nested Sampling Global Log-Evidence           :   -0.558697422572544724E+02  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.558697422572544724E+02  +/-    0.116322152286738126E-07

Dim No.       Mean        Sigma
   1    0.796789307284273551E-01    0.523402999914856643E-01
   2   -0.189909726337364333E+02    0.959968955621057596E+01
   3    0.545040013787469135E+00    0.517332368354719518E+00
   4    0.129274746991186440E+01    0.423707834580790088E+00
   5    0.868352361765611924E-02    0.509066111812073001E-02
   6    0.145085221872684356E+01    0.551875851063040712E+00
   7   -0.169180517728087021E+01    0.485228239782578286E+00
   8   -0.680978341071895310E-01    0.106826993854188965E+00
   9   -0.266754421214304838E+01    0.475974974861569144E+01
  10   -0.180964133045882436E+00    0.222827565147268786E+00
  11   -0.156376902360440065E-01    0.156152944359041701E+00
  12   -0.254477379156594741E+00    0.312167194980444151E+00
  13   -0.146306620180420205E+00    0.235873116784876768E+00
  14   -0.107930340125909052E+01    0.654752246560992568E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.231988862911012672E+00
   2   -0.206181935450254308E+02
   3    0.365530347302944369E+00
   4    0.652166077010979395E+00
   5    0.644819457290264283E-02
   6    0.122762900124223795E+01
   7   -0.199424739338491186E+01
   8   -0.126074629391491166E+00
   9    0.268733326039630116E+01
  10   -0.225642732332414664E+00
  11   -0.111847771642346938E+00
  12   -0.356614806407238860E+00
  13   -0.156751083702949767E+00
  14   -0.104414377934775704E+01

MAP Parameters
Dim No.        Parameter
   1    0.231988862911012672E+00
   2   -0.206181935450254308E+02
   3    0.365530347302944369E+00
   4    0.652166077010979395E+00
   5    0.644819457290264283E-02
   6    0.122762900124223795E+01
   7   -0.199424739338491186E+01
   8   -0.126074629391491166E+00
   9    0.268733326039630116E+01
  10   -0.225642732332414664E+00
  11   -0.111847771642346938E+00
  12   -0.356614806407238860E+00
  13   -0.156751083702949767E+00
  14   -0.104414377934775704E+01
