Nested Sampling Global Log-Evidence           :   -0.118483751515556275E+02  +/-    0.349951367159386462E+00
Nested Importance Sampling Global Log-Evidence:   -0.158741580269620535E+02  +/-    0.423447646131861893E-01

Dim No.       Mean        Sigma
   1    0.971096711231662357E-01    0.366410500212515922E-01
   2   -0.238521941440367620E+02    0.275537441211600065E+01
   3    0.961353794760723690E+00    0.801161475428207176E-01
   4    0.144574955483109457E+01    0.322728154828551328E+00
   5    0.698370827314318942E-02    0.258250147084539356E-02
   6    0.171999341695729946E+01    0.217061829766691805E+00
   7   -0.176576061862569444E+01    0.414992442069365308E+00
   8   -0.143430300932235494E+00    0.445259253843777666E-01
   9   -0.428338710866599204E+01    0.309441563952538079E+01
  10   -0.663169782245600636E-01    0.113558294062833687E+00
  11   -0.419743504432187955E-01    0.133639935168761770E+00
  12   -0.173300632069333937E+00    0.210292088526158105E+00
  13   -0.183566683586759566E+00    0.178266794324202421E+00
  14   -0.106187575939791157E+01    0.553917253860227166E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.796822376288949252E-01
   2   -0.250915519395986557E+02
   3    0.949074283530309648E+00
   4    0.968356345923169659E+00
   5    0.119835341102746216E-02
   6    0.190762531745492536E+01
   7   -0.130413797804272180E+01
   8   -0.815844039238573654E-01
   9   -0.164925831988625160E+01
  10    0.966502899931576120E-02
  11   -0.854928303431977954E-01
  12   -0.772749142669461597E-01
  13   -0.272498697961177760E+00
  14   -0.104959477325328510E+01

MAP Parameters
Dim No.        Parameter
   1    0.796822376288949252E-01
   2   -0.250915519395986557E+02
   3    0.949074283530309648E+00
   4    0.968356345923169659E+00
   5    0.119835341102746216E-02
   6    0.190762531745492536E+01
   7   -0.130413797804272180E+01
   8   -0.815844039238573654E-01
   9   -0.164925831988625160E+01
  10    0.966502899931576120E-02
  11   -0.854928303431977954E-01
  12   -0.772749142669461597E-01
  13   -0.272498697961177760E+00
  14   -0.104959477325328510E+01
