Nested Sampling Global Log-Evidence           :   -0.182571057906115648E+02  +/-    0.442290231435776171E+00
Nested Importance Sampling Global Log-Evidence:   -0.234919401222116768E+02  +/-    0.461860266619450038E-01

Dim No.       Mean        Sigma
   1    0.710955292061024868E-01    0.271660133031965088E-01
   2   -0.404906770872088302E+02    0.198109111265038451E+01
   3    0.647059474572764359E+00    0.119063087885280139E+00
   4    0.105286132203544192E+01    0.324676203854904033E+00
   5    0.101269343038564632E-01    0.377580086445262423E-02
   6    0.212203992489628490E+01    0.114129420919197547E+00
   7   -0.178685810942869039E+01    0.438845596342371580E+00
   8   -0.135847807028473128E+00    0.448213524637996324E-01
   9   -0.472690016511844213E+01    0.185909994113871835E+01
  10   -0.163108650534671773E+00    0.116628288743259201E+00
  11   -0.864484064734540453E-01    0.139478265121638328E+00
  12   -0.152035549865055269E+00    0.212441457401483902E+00
  13   -0.290591248989804485E+00    0.122012235031348351E+00
  14   -0.107288859322420183E+01    0.585831684834691932E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.752136250850493071E-01
   2   -0.420333492673575435E+02
   3    0.489217471292019479E+00
   4    0.106849052408723466E+01
   5    0.128189587472201209E-01
   6    0.218452370851183453E+01
   7   -0.267014267552914042E+01
   8   -0.166724663660193950E+00
   9   -0.435796857169199559E+01
  10   -0.141554850481859118E+00
  11    0.345846579300398624E-01
  12   -0.352374130154539222E+00
  13   -0.307494996960843814E+00
  14   -0.103637723010974181E+01

MAP Parameters
Dim No.        Parameter
   1    0.752136250850493071E-01
   2   -0.420333492673575435E+02
   3    0.489217471292019479E+00
   4    0.106849052408723466E+01
   5    0.128189587472201209E-01
   6    0.218452370851183453E+01
   7   -0.267014267552914042E+01
   8   -0.166724663660193950E+00
   9   -0.435796857169199559E+01
  10   -0.141554850481859118E+00
  11    0.345846579300398624E-01
  12   -0.352374130154539222E+00
  13   -0.307494996960843814E+00
  14   -0.103637723010974181E+01
