Nested Sampling Global Log-Evidence           :   -0.382938902299907156E+02  +/-    0.597042338829477770E+00
Nested Importance Sampling Global Log-Evidence:   -0.435420775292475639E+02  +/-    0.363261731181405145E-01

Dim No.       Mean        Sigma
   1    0.223539202024791959E-01    0.275711987539652321E-01
   2   -0.305129410021392502E+02    0.103877647102112625E+01
   3    0.743273414915102237E+00    0.482505123986999643E-01
   4    0.147932121393252447E+01    0.136038596338413698E+00
   5    0.427027040400160436E-02    0.240203406286139138E-02
   6    0.193155866819345556E+01    0.295399584795495787E-01
   7   -0.174111739401105692E+01    0.471677875048311213E+00
   8   -0.122117474744746449E+00    0.229634863118326933E-01
   9   -0.417884526687227531E+01    0.913625212555643884E+00
  10   -0.184430607741760788E+00    0.641270235810771499E-01
  11   -0.104228813361636863E+00    0.966465319068017248E-01
  12   -0.290045989844689434E+00    0.217579658869896747E+00
  13   -0.106396073494605947E+00    0.376104216149936652E-01
  14   -0.106312848865718923E+01    0.603038638734239851E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.123412787799915130E-01
   2   -0.317859335312676379E+02
   3    0.704204375628851742E+00
   4    0.152143002239771885E+01
   5    0.189365584370064944E-02
   6    0.192409015461718269E+01
   7   -0.179765745618754580E+01
   8   -0.105011305279486059E+00
   9   -0.316813389445999460E+01
  10   -0.152734603729685892E+00
  11   -0.588981051264214073E-01
  12   -0.509142080927931118E+00
  13   -0.131267447929788783E+00
  14   -0.103861446228065257E+01

MAP Parameters
Dim No.        Parameter
   1   -0.123412787799915130E-01
   2   -0.317859335312676379E+02
   3    0.704204375628851742E+00
   4    0.152143002239771885E+01
   5    0.189365584370064944E-02
   6    0.192409015461718269E+01
   7   -0.179765745618754580E+01
   8   -0.105011305279486059E+00
   9   -0.316813389445999460E+01
  10   -0.152734603729685892E+00
  11   -0.588981051264214073E-01
  12   -0.509142080927931118E+00
  13   -0.131267447929788783E+00
  14   -0.103861446228065257E+01
