Nested Sampling Global Log-Evidence           :   -0.269698076362276069E+02  +/-    0.454473710198308734E+00
Nested Importance Sampling Global Log-Evidence:   -0.323008778134930594E+02  +/-    0.422607078044779233E-01

Dim No.       Mean        Sigma
   1    0.167611762201635116E-01    0.252308855381964715E-01
   2   -0.182984998107546950E+02    0.127540120862045736E+01
   3    0.718819416259858679E+00    0.706900299619345196E-01
   4    0.106293767602565636E+01    0.294694662091341542E+00
   5    0.966423167438407345E-02    0.404489822710883597E-02
   6    0.215932442408746628E+01    0.385089449213571189E-01
   7   -0.166642259063761800E+01    0.423190947406803020E+00
   8   -0.205601416555032362E+00    0.291512226355934816E-01
   9   -0.317568149244013531E+01    0.200762380740056212E+01
  10   -0.133464670608954977E+00    0.128558755936594576E+00
  11   -0.617156441086106969E-01    0.159749998107942076E+00
  12   -0.220582739501777203E+00    0.226861028026032474E+00
  13   -0.183581675543132872E+00    0.769019353660835986E-01
  14   -0.105076543416347534E+01    0.543489370658789828E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.224820658657577666E-02
   2   -0.177349741951899880E+02
   3    0.637807016608097688E+00
   4    0.526089619321030044E+00
   5    0.134636706429847874E-01
   6    0.215089750378985434E+01
   7   -0.120809294349342555E+01
   8   -0.170661627867468302E+00
   9   -0.270157606624474944E+01
  10   -0.438484594097193758E-01
  11   -0.134462533443432064E+00
  12   -0.304369893810394587E+00
  13   -0.191684493211824125E+00
  14   -0.100405105688936636E+01

MAP Parameters
Dim No.        Parameter
   1    0.224820658657577666E-02
   2   -0.177349741951899880E+02
   3    0.637807016608097688E+00
   4    0.526089619321030044E+00
   5    0.134636706429847874E-01
   6    0.215089750378985434E+01
   7   -0.120809294349342555E+01
   8   -0.170661627867468302E+00
   9   -0.270157606624474944E+01
  10   -0.438484594097193758E-01
  11   -0.134462533443432064E+00
  12   -0.304369893810394587E+00
  13   -0.191684493211824125E+00
  14   -0.100405105688936636E+01
