Nested Sampling Global Log-Evidence           :   -0.107776735621691486E+03  +/-    0.586733009886153400E+00
Nested Importance Sampling Global Log-Evidence:   -0.113249682788236910E+03  +/-    0.493860271483832006E-01

Dim No.       Mean        Sigma
   1    0.150532130374347317E+00    0.305473511584665146E-01
   2   -0.289524844284370708E+02    0.689582424052498411E+01
   3    0.182119198586652331E+01    0.297799711489352310E-01
   4    0.130832156735903782E+01    0.279800687722062402E+00
   5    0.203004046043049093E-01    0.308759765434662905E-02
   6    0.185417801376630598E+01    0.337855087873455917E+00
   7   -0.179361301935577488E+01    0.406677555553550951E+00
   8    0.786738290028806964E-01    0.470211547824695084E-01
   9   -0.311856443383023629E+01    0.359634510120137696E+01
  10   -0.334200894863555739E-01    0.435470877549930732E-01
  11   -0.425692444210945542E-01    0.120187800575776396E+00
  12    0.105234107708610108E+00    0.109875035976478574E+00
  13   -0.929547172751923473E-01    0.202152384189706269E+00
  14   -0.107804194469308579E+01    0.554326203734938280E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.164105870561392364E+00
   2   -0.318003151529870536E+02
   3    0.177300483155918842E+01
   4    0.111239656584170410E+01
   5    0.270192937770710531E-01
   6    0.197791351536979176E+01
   7   -0.183187120851375029E+01
   8    0.447896684829151154E-01
   9   -0.412434015170545365E+01
  10   -0.321895642279763361E-01
  11   -0.387592379768284950E-01
  12    0.137253976911399594E+00
  13    0.243148657585070649E+00
  14   -0.113039125188923961E+01

MAP Parameters
Dim No.        Parameter
   1    0.164105870561392364E+00
   2   -0.318003151529870536E+02
   3    0.177300483155918842E+01
   4    0.111239656584170410E+01
   5    0.270192937770710531E-01
   6    0.197791351536979176E+01
   7   -0.183187120851375029E+01
   8    0.447896684829151154E-01
   9   -0.412434015170545365E+01
  10   -0.321895642279763361E-01
  11   -0.387592379768284950E-01
  12    0.137253976911399594E+00
  13    0.243148657585070649E+00
  14   -0.113039125188923961E+01
