Nested Sampling Global Log-Evidence           :   -0.370929565295775310E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.385603705281707398E+00  +/-    0.551040294766339412E-02

Dim No.       Mean        Sigma
   1    0.930155237390542927E-01    0.136594160852548658E-02
   2   -0.135020163586895787E+02    0.617449163058879993E-01
   3    0.726527806723568759E+00    0.959608945285675419E-02
   4    0.144566439513016975E+01    0.164746570033344475E-01
   5    0.105899640948435743E-01    0.747704586670506740E-04
   6    0.177621744395036951E+01    0.349027761802548769E-01
   7   -0.185867466549667637E+01    0.370811051438072956E-01
   8   -0.526472193615876577E-01    0.185763735621329159E-02
   9   -0.102754815248769882E+01    0.882825089184337275E-01
  10   -0.705327063708720142E-01    0.969763947898069981E-02
  11   -0.101139762249025406E+00    0.278213864190681136E-01
  12   -0.243647178512668705E+00    0.134289629586209994E-01
  13   -0.411804537529596101E-01    0.136514001326214721E-01
  14   -0.108011144224895350E+01    0.551036568378546719E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.938876672194450812E-01
   2   -0.135083902930094926E+02
   3    0.718397391826599452E+00
   4    0.144124928005541753E+01
   5    0.105550781031157042E-01
   6    0.174484844151723872E+01
   7   -0.189697824427179795E+01
   8   -0.507565068101720127E-01
   9   -0.912901972637600312E+00
  10   -0.594759582841704743E-01
  11   -0.754349666824695453E-01
  12   -0.221703035530941450E+00
  13   -0.504096347597163472E-01
  14   -0.108018053457575136E+01

MAP Parameters
Dim No.        Parameter
   1    0.943165692216866303E-01
   2   -0.134014518442734989E+02
   3    0.742150730571961237E+00
   4    0.145882225174965741E+01
   5    0.105947544147772521E-01
   6    0.180391269145012556E+01
   7   -0.188039760507033438E+01
   8   -0.551758953440990088E-01
   9   -0.974418462862639223E+00
  10   -0.638515443205804056E-01
  11   -0.455107283980614383E-01
  12   -0.264036951162474054E+00
  13   -0.400056612074005946E-01
  14   -0.107366230321859524E+01
