Nested Sampling Global Log-Evidence           :   -0.654200555358323577E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.730775437379437065E+01  +/-    0.110779393419122005E+00

Dim No.       Mean        Sigma
   1    0.231542860254063593E+00    0.977449234183276096E-03
   2   -0.190876521618755390E+02    0.206216912528506824E+00
   3    0.161504550927676971E+01    0.376223032176866388E-02
   4    0.126321723355625304E+01    0.376508731677829139E-02
   5    0.270172558108622372E-02    0.408880683832424675E-04
   6    0.214597761209763416E+01    0.512855162682357706E-03
   7   -0.166191456885834765E+01    0.343531350789126888E-01
   8   -0.164764855213152789E+00    0.317017930135926617E-03
   9   -0.367398036337164058E+01    0.400264316415717081E+00
  10   -0.602914637778367221E-01    0.439167419317965796E-02
  11   -0.209462440536647976E-01    0.590140438578043523E-02
  12   -0.229422379653092173E+00    0.194430962913843992E-01
  13    0.212535959824413541E-01    0.549927672020236735E-03
  14   -0.106111551237545254E+01    0.639888142303172091E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.233028003027035552E+00
   2   -0.190777714119021482E+02
   3    0.162006710070344528E+01
   4    0.126337778098243736E+01
   5    0.267538367501387805E-02
   6    0.214571558118495842E+01
   7   -0.165129274515716284E+01
   8   -0.165434601217399946E+00
   9   -0.398890770639626746E+01
  10   -0.576497917754511396E-01
  11   -0.214648622111911144E-01
  12   -0.241363611712845511E+00
  13    0.217000346284899996E-01
  14   -0.106043396217625641E+01

MAP Parameters
Dim No.        Parameter
   1    0.230839513303104510E+00
   2   -0.186783490558204903E+02
   3    0.161306395721200335E+01
   4    0.125613534028907448E+01
   5    0.278304829660991609E-02
   6    0.214625614602495141E+01
   7   -0.166562586906442300E+01
   8   -0.165175051611209350E+00
   9   -0.334195773697069720E+01
  10   -0.548198577513298660E-01
  11   -0.215359930309090425E-01
  12   -0.214786612720198111E+00
  13    0.207219301343099169E-01
  14   -0.106122371646287039E+01
