Nested Sampling Global Log-Evidence           :   -0.156911900091806028E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.597864699070226102E+00  +/-    0.638304120702472555E-01

Dim No.       Mean        Sigma
   1    0.107346858155992930E+00    0.160340675060738585E-02
   2   -0.292892868046904837E+02    0.450407002794274036E+00
   3    0.956211857841300028E+00    0.150417879913401931E-01
   4    0.192875546670682541E+01    0.992736833988792644E-01
   5    0.768675583711988294E-02    0.264047357610982603E-03
   6    0.203468056000167996E+01    0.116901267469203957E+00
   7   -0.233391615935861552E+01    0.698092655556603048E-01
   8   -0.626311206294219436E-01    0.686149672075341346E-02
   9   -0.306504560522659819E+01    0.122127991055145713E+01
  10   -0.242188249410311224E+00    0.685094657331846713E-01
  11    0.650805077288212630E-01    0.290604925118711326E-01
  12   -0.254717005133946683E+00    0.860756829012658681E-01
  13   -0.715558944253601587E-01    0.114614229682515334E+00
  14   -0.112066811690629953E+01    0.158359769756993111E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.107934801569722350E+00
   2   -0.299215251569304925E+02
   3    0.957836237644327904E+00
   4    0.200894434070706884E+01
   5    0.785348996688900805E-02
   6    0.194969081701234703E+01
   7   -0.232338705833753334E+01
   8   -0.576529679002567852E-01
   9   -0.195500118831793879E+01
  10   -0.304319575770812367E+00
  11    0.457072005030333892E-01
  12   -0.380116053998750703E+00
  13   -0.805471822039806329E-02
  14   -0.115234965741489637E+01

MAP Parameters
Dim No.        Parameter
   1    0.107321709205705718E+00
   2   -0.283505322697802846E+02
   3    0.934384265550026072E+00
   4    0.202560342745336097E+01
   5    0.786596596794038490E-02
   6    0.204235636047243663E+01
   7   -0.229972146632973296E+01
   8   -0.630814326016253257E-01
   9   -0.301935721978450999E+01
  10   -0.299057299756102235E+00
  11    0.496868902063324763E-01
  12   -0.263756546303820005E+00
  13   -0.121220981597129129E+00
  14   -0.109398450802463088E+01
